date,home_time,school_time,travel_time,orthers,date_in_week,volunteer,location_names
01:04:2013,7200.0,10800.0,0.0,0.0,0,4,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
02:04:2013,153368.0,6000.0,0.0,0.0,1,4,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
03:04:2013,8398.0,4802.0,0.0,0.0,2,4,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
04:04:2013,152400.0,6000.0,0.0,0.0,3,4,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
05:04:2013,2400.0,16800.0,0.0,0.0,4,4,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
06:04:2013,78000.0,2400.0,0.0,0.0,5,4,"Sudikoff Hall,0,0,0,0"
07:04:2013,160800.0,0.0,0.0,0.0,-1,4,"0,0,0,0"
07:05:2013,88173.0,3601.0,1199.0,0.0,1,4,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dana Parking Lot,0"
08:04:2013,1201.0,11999.0,0.0,0.0,0,4,"0,Vail,Class of 1978 Life Sciences Center,Sudikoff Hall"
08:05:2013,501600.0,7200.0,0.0,0.0,2,4,"Sudikoff Hall,Sudikoff Hall,0"
09:04:2013,151200.0,8400.0,0.0,0.0,1,4,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
10:04:2013,1200.0,12001.0,1200.0,0.0,2,4,"0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
11:04:2013,246000.0,4799.0,0.0,0.0,3,4,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
13:04:2013,2400.0,6000.0,0.0,0.0,5,4,"0,Sudikoff Hall"
13:05:2013,1201.0,0.0,0.0,0.0,0,4,0
14:04:2013,147600.0,16800.0,0.0,0.0,-1,4,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
14:05:2013,135599.0,25488.0,0.0,0.0,1,4,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
15:04:2013,7200.0,0.0,0.0,0.0,0,4,"0,0"
15:05:2013,4800.0,0.0,0.0,0.0,2,4,"0,Andres Hall,0"
16:04:2013,152401.0,7200.0,0.0,0.0,1,4,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
17:04:2013,8522.0,0.0,0.0,4677.0,2,4,"0,0,0,0"
18:04:2013,79200.0,15600.0,0.0,0.0,3,4,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
19:04:2013,237019.0,1200.0,0.0,0.0,4,4,"Sudikoff Hall,0,0"
21:04:2013,1204.0,1201.0,14395.0,0.0,-1,4,"0,F Lot Parking,0,F Lot Parking"
22:04:2013,80398.0,1202.0,0.0,0.0,0,4,"0,Rauner Hall,0,0,0"
23:04:2013,248315.0,4800.0,0.0,0.0,1,4,"0,Sudikoff Hall,Sudikoff Hall,0"
25:04:2013,5987.0,0.0,0.0,0.0,3,4,"0,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,82756.0,4857.0,0.0,0.0,4,4,"Sudikoff Hall,Sudikoff Hall,0,0,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
27:03:2013,0.0,9598.0,0.0,0.0,2,4,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
27:04:2013,201600.0,4800.0,0.0,0.0,5,4,"0,Sudikoff Hall,Sudikoff Hall,0"
28:03:2013,75598.0,9602.0,0.0,0.0,3,4,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
29:03:2013,84000.0,2400.0,1200.0,0.0,4,4,"0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,0"
29:04:2013,54000.0,0.0,0.0,0.0,0,4,"0,0,0,0"
30:03:2013,235200.0,6000.0,0.0,0.0,5,4,"0,Sudikoff Hall,Sudikoff Hall,0"
30:04:2013,590403.0,4800.0,8398.0,0.0,1,4,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Maynard Parking Lot,0"
