date,home_time,recreational_activities,travel_time,school_time,working,orthers,date_in_week,volunteer,location_names
01:06:2013,21333.0,15629.0,0.0,0.0,0.0,0.0,5,50,"Berry Library,Little Hall,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Dartmouth College,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College"
03:04:2013,0.0,16368.0,215644.0,0.0,0.0,0.0,2,50,"Baker Memorial Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dana Circle Parking Lot"
06:04:2013,23994.0,0.0,1204.0,67907.0,0.0,0.0,5,50,"Little Hall,Little Hall,Dartmouth College,0,0,Wellesley College"
06:05:2013,198238.0,0.0,0.0,0.0,0.0,0.0,0,50,Little Hall
07:04:2013,0.0,0.0,0.0,101908.0,0.0,0.0,-1,50,Wellesley College
08:04:2013,154056.0,1238.0,0.0,0.0,0.0,0.0,0,50,"Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Little Hall,Little Hall"
08:05:2013,141440.0,0.0,0.0,0.0,0.0,0.0,2,50,Little Hall
10:04:2013,26377.0,32423.0,0.0,21599.0,0.0,0.0,2,50,"Haldeman Center,Haldeman Center,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Baker Memorial Library,Dartmouth College,Dartmouth College,0,Dartmouth College,Haldeman Center,The Irving Institute for Energy & Society,Hopkins Center for the Arts,0,Baker Memorial Library,Baker Memorial Library,Carson Hall,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library"
10:05:2013,237577.0,0.0,0.0,0.0,0.0,0.0,4,50,Dartmouth College
11:04:2013,41022.0,38174.0,0.0,5999.0,0.0,0.0,3,50,"Haldeman Center,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Little Hall,Little Hall,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Little Hall,Reed Hall,Reed Hall,Collis Student Center,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Life Sciences Greenhouse"
12:04:2013,50432.0,21600.0,0.0,10312.0,3524.0,0.0,4,50,"Life Sciences Greenhouse,Seven Allen,Seven Allen,Dartmouth College,Carson Hall,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Haldeman Center,Haldeman Center"
12:05:2013,0.0,0.0,0.0,33000.0,0.0,0.0,-1,50,Wellesley College
13:04:2013,33641.0,51494.0,0.0,4863.0,0.0,0.0,5,50,"Haldeman Center,Haldeman Center,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library,Carson Hall,Baker Memorial Library,Baker Memorial Library,Carson Hall,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Hopkins Center for the Arts,Dartmouth College,Berry Library,Berry Library,Little Hall,Little Hall,Dartmouth College,0"
13:05:2013,51000.0,0.0,0.0,13800.0,0.0,0.0,0,50,"Little Hall,Haldeman Center,Haldeman Center"
14:04:2013,1429.0,4802.0,55142.0,14403.0,3875.0,5724.0,-1,50,"Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Sidney Street,Sidney Street,Novartis Amenities Building,Novartis Amenities Building,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,Dr. Paul Dudley White Path,Dartmouth College,Black Family Visual Arts Center"
14:05:2013,53400.0,15600.0,0.0,20400.0,0.0,0.0,1,50,"Little Hall,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Reed Hall,Reed Hall,Haldeman Center,Kemeny Hall,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library"
15:04:2013,56279.0,19365.0,1203.0,8497.0,0.0,0.0,0,50,"Black Family Visual Arts Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Little Hall,Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Little Hall,Little Hall,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library,Berry Library,Haldeman Center,Haldeman Center"
15:05:2013,41999.0,34201.0,0.0,3000.0,0.0,0.0,2,50,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Little Hall,Little Hall,Reed Hall,Reed Hall,Berry Library,Berry Library,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,68403.0,9600.0,0.0,7198.0,0.0,0.0,1,50,"Haldeman Center,Little Hall,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Little Hall,Little Hall,Reed Hall,Reed Hall,Collis Student Center,Dartmouth College,Little Hall,Little Hall,Dartmouth College,Berry Library,Berry Library,Carpenter Hall"
16:05:2013,57970.0,41400.0,0.0,3230.0,0.0,600.0,3,50,"Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Little Hall,Little Hall,Reed Hall,Reed Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Little Hall,The Arthur L. Irving Institute for Energy & Society,Little Hall,Dartmouth College,Dartmouth College,0,0,Consolidated Communications,0,School Faculty House,School Faculty House,0,Little Hall"
17:04:2013,219993.0,12533.0,0.0,7283.0,0.0,0.0,2,50,"Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,Dartmouth College,Dartmouth College,Little Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Baker Memorial Library,Baker Memorial Library,Berry Library,Little Hall"
17:05:2013,12600.0,60000.0,0.0,0.0,0.0,0.0,4,50,"Little Hall,Berry Library,Berry Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Little Hall,Little Hall,Berry Library,Berry Library,Dartmouth College,0,Baker Memorial Library,Baker Memorial Library,Berry Library,Baker Memorial Library"
18:05:2013,90000.0,13200.0,0.0,0.0,0.0,0.0,5,50,"Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,Little Hall"
19:04:2013,22322.0,0.0,0.0,0.0,0.0,0.0,4,50,Little Hall
19:05:2013,73200.0,0.0,0.0,0.0,0.0,0.0,-1,50,"Maxwell Hall,Maxwell Hall,Little Hall"
