date,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,volunteer,location_names
01:04:2013,32938.0,36662.0,0.0,0.0,0.0,0.0,0,52,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
01:05:2013,128400.0,27600.0,0.0,0.0,0.0,0.0,2,52,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
01:06:2013,1165.0,1800.0,0.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,0,0"
02:04:2013,43200.0,45600.0,0.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
02:05:2013,1200.0,27600.0,1200.0,0.0,0.0,0.0,3,52,"0,Hood Museum of Art,Sudikoff Hall"
03:04:2013,118800.0,43200.0,0.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0"
03:05:2013,51600.0,12001.0,0.0,1199.0,0.0,0.0,4,52,"Sudikoff Hall,Coldwell Banker,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
04:04:2013,1200.0,8318.0,0.0,0.0,0.0,0.0,3,52,"0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,36246.0,171600.0,0.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
05:04:2013,52800.0,44394.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
06:04:2013,85201.0,13288.0,0.0,0.0,1199.0,0.0,5,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,0"
06:05:2013,35366.0,127618.0,673.0,0.0,0.0,0.0,0,52,"Sudikoff Hall,0,0,0,Hood Museum of Art,Sudikoff Hall"
07:04:2013,61200.0,0.0,0.0,0.0,0.0,0.0,-1,52,"0,0"
08:04:2013,57715.0,28695.0,1200.0,0.0,0.0,0.0,0,52,"Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0"
08:05:2013,52200.0,10800.0,0.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education"
09:04:2013,45600.0,39600.0,0.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,Sudikoff Hall,0,0"
09:05:2013,74400.0,19801.0,0.0,0.0,0.0,0.0,3,52,"0,0,Sudikoff Hall"
10:04:2013,48000.0,36000.0,0.0,2400.0,0.0,0.0,2,52,"0,Sudikoff Hall,Sudikoff Hall,0,0"
10:05:2013,44400.0,50399.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Sudikoff Hall"
11:04:2013,50400.0,32400.0,3600.0,0.0,0.0,0.0,3,52,"Sudikoff Hall,Sudikoff Hall,Hanover Inn Dartmouth,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,0,0,Hopkins Center for the Arts,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,58167.0,13800.0,0.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,0,0,0,0,0,Wilson Hall,Sudikoff Hall,Sudikoff Hall,0"
12:04:2013,54000.0,50400.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
12:05:2013,40834.0,39600.0,2400.0,0.0,600.0,0.0,-1,52,"0,0,Berry Hall,Sudikoff Hall,Sudikoff Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,0,0,0"
