date,home_time,school_time,travel_time,recreational_activities,working,orthers,date_in_week,volunteer
01:04:2013 ,67199.0,6001.0,1201.0,0.0,0.0,0.0,0,53
01:05:2013 ,81600.0,4800.0,0.0,0.0,0.0,0.0,2,53
01:06:2013 ,23984.0,0.0,0.0,3599.0,0.0,0.0,5,53
02:04:2013 ,89675.0,8405.0,0.0,0.0,0.0,0.0,1,53
02:05:2013 ,92400.0,3600.0,0.0,0.0,0.0,0.0,3,53
03:04:2013 ,68405.0,4801.0,1197.0,0.0,0.0,0.0,2,53
03:05:2013 ,69600.0,7200.0,0.0,0.0,0.0,0.0,4,53
04:04:2013 ,38403.0,8400.0,1195.0,4800.0,32400.0,0.0,3,53
04:05:2013 ,78692.0,9618.0,0.0,0.0,1200.0,0.0,5,53
05:04:2013 ,58730.0,2505.0,0.0,0.0,25202.0,0.0,4,53
05:05:2013 ,81600.0,1200.0,0.0,0.0,0.0,0.0,-1,53
06:04:2013 ,86262.0,2398.0,0.0,0.0,0.0,0.0,5,53
06:05:2013 ,84842.0,1200.0,0.0,1200.0,0.0,0.0,0,53
07:04:2013 ,90000.0,2400.0,0.0,0.0,0.0,4800.0,-1,53
07:05:2013 ,71998.0,2400.0,0.0,2400.0,0.0,10520.0,1,53
08:04:2013 ,75463.0,1200.0,0.0,0.0,0.0,0.0,0,53
08:05:2013 ,81629.0,3700.0,0.0,0.0,0.0,0.0,2,53
09:04:2013 ,86500.0,7200.0,1201.0,0.0,0.0,2401.0,1,53
09:05:2013 ,84421.0,1201.0,0.0,0.0,0.0,0.0,3,53
10:04:2013 ,69600.0,3600.0,0.0,0.0,0.0,0.0,2,53
10:05:2013 ,75605.0,7202.0,0.0,2393.0,2400.0,0.0,4,53
11:04:2013 ,72003.0,10799.0,2398.0,0.0,0.0,0.0,3,53
11:05:2013 ,76799.0,2406.0,1200.0,7199.0,0.0,0.0,5,53
12:04:2013 ,82281.0,1200.0,0.0,3604.0,0.0,0.0,4,53
12:05:2013 ,107991.0,0.0,0.0,1200.0,0.0,0.0,-1,53
13:04:2013 ,103200.0,2400.0,0.0,1198.0,0.0,0.0,5,53
13:05:2013 ,56401.0,3599.0,0.0,2398.0,0.0,0.0,0,53
14:04:2013 ,65880.0,1197.0,0.0,1199.0,0.0,0.0,-1,53
14:05:2013 ,84001.0,0.0,0.0,1200.0,0.0,0.0,1,53
15:04:2013 ,77999.0,6001.0,0.0,0.0,0.0,0.0,0,53
15:05:2013 ,57946.0,13201.0,1200.0,11999.0,0.0,2401.0,2,53
16:04:2013 ,69600.0,15600.0,0.0,0.0,0.0,0.0,1,53
16:05:2013 ,81596.0,2401.0,0.0,2403.0,0.0,0.0,3,53
17:04:2013 ,92400.0,0.0,0.0,0.0,0.0,0.0,2,53
17:05:2013 ,82802.0,3598.0,0.0,1200.0,0.0,0.0,4,53
18:04:2013 ,75606.0,3597.0,1199.0,0.0,0.0,0.0,3,53
18:05:2013 ,80395.0,7201.0,0.0,0.0,0.0,0.0,5,53
19:04:2013 ,86968.0,1199.0,0.0,0.0,0.0,0.0,4,53
19:05:2013 ,84002.0,0.0,0.0,1200.0,0.0,0.0,-1,53
20:04:2013 ,82799.0,2401.0,0.0,0.0,0.0,0.0,5,53
20:05:2013 ,86402.0,0.0,0.0,0.0,0.0,0.0,0,53
21:04:2013 ,98400.0,3600.0,0.0,0.0,0.0,0.0,-1,53
21:05:2013 ,64908.0,13690.0,0.0,4799.0,0.0,1802.0,1,53
22:04:2013 ,64269.0,7949.0,0.0,0.0,0.0,0.0,0,53
22:05:2013 ,81490.0,3709.0,0.0,601.0,0.0,0.0,2,53
23:04:2013 ,82051.0,0.0,0.0,0.0,0.0,2400.0,1,53
23:05:2013 ,83401.0,3602.0,1799.0,0.0,0.0,0.0,3,53
24:04:2013 ,96110.0,4800.0,0.0,0.0,0.0,0.0,2,53
24:05:2013 ,85800.0,5400.0,0.0,0.0,0.0,0.0,4,53
25:04:2013 ,75208.0,0.0,0.0,0.0,0.0,0.0,3,53
25:05:2013 ,80577.0,1199.0,0.0,7625.0,0.0,599.0,5,53
26:04:2013 ,76806.0,4799.0,1200.0,1200.0,0.0,0.0,4,53
26:05:2013 ,73778.0,1222.0,0.0,3000.0,0.0,0.0,-1,53
27:04:2013 ,88800.0,1200.0,0.0,0.0,0.0,0.0,5,53
27:05:2013 ,101099.0,0.0,0.0,1799.0,0.0,0.0,0,53
28:03:2013 ,68431.0,0.0,8368.0,0.0,0.0,0.0,3,53
28:04:2013 ,80400.0,2400.0,0.0,0.0,2400.0,0.0,-1,53
28:05:2013 ,69599.0,1200.0,0.0,0.0,0.0,0.0,1,53
29:03:2013 ,79131.0,7196.0,1201.0,0.0,0.0,0.0,4,53
29:04:2013 ,81600.0,3525.0,0.0,0.0,0.0,0.0,0,53
29:05:2013 ,75600.0,601.0,0.0,7199.0,0.0,0.0,2,53
30:03:2013 ,79201.0,5999.0,0.0,0.0,0.0,0.0,5,53
30:04:2013 ,82800.0,1275.0,1200.0,0.0,0.0,0.0,1,53
30:05:2013 ,70151.0,659.0,0.0,21395.0,0.0,0.0,3,53
31:03:2013 ,86748.0,12602.0,599.0,0.0,0.0,0.0,-1,53
31:05:2013 ,85199.0,1801.0,0.0,1802.0,0.0,0.0,4,53
