date,recreational_activities,school_time,working,home_time,shopping,travel_time,orthers,date_in_week,volunteer,location_names
01:04:2013,1200.0,3600.0,156102.0,0.0,0.0,0.0,0.0,0,58,"0,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta"
01:05:2013,2404.0,13081.0,16807.0,45637.0,1297.0,3621.0,0.0,2,58,"Sudikoff Hall,Sudikoff Hall,Alpha Theta,Hanover Park,Phi Tau,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,Dartmouth College,Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Hopkins Center for the Arts,Phi Tau,Phi Tau"
02:04:2013,0.0,4805.0,7254.0,0.0,0.0,0.0,0.0,1,58,"Alpha Theta,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall"
02:05:2013,0.0,24056.0,49208.0,8278.0,0.0,4858.0,0.0,3,58,"Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Alpha Theta,0,Native American House,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse"
03:04:2013,3600.0,8409.0,69596.0,4799.0,0.0,0.0,0.0,2,58,"Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Carson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta"
03:05:2013,3483.0,21558.0,43034.0,13200.0,0.0,2395.0,2396.0,4,58,"0,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0,Native American House,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Native American House,Peaceful Serenity,Native American House,Peaceful Serenity,Native American House,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Dartmouth College,Dartmouth College"
04:04:2013,4803.0,13175.0,7259.0,61164.0,0.0,0.0,0.0,3,58,"Collis Student Center,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alpha Theta,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,3558.0,42207.0,27820.0,4199.0,0.0,604.0,7239.0,5,58,"Phi Tau,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Peaceful Serenity,Alpha Theta,Alpha Theta,Sanborn House,Sanborn House,Alpha Theta,Native American House,Left Bank Books,0,0,Sudikoff Hall,Sudikoff Hall,Parker House,0,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Phi Tau,Alpha Theta,Dartmouth College"
05:04:2013,10848.0,14401.0,57496.0,3597.0,0.0,0.0,8460.0,4,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,Phi Tau,Alpha Theta,Alpha Theta,Alpha Theta,0,Alpha Theta,Alpha Theta,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Collis Student Center,Alumni Gymnasium,Alumni Gymnasium"
05:05:2013,2995.0,22057.0,50505.0,4213.0,0.0,7784.0,1849.0,-1,58,"0,Phi Tau,0,Dartmouth College,Phi Tau,Dartmouth College,Native American House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Class of 1953 Commons,0,Alpha Phi,0,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Native American House,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Collis Student Center,Dartmouth College,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Parkhurst Hall,Class of 1953 Commons,Alpha Theta,Peaceful Serenity,Dartmouth College,0,Battle Field,Battle Field,Battle Field,Alpha Theta"
06:04:2013,0.0,0.0,0.0,0.0,0.0,0.0,223435.0,5,58,"Terminal A,Terminal A,Terminal A Satellite,Terminal A Satellite"
06:05:2013,4190.0,22626.0,51789.0,4804.0,0.0,0.0,588.0,0,58,"Alpha Theta,Black Family Visual Arts Center,Black Family Visual Arts Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Phi Tau,Phi Tau,Alpha Theta,Phi Tau,Dartmouth College,Alpha Theta,Phi Tau,Phi Tau"
07:05:2013,9058.0,8285.0,54069.0,6000.0,0.0,3595.0,4732.0,1,58,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Alpha Theta,0,Peaceful Serenity,Class of 1953 Commons,Class of 1953 Commons,Peaceful Serenity,Alumni Gymnasium,Alumni Gymnasium,Native American House,Peaceful Serenity,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Phi Tau,Phi Tau,Dartmouth College,Phi Tau,Sudikoff Hall,Native American House"
08:04:2013,8357.0,0.0,0.0,0.0,0.0,2337.0,48087.0,0,58,"Arby's,National / Alamo,Detroit Metropolitan Airport,Level 2 Gates,Level 2 Gates,A Concourse"
08:05:2013,9601.0,18591.0,27516.0,15665.0,0.0,5387.0,9707.0,2,58,"Collis Student Center,0,Phi Tau,0,Phi Tau,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Post Office Northbound,Hanover Post Office Northbound,Dartmouth College,Phi Tau,Phi Tau,Alpha Theta,0,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,0,Phi Tau,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Native American House,Peaceful Serenity,Native American House,Peaceful Serenity,Alpha Theta,Native American House,Native American House,Peaceful Serenity,Alpha Theta,Peaceful Serenity,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Peaceful Serenity,Peaceful Serenity,Native American House,Peaceful Serenity,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Native American House,Alpha Theta"
09:04:2013,0.0,9548.0,47996.0,0.0,0.0,0.0,0.0,1,58,"Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall"
09:05:2013,3116.0,29901.0,36047.0,1719.0,0.0,4800.0,11320.0,3,58,"Native American House,Native American House,Alpha Theta,Alpha Theta,Lot 3,Lot 3,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Dartmouth College,Peaceful Serenity,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Peaceful Serenity,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Alpha Theta,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Peaceful Serenity,Alpha Theta,Native American House,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Native American House,Native American House,Peaceful Serenity,Alpha Theta"
