date,home_time,school_time,orthers,travel_time,recreational_activities,working,shopping,date_in_week,volunteer,location_names
01:04:2013,9684.0,4800.0,0.0,0.0,0.0,0.0,0.0,0,59,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
01:05:2013,100799.0,4800.0,0.0,0.0,0.0,0.0,0.0,2,59,"Class of 1953 Commons,0,0,Sudikoff Hall,Fairchild Physical Sciences Center,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
02:04:2013,6003.0,0.0,101186.0,4411.0,0.0,0.0,0.0,1,59,"0,Dewey Parking Lot,0,0,0,0,0"
02:05:2013,72001.0,4800.0,0.0,1199.0,0.0,0.0,0.0,3,59,"0,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,0,0"
03:04:2013,59248.0,5999.0,0.0,0.0,0.0,0.0,0.0,2,59,"0,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
03:05:2013,73413.0,2400.0,0.0,1290.0,0.0,0.0,0.0,4,59,"0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0,0"
04:04:2013,87601.0,11122.0,0.0,1200.0,0.0,0.0,0.0,3,59,"0,0,0,0,0,0,Vox Lane Parking Lot,0,Sudikoff Hall,Sudikoff Hall,0,0"
04:05:2013,106378.0,9596.0,0.0,3297.0,0.0,0.0,0.0,5,59,"0,Berry Sports Center Parking Lot,0,0,0,0,0,0,0,0,0,0,0,0"
05:04:2013,146283.0,13128.0,0.0,0.0,0.0,0.0,0.0,4,59,"0,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0"
05:05:2013,56522.0,1324.0,0.0,0.0,0.0,0.0,0.0,-1,59,"0,McNutt Hall,Steele Hall,0,0,0"
06:05:2013,161519.0,1801.0,0.0,0.0,0.0,0.0,0.0,0,59,"0,0,0,0,0,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0"
07:04:2013,63413.0,10805.0,7146.0,1249.0,0.0,0.0,0.0,-1,59,"0,0,Sudikoff Hall,0,0,0"
07:05:2013,600.0,0.0,3601.0,0.0,1800.0,0.0,0.0,1,59,"0,Hood Museum of Art,Nugget Arcade"
08:04:2013,178803.0,6000.0,0.0,3597.0,0.0,0.0,0.0,0,59,"0,Bartlett Hall,0,0,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
08:05:2013,93599.0,3602.0,0.0,600.0,6599.0,0.0,0.0,2,59,"Lot 7,0,0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0,0,0,0,Guarini Institute for International Education,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
09:05:2013,60600.0,8400.0,0.0,600.0,0.0,0.0,0.0,3,59,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,0"
10:04:2013,65959.0,2401.0,0.0,0.0,0.0,0.0,0.0,2,59,"0,Winfred-Raven House,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0"
10:05:2013,97204.0,1799.0,600.0,0.0,5401.0,600.0,0.0,4,59,"0,0,0,Hood Museum of Art,Hood Museum of Art,0,0,Topliff Hall,0,Sphinx Secret Society,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Byrne II Hall,0,0"
11:04:2013,89924.0,8400.0,0.0,1202.0,0.0,0.0,0.0,3,59,"0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0"
11:05:2013,144512.0,600.0,4963.0,4637.0,0.0,0.0,0.0,5,59,"0,0,Nugget Arcade,Nugget Arcade,0,Nugget Arcade,0,0"
12:04:2013,62400.0,10800.0,0.0,0.0,0.0,0.0,0.0,4,59,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
13:04:2013,91200.0,0.0,0.0,0.0,0.0,0.0,0.0,5,59,"0,0,0,0,0,0,0"
13:05:2013,142005.0,7744.0,9554.0,0.0,4770.0,0.0,0.0,0,59,"Hanover Post Office,Dartmouth College,0,West Stands,0,0,0,0,Reed Hall,0,Sudikoff Hall,Sudikoff Hall,Goldstein Hall,0"
14:04:2013,64842.0,1199.0,0.0,14366.0,2434.0,0.0,0.0,-1,59,"0,Dana Circle Parking Lot,Hood Museum of Art,0,0,0,Sudikoff Hall,0"
14:05:2013,3749.0,0.0,0.0,0.0,0.0,0.0,0.0,1,59,Zimmerman Hall
15:04:2013,98401.0,1200.0,0.0,0.0,0.0,0.0,0.0,0,59,"0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
15:05:2013,100200.0,2998.0,0.0,3268.0,0.0,0.0,0.0,2,59,"0,Zimmerman Hall,0,0,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
16:04:2013,64466.0,0.0,0.0,1537.0,5997.0,0.0,0.0,1,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,Berry Sports Center Parking Lot"
16:05:2013,60601.0,8399.0,0.0,0.0,0.0,0.0,0.0,3,59,"0,0,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0"
17:04:2013,100800.0,0.0,0.0,0.0,6000.0,0.0,0.0,2,59,"0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
17:05:2013,85068.0,4800.0,2284.0,3248.0,0.0,0.0,0.0,4,59,"0,Hanover Post Office,0,0,0,0,0"
18:04:2013,59224.0,7195.0,0.0,0.0,0.0,0.0,0.0,3,59,"0,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,58800.0,8401.0,2167.0,0.0,28990.0,0.0,0.0,5,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,Davidson Pottery Studio"
19:04:2013,90013.0,0.0,0.0,0.0,0.0,0.0,0.0,4,59,"0,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
19:05:2013,167400.0,0.0,0.0,0.0,3042.0,0.0,0.0,-1,59,"Hanover Inn Dartmouth,0"
20:04:2013,82707.0,8400.0,0.0,0.0,6000.0,0.0,0.0,5,59,"0,Sudikoff Hall,Sudikoff Hall,0,Alumni Gymnasium,Alumni Gymnasium,0,0"
21:04:2013,72000.0,0.0,0.0,1293.0,0.0,0.0,0.0,-1,59,"Berry Sports Center Parking Lot,0"
21:05:2013,46796.0,1803.0,0.0,1207.0,7794.0,0.0,9000.0,1,59,"0,Dana Circle Parking Lot,Dartmouth College,0,Black Family Visual Arts Center,Dewey Field Road,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,Jewel of India"
