date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,volunteer,location_names
01:04:2013,60003.0,1198.0,2400.0,16799.0,0.0,0.0,0,60,"Butterfield Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Vail,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
01:05:2013,66000.0,0.0,0.0,18000.0,0.0,0.0,2,60,"Butterfield Hall,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Russell Sage Hall,Class of 1953 Commons"
01:06:2013,3602.0,0.0,34798.0,0.0,0.0,0.0,5,60,"Russell Sage Hall,Butterfield Hall,Butterfield Hall,Hood Museum of Art,Hood Museum of Art,0"
02:04:2013,73201.0,0.0,4799.0,16800.0,0.0,0.0,1,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
02:05:2013,65531.0,0.0,4798.0,12001.0,1197.0,2528.0,3,60,"Class of 1953 Commons,Class of 1953 Commons,Berry Library,Berry Library,Dartmouth College,Mass Parking Lot,Class of 1953 Commons,Dartmouth College,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
03:04:2013,55201.0,0.0,0.0,21600.0,0.0,0.0,2,60,"Dartmouth College,Russell Sage Hall,Butterfield Hall,Butterfield Hall,Class of 1953 Commons,Russell Sage Hall,McLane Hall,Butterfield Hall,Butterfield Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons"
03:05:2013,92888.0,0.0,0.0,10802.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Butterfield Hall"
04:04:2013,74399.0,0.0,0.0,12000.0,0.0,0.0,3,60,"South Fairbanks,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Latin American, Latino/a, and Caribbean House,Chinese Language House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Russell Sage Hall,Butterfield Hall,Russell Sage Hall,Class of 1953 Commons,Butterfield Hall,Butterfield Hall"
04:05:2013,76054.0,0.0,0.0,7199.0,2400.0,0.0,5,60,"Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Blunt Alumni Center Parking Lot,Butterfield Hall,Butterfield Hall,Dana Parking Lot,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Russell Sage Hall"
05:04:2013,47220.0,0.0,0.0,39180.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Life Sciences Greenhouse,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College"
05:05:2013,56403.0,0.0,5999.0,8400.0,0.0,0.0,-1,60,"Butterfield Hall,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Hopkins Center for the Arts,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Butterfield Hall"
