date,home_time,recreational_activities,school_time,travel_time,working,shopping,orthers,date_in_week,volunteer
01:04:2013 ,2400.0,4800.0,9600.0,0.0,0.0,0.0,0.0,0,6
01:05:2013 ,64800.0,6000.0,0.0,0.0,0.0,0.0,0.0,2,6
02:04:2013 ,69599.0,8401.0,7200.0,0.0,0.0,0.0,0.0,1,6
02:05:2013 ,157200.0,1200.0,0.0,0.0,0.0,0.0,0.0,3,6
03:04:2013 ,72002.0,3599.0,9600.0,2399.0,0.0,0.0,0.0,2,6
03:05:2013 ,6002.0,7198.0,0.0,0.0,0.0,0.0,0.0,4,6
04:04:2013 ,30001.0,19199.0,3600.0,32400.0,0.0,0.0,0.0,3,6
04:05:2013 ,106800.0,1200.0,0.0,0.0,0.0,0.0,0.0,5,6
05:04:2013 ,63600.0,7200.0,15601.0,1199.0,0.0,0.0,0.0,4,6
05:05:2013 ,81600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,6
06:04:2013 ,79201.0,12000.0,0.0,0.0,0.0,0.0,0.0,5,6
06:05:2013 ,65999.0,0.0,4201.0,0.0,0.0,0.0,0.0,0,6
07:04:2013 ,73198.0,7201.0,0.0,0.0,0.0,0.0,0.0,-1,6
07:05:2013 ,149896.0,0.0,5999.0,0.0,0.0,0.0,0.0,1,6
08:04:2013 ,71998.0,0.0,4802.0,10800.0,0.0,0.0,0.0,0,6
08:05:2013 ,11401.0,2999.0,2400.0,0.0,0.0,0.0,0.0,2,6
09:04:2013 ,63600.0,6000.0,14402.0,0.0,1200.0,0.0,0.0,1,6
09:05:2013 ,115805.0,2397.0,0.0,0.0,0.0,598.0,0.0,3,6
10:04:2013 ,76798.0,4800.0,6000.0,0.0,0.0,0.0,0.0,2,6
10:05:2013 ,40204.0,1796.0,12601.0,0.0,0.0,0.0,0.0,4,6
11:04:2013 ,74401.0,7200.0,0.0,0.0,0.0,0.0,3599.0,3,6
11:05:2013 ,85800.0,599.0,0.0,0.0,0.0,0.0,0.0,5,6
12:04:2013 ,76800.0,9599.0,1201.0,0.0,0.0,0.0,0.0,4,6
12:05:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,6
13:04:2013 ,116402.0,1200.0,0.0,0.0,0.0,0.0,0.0,5,6
13:05:2013 ,60598.0,24002.0,0.0,0.0,0.0,0.0,0.0,0,6
14:04:2013 ,49204.0,3597.0,0.0,1200.0,0.0,0.0,0.0,-1,6
14:05:2013 ,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6
15:04:2013 ,76800.0,0.0,10800.0,0.0,0.0,0.0,0.0,0,6
15:05:2013 ,87620.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6
16:04:2013 ,157202.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,6
16:05:2013 ,249782.0,0.0,2998.0,0.0,0.0,0.0,4800.0,3,6
17:04:2013 ,7200.0,2400.0,4802.0,0.0,0.0,0.0,0.0,2,6
18:04:2013 ,80401.0,2399.0,2400.0,0.0,0.0,0.0,0.0,3,6
18:05:2013 ,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
19:04:2013 ,84000.0,6000.0,0.0,0.0,0.0,0.0,0.0,4,6
19:05:2013 ,84600.0,3000.0,0.0,0.0,0.0,0.0,0.0,-1,6
20:04:2013 ,78542.0,5999.0,0.0,0.0,0.0,0.0,0.0,5,6
20:05:2013 ,85201.0,600.0,0.0,0.0,0.0,0.0,0.0,0,6
21:04:2013 ,91201.0,7199.0,0.0,0.0,0.0,0.0,0.0,-1,6
21:05:2013 ,83435.0,599.0,1799.0,0.0,0.0,0.0,0.0,1,6
22:04:2013 ,68400.0,2400.0,3600.0,0.0,0.0,0.0,0.0,0,6
22:05:2013 ,83399.0,1800.0,601.0,0.0,0.0,0.0,0.0,2,6
23:04:2013 ,81600.0,1200.0,4800.0,0.0,0.0,0.0,0.0,1,6
23:05:2013 ,84000.0,4202.0,598.0,0.0,0.0,0.0,0.0,3,6
24:04:2013 ,81600.0,1200.0,1200.0,0.0,0.0,0.0,0.0,2,6
24:05:2013 ,95512.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6
25:04:2013 ,82801.0,2400.0,1200.0,0.0,0.0,0.0,0.0,3,6
25:05:2013 ,184872.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
26:04:2013 ,80447.0,6000.0,0.0,0.0,0.0,0.0,0.0,4,6
27:03:2013 ,9599.0,0.0,3599.0,0.0,0.0,0.0,0.0,2,6
27:04:2013 ,20400.0,2400.0,0.0,68400.0,0.0,0.0,0.0,5,6
27:05:2013 ,63010.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
28:03:2013 ,70801.0,8399.0,3600.0,0.0,0.0,0.0,0.0,3,6
28:04:2013 ,82801.0,1199.0,0.0,0.0,0.0,0.0,0.0,-1,6
28:05:2013 ,88075.0,602.0,0.0,0.0,0.0,0.0,0.0,1,6
29:03:2013 ,78000.0,2400.0,6000.0,0.0,0.0,0.0,0.0,4,6
29:04:2013 ,79200.0,4800.0,1200.0,0.0,0.0,0.0,0.0,0,6
29:05:2013 ,61801.0,2399.0,1201.0,0.0,0.0,0.0,0.0,2,6
30:03:2013 ,80400.0,6000.0,2400.0,0.0,0.0,0.0,0.0,5,6
30:04:2013 ,98401.0,1200.0,2399.0,0.0,0.0,0.0,0.0,1,6
31:03:2013 ,154800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,6
