date,home_time,recreational_activities,school_time,shopping,travel_time,orthers,working,date_in_week,volunteer,location_names
01:04:2013,69600.0,10800.0,4800.0,0.0,0.0,0.0,0.0,0,8,"Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Morton Hall,Hopkins Center for the Arts,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium"
01:05:2013,73200.0,3598.0,8402.0,1200.0,0.0,0.0,0.0,2,8,"Morton Hall,Hopkins Center for the Arts,Wilder Hall,Wilder Hall,Morton Hall,Morton Hall,Sudikoff Hall,Berry Library,Class of 1953 Commons,Morton Hall,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Observatory Road,Morton Hall"
02:04:2013,45600.0,13200.0,1199.0,0.0,25201.0,0.0,0.0,1,8,"Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Maynard Parking Lot,Maynard Parking Lot,Carson Hall,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Morton Hall,Morton Hall"
02:05:2013,78000.0,6058.0,0.0,0.0,0.0,3542.0,1200.0,3,8,"Morton Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Chi Heorot,Morton Hall,Morton Hall,Hopkins Center for the Arts,Life Sciences Greenhouse"
03:04:2013,54000.0,14400.0,19200.0,0.0,0.0,0.0,0.0,2,8,"Dartmouth College,Class of 1953 Commons,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alumni Gymnasium,Alumni Gymnasium"
03:05:2013,74402.0,4800.0,3598.0,0.0,1200.0,0.0,0.0,4,8,"0,Wilder Hall,Wilder Hall,Brace Commons,McCulloch Hall,0,Morton Hall,Morton Hall"
04:04:2013,42000.0,13201.0,7200.0,0.0,19200.0,0.0,3599.0,3,8,"Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dana Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Sphinx Secret Society,Carson Hall,Maynard Parking Lot,Morton Hall,Morton Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,100801.0,10799.0,1200.0,0.0,0.0,0.0,0.0,5,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Morton Hall"
05:04:2013,328763.0,3733.0,8402.0,0.0,1366.0,10468.0,0.0,4,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Wilder Hall,Wilder Hall,Morton Hall,Morton Hall,Alumni Gymnasium,0,Class of 1953 Commons,Topliff Courts,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hopkins Center for the Arts,Morton Hall"
05:05:2013,116400.0,0.0,2402.0,0.0,19198.0,0.0,2400.0,-1,8,"Morton Hall,Vail,Maynard Parking Lot,Maynard Parking Lot,Zahm Courtyard,Chi Heorot,0,Maynard Parking Lot,Maynard Parking Lot,Amarna,0,Maynard Parking Lot,Maynard Parking Lot,Morton Hall"
06:05:2013,6006.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,Morton Hall
07:05:2013,62394.0,0.0,0.0,0.0,26400.0,0.0,0.0,1,8,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Morton Hall,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Morton Hall"
08:05:2013,346638.0,3599.0,4800.0,0.0,2401.0,0.0,12000.0,2,8,"Morton Hall,Wilder Hall,Wilder Hall,Morton Hall,Morton Hall,Class of 1953 Commons,Phi Tau,Dartmouth College,0,Hopkins Center for the Arts,Alpha Theta,Morton Hall"
09:04:2013,76802.0,1200.0,0.0,0.0,1198.0,0.0,0.0,1,8,"Alumni Gymnasium,Morton Hall,Morton Hall,East Wheelock Street"
10:04:2013,97199.0,6000.0,7201.0,0.0,0.0,0.0,0.0,2,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Wilder Hall,Wilder Hall,Morton Hall,Morton Hall,Dartmouth College,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall"
11:04:2013,61200.0,2400.0,1200.0,0.0,0.0,0.0,0.0,3,8,"Morton Hall,Hopkins Center for the Arts,Topliff Courts,Morton Hall,Morton Hall,Class of 1953 Commons,Dartmouth College,Life Sciences Greenhouse"
12:04:2013,62400.0,4800.0,18000.0,0.0,0.0,0.0,0.0,4,8,"Life Sciences Greenhouse,Wilder Hall,Wilder Hall,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Morton Hall,Morton Hall,Alumni Gymnasium,Class of 1953 Commons,Morton Hall,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,The Irving Institute for Energy & Society"
12:05:2013,38398.0,0.0,0.0,0.0,24002.0,0.0,0.0,-1,8,"Morton Hall,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Dartmouth College,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Morton Hall"
13:04:2013,97198.0,8402.0,1200.0,0.0,0.0,0.0,1200.0,5,8,"The Irving Institute for Energy & Society,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Morton Hall,Chi Heorot,Hopkins Center for the Arts,Hopkins Center for the Arts,Black Family Visual Arts Center,Black Family Visual Arts Center,Zimmerman Hall,Morton Hall"
13:05:2013,54003.0,0.0,15596.0,0.0,7201.0,0.0,7201.0,0,8,"Morton Hall,0,0,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Morton Hall,Morton Hall,Bartlett Hall,Dartmouth College,Alpha Theta,Alpha Theta"
14:04:2013,67200.0,0.0,2400.0,0.0,14122.0,1478.0,0.0,-1,8,"Morton Hall,Class of 1953 Commons,Morton Hall,Morton Hall,Maynard Parking Lot,Maynard Parking Lot,Sherman House,Maynard Parking Lot,Maynard Parking Lot,0,Thomas Hall,Thomas Hall,Maynard Parking Lot,Maynard Parking Lot,Morton Hall"
14:05:2013,50400.0,2400.0,10799.0,0.0,25200.0,0.0,0.0,1,8,"Class of 1953 Commons,Class of 1953 Commons,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Maynard Parking Lot,Maynard Parking Lot,Morton Hall"
15:04:2013,63923.0,2400.0,0.0,0.0,0.0,0.0,0.0,0,8,"Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall"
15:05:2013,1200.0,0.0,6000.0,0.0,0.0,0.0,0.0,2,8,"Morton Hall,Wilder Hall,Wilder Hall,Morton Hall"
16:04:2013,55203.0,3600.0,1200.0,0.0,23998.0,1200.0,0.0,1,8,"Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Morton Hall,Hopkins Center for the Arts,Maynard Parking Lot,Maynard Parking Lot,0,Maynard Parking Lot,Maynard Parking Lot,Bartlett Hall,Maynard Parking Lot,Maynard Parking Lot,Lot 7,Maynard Parking Lot,Maynard Parking Lot,Morton Hall,Morton Hall"
17:04:2013,50401.0,1200.0,34798.0,0.0,0.0,0.0,0.0,2,8,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,0,Morton Hall,Morton Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Morton Hall"
18:04:2013,75205.0,5195.0,6000.0,0.0,0.0,0.0,0.0,3,8,"Morton Hall,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Alumni Gymnasium,Morton Hall,Morton Hall,Class of 1953 Commons,Morton Hall,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
19:04:2013,60000.0,7199.0,20401.0,0.0,0.0,0.0,0.0,4,8,"Class of 1953 Commons,Class of 1953 Commons,Wilder Hall,Wilder Hall,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Sudikoff Hall,Morton Hall,Morton Hall,Hopkins Center for the Arts,Morton Hall,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
20:04:2013,143885.0,8515.0,8400.0,0.0,0.0,0.0,0.0,5,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Morton Hall"
21:04:2013,25159.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,8,Morton Hall
22:04:2013,61241.0,4800.0,7200.0,0.0,0.0,0.0,0.0,0,8,"Dartmouth College,Hopkins Center for the Arts,Morton Hall,Morton Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall"
23:04:2013,58800.0,0.0,3600.0,0.0,25200.0,0.0,0.0,1,8,"Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Morton Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Morton Hall,Morton Hall,Maynard Parking Lot,Maynard Parking Lot,Dartmouth College,Maynard Parking Lot,Maynard Parking Lot,Morton Hall"
24:04:2013,70800.0,1200.0,12000.0,0.0,0.0,0.0,0.0,2,8,"Morton Hall,Wilder Hall,Wilder Hall,Morton Hall,Morton Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Morton Hall,Morton Hall"
25:04:2013,85202.0,0.0,0.0,0.0,0.0,1198.0,0.0,3,8,"Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Dick's House,Dartmouth College,Dartmouth College"
26:04:2013,81601.0,3599.0,0.0,0.0,1200.0,0.0,0.0,4,8,"Maynard Parking Lot,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall"
27:03:2013,36001.0,5998.0,4801.0,0.0,0.0,0.0,0.0,2,8,"Morton Hall,Morton Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alumni Gymnasium,Alumni Gymnasium"
27:04:2013,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8,"Morton Hall,0,Morton Hall"
28:03:2013,63598.0,12004.0,11999.0,0.0,0.0,0.0,0.0,3,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Morton Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,82800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,8,"Dartmouth College,Morton Hall"
29:03:2013,53997.0,9600.0,21602.0,0.0,0.0,0.0,0.0,4,8,"Fairchild Physical Sciences Center,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College"
29:04:2013,81615.0,2400.0,2397.0,0.0,0.0,0.0,0.0,0,8,"Morton Hall,Class of 1953 Commons,Dartmouth College,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Morton Hall,McCulloch Hall,McCulloch Hall,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall"
30:03:2013,63674.0,3619.0,0.0,0.0,1199.0,19612.0,0.0,5,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,0,0,Berry Sports Center Parking Lot,Morton Hall,Morton Hall"
30:04:2013,80798.0,2361.0,3557.0,0.0,0.0,0.0,0.0,1,8,"Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall"
31:03:2013,45600.0,3779.0,3600.0,0.0,20400.0,13717.0,0.0,-1,8,"0,Alumni Gymnasium,Morton Hall,Morton Hall,Class of 1953 Commons,Class of 1953 Commons,Morton Hall,Morton Hall,Maynard Parking Lot,Maynard Parking Lot,Vail Dartmouth Medical School,Maynard Parking Lot,Maynard Parking Lot,Dana Parking Lot,Maynard Parking Lot,Dartmouth College,Maynard Parking Lot,Maynard Parking Lot,Thomas Hall,Maynard Parking Lot,Remsen Medical Sciences Building,Morton Hall"
