date,home_time,school_time,shopping,orthers,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,76801.0,4799.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,82800.0,0.0,1200.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
01:06:2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,11,Ripley Hall
02:04:2013,85204.0,0.0,0.0,1198.0,0.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Hanover Post Office,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
02:05:2013,84000.0,0.0,0.0,0.0,1200.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
03:04:2013,78000.0,8401.0,0.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,86401.0,0.0,1199.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,79201.0,4800.0,0.0,0.0,1199.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,91200.0,3600.0,0.0,0.0,3600.0,1200.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Sphinx Secret Society,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,South Fayerweather Hall,Dartmouth College"
05:04:2013,81603.0,5997.0,0.0,0.0,0.0,0.0,0.0,4,0.0,6000.0,11,"Dartmouth College,Dartmouth College,Guarini Institute for International Education,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,70800.0,1200.0,1200.0,0.0,2400.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Woodward Hall,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,Observatory Road,Dartmouth College"
