date,home_time,school_time,working,orthers,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,69602.0,5999.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,13,"0,0,0,0,0,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center"
01:05:2013,100801.0,0.0,1199.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,13,"0,Dartmouth College,Dartmouth College,0,Dartmouth College,0,0,0,0,0,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0"
01:06:2013,30350.0,0.0,0.0,6002.0,0.0,0.0,0.0,5,0.0,0.0,13,"0,0,Mobil,0,0,0,Pulsifer Building,Pulsifer Building,0"
02:04:2013,78000.0,4802.0,0.0,0.0,3598.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,Dartmouth College,The Arthur L. Irving Institute for Energy & Society,The Arthur L. Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,G Lot Parking,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:05:2013,70800.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,13500.0,13,"0,0,0,0,0,0,Life Sciences Greenhouse"
03:04:2013,24000.0,26400.0,0.0,0.0,37200.0,0.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Carpenter Hall,Carpenter Hall,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center"
03:05:2013,65998.0,20402.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Carpenter Hall,Carpenter Hall,Dartmouth College,Kemeny Hall,Dartmouth College,Remsen Medical Sciences Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,69584.0,14416.0,0.0,1200.0,0.0,0.0,0.0,3,0.0,13500.0,13,"Haldeman Center,Dartmouth College,Blunt Alumni Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Bildner Hall,0,0,Big Green Real Estate,Dartmouth College,Dartmouth College,Dartmouth College,Bildner Hall,Bildner Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,96431.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,13,"Dartmouth College,0,0,0,0,0,0"
05:04:2013,50400.0,22800.0,0.0,13200.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Carpenter Hall,Carpenter Hall,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center"
05:05:2013,88203.0,0.0,0.0,1201.0,1197.0,0.0,0.0,-1,0.0,0.0,13,"0,Pulsifer Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
06:04:2013,16800.0,19208.0,0.0,10800.0,44392.0,0.0,0.0,5,0.0,0.0,13,"Haldeman Center,0,Newport State Airport,Newport State Airport,0,0,0"
06:05:2013,62401.0,10799.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10500.0,13,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center"
07:04:2013,60222.0,0.0,0.0,4800.0,16797.0,0.0,0.0,-1,0.0,0.0,13,"Newport State Airport,0,0,0,0,0,0,0,0,Hanover Street"
07:05:2013,87604.0,3600.0,0.0,2396.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Haldeman Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mascoma Bank,Dartmouth College"
08:04:2013,7218.0,0.0,0.0,26988.0,3600.0,48268.0,0.0,0,1.0,10500.0,13,"Patrick Leahy Burlington International Airport,Langley Inn,Langley Inn,0,0,0,0,0,Commissary,0"
08:05:2013,72605.0,3600.0,0.0,600.0,1795.0,0.0,0.0,2,1.0,10500.0,13,"Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Dartmouth College,Peaney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bildner Hall,Bildner Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Parking Lot,Dartmouth College,Dartmouth College,Haldeman Center"
09:04:2013,7308.0,0.0,0.0,0.0,78845.0,0.0,0.0,1,1.0,6600.0,13,"0,0,0,0,0,Dartmouth College"
