date,travel_time,home_time,school_time,recreational_activities,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,22800.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,North Main Street
01:05:2013,38997.0,8700.0,305.0,0.0,0.0,0.0,2,1.0,10800.0,14,"Dartmouth College,Anonymous Hall,Vail Dartmouth Medical School,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,55446.0,60000.0,0.0,0.0,0.0,0.0,1,1.0,6900.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,North Main Street"
02:05:2013,0.0,240853.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,14,"Dartmouth College,Dartmouth College"
03:04:2013,37199.0,29755.0,0.0,0.0,0.0,0.0,2,1.0,10800.0,14,"Dartmouth College,North Main Street"
04:04:2013,3600.0,55201.0,3599.0,0.0,0.0,0.0,3,1.0,6900.0,14,"Dartmouth College,North Main Street,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,0.0,59817.0,0.0,0.0,0.0,0.0,5,0.0,0.0,14,Dartmouth College
05:04:2013,34800.0,74400.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street"
05:05:2013,56408.0,22679.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"0,North Main Street"
06:04:2013,73200.0,4800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,14,"Dartmouth College,0"
06:05:2013,41769.0,14100.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"Dartmouth College,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,0"
07:04:2013,26400.0,45600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"North Main Street,Dartmouth College"
07:05:2013,0.0,328729.0,0.0,0.0,0.0,0.0,1,1.0,6900.0,14,"0,0,0,Dartmouth College,Dartmouth College"
08:04:2013,36000.0,123600.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"North Main Street,Dartmouth College"
09:04:2013,12001.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6900.0,14,North Main Street
10:04:2013,7200.0,93521.0,0.0,0.0,0.0,0.0,2,1.0,10800.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,North Main Street,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,2103.0,28500.0,297.0,0.0,0.0,0.0,4,1.0,9000.0,14,"0,Life Sciences Greenhouse,0,Vail,0,0,Dartmouth College"
11:04:2013,44400.0,42079.0,0.0,2399.0,0.0,0.0,3,1.0,6900.0,14,"Dartmouth College,Hopkins Center for the Arts,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,0,North Main Street,North Main Street,North Main Street"
11:05:2013,18800.0,43201.0,8999.0,0.0,0.0,0.0,5,0.0,0.0,14,"Dartmouth College,Anonymous Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Dartmouth College,Dartmouth College,0,0"
12:04:2013,6000.0,176726.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,14,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
12:05:2013,17987.0,102632.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,0"
13:05:2013,33001.0,16200.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"Dartmouth College,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Dewey Parking Lot"
14:04:2013,34800.0,67200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"Dartmouth College,0,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,Dartmouth College"
14:05:2013,25200.0,32400.0,0.0,0.0,30600.0,0.0,1,1.0,6900.0,14,"Dartmouth-Hitchcock Women's Health Resource Center,Dartmouth College,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,Dartmouth College,Dartmouth College"
15:04:2013,0.0,45600.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"Dartmouth College,0"
15:05:2013,2400.0,115128.0,3599.0,0.0,3600.0,0.0,2,1.0,10800.0,14,"Irving,0,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,North Main Street,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,124801.0,1199.0,0.0,0.0,0.0,0.0,1,1.0,6900.0,14,"North Main Street,Dartmouth College,Dewey Parking Lot,North Main Street,North Main Street"
