date,home_time,recreational_activities,school_time,working,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,73200.0,7201.0,4799.0,0.0,0.0,0.0,0,1.0,10500.0,15
01:05:2013 ,55198.0,7200.0,5996.0,20406.0,0.0,0.0,2,0.0,3900.0,15
02:04:2013 ,73198.0,1200.0,2400.0,9602.0,0.0,0.0,1,0.0,0.0,15
02:05:2013 ,60000.0,16800.0,0.0,8400.0,0.0,0.0,3,1.0,10500.0,15
03:04:2013 ,37200.0,24000.0,8400.0,16800.0,0.0,0.0,2,0.0,3900.0,15
03:05:2013 ,75603.0,13200.0,1201.0,10800.0,1196.0,0.0,4,1.0,3000.0,15
04:04:2013 ,40800.0,20400.0,6001.0,20400.0,0.0,0.0,3,1.0,10500.0,15
04:05:2013 ,17724.0,0.0,1471.0,51605.0,0.0,0.0,5,0.0,0.0,15
05:04:2013 ,50398.0,24000.0,6001.0,9600.0,4800.0,0.0,4,0.0,3000.0,15
05:05:2013 ,78002.0,9598.0,0.0,13200.0,0.0,0.0,-1,0.0,0.0,15
06:04:2013 ,38401.0,11999.0,0.0,27600.0,1200.0,0.0,5,0.0,0.0,15
06:05:2013 ,68402.0,2398.0,0.0,0.0,1200.0,0.0,0,1.0,10500.0,15
07:04:2013 ,60000.0,15600.0,0.0,12000.0,0.0,0.0,-1,0.0,0.0,15
07:05:2013 ,48003.0,19201.0,2401.0,15595.0,0.0,0.0,1,0.0,0.0,15
08:04:2013 ,42001.0,8399.0,7201.0,25200.0,0.0,0.0,0,1.0,10500.0,15
08:05:2013 ,46801.0,39259.0,0.0,2400.0,0.0,0.0,2,1.0,3900.0,15
09:04:2013 ,46800.0,21601.0,3599.0,16799.0,0.0,0.0,1,0.0,0.0,15
09:05:2013 ,64800.0,19201.0,0.0,0.0,0.0,0.0,3,1.0,10500.0,15
10:04:2013 ,44396.0,10804.0,4800.0,40800.0,0.0,0.0,2,0.0,3900.0,15
10:05:2013 ,8397.0,156692.0,5999.0,1203.0,0.0,0.0,4,0.0,3000.0,15
11:04:2013 ,57600.0,9600.0,1200.0,1200.0,0.0,0.0,3,1.0,10500.0,15
11:05:2013 ,18000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,15
12:04:2013 ,40800.0,25200.0,0.0,32400.0,0.0,0.0,4,1.0,3000.0,15
12:05:2013 ,68400.0,0.0,0.0,7200.0,0.0,0.0,-1,0.0,0.0,15
13:04:2013 ,61184.0,0.0,0.0,23197.0,0.0,0.0,5,0.0,0.0,15
13:05:2013 ,74401.0,4800.0,1199.0,0.0,0.0,0.0,0,1.0,10500.0,15
14:04:2013 ,67199.0,8400.0,0.0,19201.0,0.0,0.0,-1,0.0,0.0,15
14:05:2013 ,71609.0,1199.0,0.0,3602.0,1196.0,8794.0,1,0.0,0.0,15
15:04:2013 ,57601.0,4799.0,3599.0,2401.0,0.0,0.0,0,1.0,10500.0,15
15:05:2013 ,58970.0,19032.0,1199.0,8399.0,0.0,0.0,2,1.0,3900.0,15
16:04:2013 ,71803.0,0.0,3599.0,9600.0,1398.0,0.0,1,0.0,0.0,15
16:05:2013 ,67944.0,16800.0,0.0,0.0,0.0,0.0,3,1.0,10500.0,15
