date,home_time,orthers,school_time,travel_time,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,19200.0,42000.0,3600.0,4800.0,0.0,0.0,0,0.0,3900.0,16,"0,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College"
01:05:2013,1200.0,0.0,428428.0,0.0,0.0,0.0,2,0.0,10500.0,16,"Dartmouth College,Collis Student Center"
02:04:2013,113831.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,16,"North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Middle Massachusetts Hall,North Massachusetts Hall,Dartmouth College"
03:04:2013,45601.0,0.0,7200.0,4800.0,0.0,0.0,2,1.0,10500.0,16,"Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College"
04:04:2013,102352.0,0.0,0.0,0.0,8875.0,0.0,3,1.0,6900.0,16,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Ivy Lane,North Massachusetts Hall,Dartmouth College,Dartmouth College"
05:04:2013,40800.0,0.0,218945.0,0.0,0.0,0.0,4,0.0,3000.0,16,"North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:05:2013,9604.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,16,Dartmouth College
06:05:2013,54000.0,0.0,20401.0,3601.0,0.0,0.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,0,0,Vail"
07:05:2013,108989.0,0.0,2444.0,2400.0,0.0,1199.0,1,1.0,6600.0,16,"Hood Museum of Art,East Wheelock Street,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
08:04:2013,46800.0,0.0,7200.0,6000.0,0.0,0.0,0,0.0,3900.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,Dartmouth College"
08:05:2013,71453.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,76801.0,0.0,3600.0,3601.0,0.0,2399.0,1,1.0,6600.0,16,"North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Topliff Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,North Massachusetts Hall,0,0"
09:05:2013,148951.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,16,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,74397.0,0.0,6002.0,6000.0,0.0,0.0,2,1.0,10500.0,16,"Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth Hall,Dartmouth Hall,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College"
10:05:2013,8399.0,0.0,1199.0,1200.0,0.0,0.0,4,1.0,3000.0,16,"Life Sciences Greenhouse,0,Dartmouth College,Robinson Hall"
11:04:2013,161055.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,16,"Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College"
11:05:2013,242532.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,16,"Dartmouth College,Dartmouth College"
