date,home_time,recreational_activities,school_time,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,4800.0,1200.0,13200.0,0.0,0,0.0,7800.0,18,"House Center B,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Baker Memorial Library,House Center B"
01:05:2013,16792.0,0.0,55115.0,0.0,2,0.0,14400.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,House Center B"
02:04:2013,43200.0,0.0,51600.0,1200.0,1,0.0,10500.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Mass Parking Lot,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College"
02:05:2013,79253.0,0.0,1240.0,0.0,3,1.0,6900.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,14399.0,2400.0,54001.0,0.0,2,0.0,14400.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,15565.0,3647.0,68388.0,0.0,4,0.0,6000.0,18,"House Center B,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
04:04:2013,79200.0,0.0,7200.0,0.0,3,0.0,6900.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,0.0,1101.0,178473.0,0.0,5,0.0,0.0,18,"Hopkins Center for the Arts,House Center B"
05:04:2013,56400.0,0.0,30000.0,0.0,4,0.0,6000.0,18,"Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,9601.0,0.0,74401.0,4799.0,5,0.0,0.0,18,"House Center B,House Center B,Dartmouth College,House Center B,House Center B,Mass Parking Lot,House Center B,House Center B,Dartmouth College"
06:05:2013,71999.0,5481.0,1121.0,0.0,0,1.0,7800.0,18,"House Center B,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
07:04:2013,44399.0,0.0,57600.0,0.0,-1,0.0,0.0,18,"Dartmouth College,House Center B,House Center B,Dartmouth College"
07:05:2013,75601.0,1198.0,25200.0,1200.0,1,0.0,10500.0,18,"Berry Library,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,North Fairbanks,Hitchcock Hall,House Center B"
08:04:2013,8400.0,0.0,68400.0,0.0,0,0.0,7800.0,18,"House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,House Center B"
08:05:2013,22200.0,1200.0,46800.0,4800.0,2,0.0,14400.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Collis Student Center,House Center B,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,House Center B"
09:04:2013,1200.0,0.0,150000.0,0.0,1,0.0,10500.0,18,"House Center B,Dartmouth College,House Center B"
09:05:2013,105166.0,5400.0,45605.0,0.0,3,0.0,6900.0,18,"House Center B,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,House Center B,Berry Library,Berry Library,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,10800.0,0.0,4800.0,0.0,2,1.0,14400.0,18,"House Center B,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,50886.0,0.0,0.0,0.0,4,1.0,6000.0,18,Life Sciences Greenhouse
11:04:2013,10801.0,0.0,73200.0,0.0,3,0.0,6900.0,18,"Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,32403.0,0.0,38400.0,0.0,5,0.0,0.0,18,"Dartmouth College,House Center B,Dartmouth College,House Center B"
12:04:2013,68399.0,0.0,16800.0,1200.0,4,0.0,6000.0,18,"Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College"
12:05:2013,28800.0,1204.0,52796.0,0.0,-1,0.0,0.0,18,"Dartmouth College,Baker Memorial Library,Rockefeller Center,Rockefeller Center,Dartmouth College,House Center B,House Center B,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
13:04:2013,2400.0,0.0,174001.0,0.0,5,0.0,0.0,18,"Dartmouth College,Dartmouth College,House Center B"
13:05:2013,61800.0,1800.0,8400.0,0.0,0,0.0,7800.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,House Center B"
14:05:2013,12600.0,0.0,78600.0,0.0,1,0.0,10500.0,18,"Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,House Center B"
15:04:2013,22871.0,2398.0,60000.0,0.0,0,0.0,7800.0,18,"Baker Memorial Library,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,House Center B,House Center B,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,House Center B"
15:05:2013,12600.0,0.0,64200.0,0.0,2,0.0,14400.0,18,"Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,House Center B,House Center B,Dartmouth College"
16:04:2013,15599.0,1200.0,84001.0,0.0,1,0.0,10500.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,House Center B"
16:05:2013,164400.0,0.0,0.0,0.0,3,1.0,6900.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,20400.0,0.0,49201.0,0.0,2,0.0,14400.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Hitchcock Hall,House Center B,Dartmouth College,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,1800.0,0.0,9600.0,0.0,4,0.0,6000.0,18,"Webster Hall,Dartmouth College,Dartmouth College,House Center B"
18:04:2013,82799.0,0.0,2400.0,1200.0,3,1.0,6900.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Life Sciences Greenhouse"
18:05:2013,32997.0,0.0,213603.0,0.0,5,0.0,0.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B"
19:04:2013,55202.0,14398.0,16800.0,0.0,4,0.0,6000.0,18,"Baker Memorial Library,House Center B,House Center B,Berry Sports Center,Berry Sports Center,Berry Sports Center,Robinson Hall,House Center B,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
20:04:2013,73856.0,0.0,14400.0,0.0,5,0.0,0.0,18,"House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B,Dartmouth College"
20:05:2013,5399.0,0.0,9601.0,0.0,0,0.0,7800.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,House Center B"
21:04:2013,86400.0,0.0,3600.0,0.0,-1,0.0,0.0,18,"Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,House Center B,Dartmouth College"
21:05:2013,98396.0,2400.0,54000.0,0.0,1,0.0,10500.0,18,"House Center B,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,15707.0,13094.0,57599.0,0.0,0,0.0,7800.0,18,"House Center B,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,House Center B,House Center B,Dartmouth College,Collis Student Center,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,18600.0,0.0,600.0,0.0,2,1.0,14400.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,24277.0,0.0,63600.0,0.0,1,0.0,10500.0,18,"House Center B,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B"
23:05:2013,12599.0,3597.0,66004.0,0.0,3,0.0,6900.0,18,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,Berry Library,Carpenter Hall,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,House Center B"
24:04:2013,27162.0,0.0,52038.0,0.0,2,0.0,14400.0,18,"House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College"
