date,home_time,school_time,recreational_activities,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,78000.0,8400.0,0.0,0.0,0.0,0,0.0,3900.0,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,67200.0,3600.0,0.0,0.0,0.0,1,1.0,6600.0,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College"
02:05:2013,12003.0,3600.0,0.0,0.0,0.0,3,1.0,6900.0,19,"Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
03:04:2013,72110.0,14399.0,1091.0,0.0,0.0,2,0.0,10500.0,19,"Dartmouth College,Baker Memorial Library,Dartmouth College,Carson Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,76801.0,2401.0,3597.0,3599.0,0.0,4,1.0,3000.0,19,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
04:04:2013,152402.0,0.0,3599.0,0.0,0.0,3,1.0,6900.0,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
04:05:2013,86399.0,0.0,0.0,0.0,0.0,5,0.0,0.0,19,"Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,7200.0,8400.0,0.0,0.0,0.0,4,0.0,3000.0,19,"Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,158400.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,239088.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,19,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,98400.0,2401.0,2399.0,0.0,0.0,0,1.0,3900.0,19,"Dartmouth College,Reed Hall,Reed Hall,Berry Library,Dartmouth College"
08:04:2013,25201.0,8399.0,1200.0,0.0,0.0,0,0.0,3900.0,19,"Dartmouth College,Baker Memorial Library,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
