date,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,85201.0,2399.0,4800.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,23,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
01:06:2013,14400.0,0.0,3600.0,0.0,0.0,0.0,0.0,5,0.0,0.0,23,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall"
02:04:2013,75601.0,0.0,4799.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,23,"Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons"
03:04:2013,66003.0,5999.0,12000.0,3598.0,0.0,0.0,0.0,2,0.0,11700.0,23,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center"
04:04:2013,72000.0,0.0,9482.0,0.0,3718.0,0.0,0.0,3,0.0,7800.0,23,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons"
04:05:2013,166854.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,23,North Massachusetts Hall
05:04:2013,80400.0,4800.0,1200.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,23,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons"
05:05:2013,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,23,North Massachusetts Hall
06:04:2013,93550.0,0.0,2403.0,0.0,1247.0,0.0,0.0,5,0.0,0.0,23,"Dartmouth College,Dartmouth College,Byrne Dining Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
06:05:2013,173287.0,4799.0,3599.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,23,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Carson Hall,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall"
07:04:2013,92177.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,23,"Dartmouth College,Whittemore Hall,Whittemore Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
08:04:2013,57606.0,3600.0,8398.0,0.0,0.0,1196.0,0.0,0,0.0,11700.0,23,"Dartmouth College,Thornton Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Beta Alpha Omega,Goldstein Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center"
08:05:2013,100800.0,3600.0,0.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,23,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall"
