date,home_time,recreational_activities,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,109193.0,1196.0,3608.0,1203.0,0.0,0,1.0,11700.0,24,"0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hanover Inn Dartmouth,0"
01:05:2013,96320.0,0.0,0.0,1200.0,0.0,2,1.0,11700.0,24,"0,Vail Dartmouth Medical School,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
02:05:2013,210000.0,0.0,4800.0,0.0,0.0,3,1.0,7800.0,24,"0,Sudikoff Hall,Sudikoff Hall,0"
03:04:2013,132950.0,0.0,1234.0,6197.0,0.0,2,1.0,11700.0,24,"0,Dartmouth Row Parking Lot,Wilder Hall,0,0,0,0,0"
04:04:2013,81602.0,0.0,4799.0,0.0,0.0,3,1.0,7800.0,24,"0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,0"
05:04:2013,116399.0,0.0,3600.0,1200.0,0.0,4,1.0,9000.0,24,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,0"
05:05:2013,447602.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,24,"0,0,0"
07:04:2013,135166.0,0.0,3542.0,0.0,0.0,-1,0.0,0.0,24,"0,Class of 1953 Commons,Class of 1953 Commons,0"
08:04:2013,148800.0,0.0,21600.0,1200.0,0.0,0,0.0,11700.0,24,"0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
10:04:2013,169272.0,0.0,3528.0,0.0,0.0,2,1.0,11700.0,24,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
10:05:2013,97198.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,24,"0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
11:05:2013,25200.0,0.0,13201.0,0.0,0.0,5,0.0,0.0,24,"0,0,0,0,Sudikoff Hall,Sudikoff Hall"
12:04:2013,24001.0,0.0,13199.0,0.0,0.0,4,0.0,9000.0,24,"0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,0,0,0,Sudikoff Hall,0,Sudikoff Hall"
12:05:2013,43200.0,2399.0,0.0,0.0,0.0,-1,0.0,0.0,24,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0"
13:04:2013,642000.0,0.0,30000.0,0.0,0.0,5,0.0,0.0,24,"Sudikoff Hall,0"
20:04:2013,66000.0,0.0,3600.0,0.0,0.0,5,0.0,0.0,24,"0,Bildner Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0"
21:04:2013,79200.0,0.0,6000.0,0.0,0.0,-1,0.0,0.0,24,"0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0"
22:04:2013,91200.0,0.0,2400.0,2400.0,0.0,0,1.0,11700.0,24,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Dartmouth College,0"
23:04:2013,4800.0,0.0,24000.0,0.0,0.0,1,0.0,3900.0,24,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
24:04:2013,314400.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,24,0
27:04:2013,7200.0,0.0,18000.0,0.0,0.0,5,0.0,0.0,24,"0,Sudikoff Hall,Sudikoff Hall"
28:03:2013,72000.0,0.0,15600.0,0.0,0.0,3,0.0,7800.0,24,"Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,98343.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,24,"0,0"
29:03:2013,91200.0,0.0,3600.0,0.0,0.0,4,1.0,9000.0,24,"0,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
29:04:2013,91200.0,0.0,8457.0,2400.0,0.0,0,0.0,11700.0,24,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
30:03:2013,220800.0,0.0,1201.0,0.0,1199.0,5,0.0,0.0,24,"0,Sudikoff Hall,Rollins Chapel,0"
30:04:2013,112801.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,24,0
