date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,38400.0,1200.0,2400.0,0.0,0.0,0,1.0,11700.0,2,"Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Hopkins Center for the Arts"
01:05:2013,13199.0,1200.0,141601.0,0.0,0.0,2,0.0,11700.0,2,"Dartmouth College,Hopkins Center for the Arts,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall"
02:04:2013,0.0,14400.0,72003.0,0.0,0.0,1,0.0,3900.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Kemeny Hall,Kemeny Hall"
02:05:2013,7196.0,1199.0,8405.0,0.0,0.0,3,0.0,7800.0,2,"Kemeny Hall,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Kemeny Hall,Kemeny Hall,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,13193.0,2398.0,70806.0,0.0,0.0,2,0.0,11700.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Kemeny Hall,Kemeny Hall,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Kemeny Hall,Kemeny Hall,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Kemeny Hall"
03:05:2013,5998.0,13202.0,67200.0,0.0,0.0,4,0.0,9000.0,2,"Kemeny Hall,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Kemeny Hall,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Kemeny Hall,Hopkins Center for the Arts,Hopkins Center for the Arts"
04:04:2013,16800.0,2397.0,67203.0,0.0,0.0,3,0.0,7800.0,2,"Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Dartmouth College,Kemeny Hall,Kemeny Hall,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,1200.0,18000.0,51602.0,290179.0,0.0,5,0.0,0.0,2,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Kemeny Hall,Kemeny Hall,0,Hopkins Center for the Arts,Kemeny Hall,Kemeny Hall,Dick's House,Dick's House"
05:04:2013,4800.0,12000.0,69600.0,0.0,0.0,4,0.0,9000.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Kemeny Hall,Kemeny Hall,Collis Student Center,Collis Student Center,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall"
06:04:2013,3600.0,6000.0,79200.0,0.0,0.0,5,0.0,0.0,2,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Kemeny Hall"
07:04:2013,3600.0,3600.0,85200.0,0.0,0.0,-1,0.0,0.0,2,"Kemeny Hall,Dartmouth College,Berry Library,Berry Library,Kemeny Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Kemeny Hall"
08:04:2013,75600.0,0.0,3600.0,0.0,0.0,0,1.0,11700.0,2,"Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College"
08:05:2013,13805.0,2400.0,58801.0,0.0,0.0,2,0.0,11700.0,2,"Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Kemeny Hall"
09:04:2013,10801.0,4800.0,70799.0,0.0,0.0,1,0.0,3900.0,2,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Kemeny Hall,Dartmouth College,Berry Library,Hopkins Center for the Arts,Kemeny Hall"
09:05:2013,75600.0,600.0,5400.0,0.0,0.0,3,1.0,7800.0,2,"Kemeny Hall,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,14400.0,0.0,75601.0,0.0,0.0,2,0.0,11700.0,2,"Kemeny Hall,Dartmouth College,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
