date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,12000.0,16796.0,8400.0,38400.0,0.0,0.0,0,0.0,0.0,32,"0,0,0,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
01:05:2013,50453.0,0.0,34746.0,0.0,0.0,0.0,2,0.0,0.0,32,"Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Byrne II Hall"
02:04:2013,42080.0,2343.0,40800.0,9577.0,0.0,0.0,1,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,0,0,0"
02:05:2013,40697.0,40903.0,1199.0,4801.0,0.0,0.0,3,0.0,0.0,32,"0,Irving,0,Scott Avenue,0,0,North Main Street,Sudikoff Hall,Irving"
03:04:2013,28800.0,0.0,4794.0,45600.0,1206.0,0.0,2,0.0,0.0,32,"Wilder Hall,Hopkins Center for the Arts,Lot 6,Lot 6,Sudikoff Hall,Sudikoff Hall,North Main Street,0,0,0,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street"
03:05:2013,11820.0,0.0,107290.0,0.0,0.0,0.0,4,0.0,0.0,32,"0,0,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center"
04:04:2013,18008.0,0.0,28801.0,37191.0,0.0,0.0,3,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dewey Parking Lot"
04:05:2013,90000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,32,0
05:04:2013,33598.0,0.0,25202.0,27600.0,0.0,0.0,4,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wheeler Hall,Sudikoff Hall,North Main Street,0,North Main Street,Sudikoff Hall,Berry Hall,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
05:05:2013,101981.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,32,"0,0"
