date,home_time,travel_time,recreational_activities,school_time,orthers,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,35999.0,49581.0,0.0,0.0,0.0,0,1.0,3900.0,37
01:05:2013 ,3600.0,68400.0,0.0,0.0,0.0,2,1.0,10500.0,37
01:06:2013 ,25800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,37
02:04:2013 ,60000.0,31200.0,0.0,0.0,0.0,1,1.0,6600.0,37
02:05:2013 ,61200.0,32400.0,0.0,0.0,0.0,3,1.0,6900.0,37
03:04:2013 ,37200.0,55200.0,0.0,0.0,0.0,2,1.0,10500.0,37
03:05:2013 ,18000.0,33600.0,72360.0,0.0,0.0,4,1.0,3000.0,37
04:04:2013 ,51600.0,118800.0,0.0,0.0,0.0,3,1.0,6900.0,37
04:05:2013 ,96651.0,0.0,0.0,0.0,0.0,5,0.0,0.0,37
05:05:2013 ,0.0,24000.0,0.0,0.0,0.0,-1,0.0,0.0,37
06:04:2013 ,78000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,37
06:05:2013 ,72000.0,3602.0,0.0,1198.0,0.0,0,1.0,3900.0,37
07:04:2013 ,2400.0,69600.0,0.0,0.0,0.0,-1,0.0,0.0,37
07:05:2013 ,63600.0,40800.0,0.0,0.0,0.0,1,1.0,6600.0,37
08:04:2013 ,55200.0,36000.0,0.0,0.0,0.0,0,1.0,3900.0,37
08:05:2013 ,48000.0,38400.0,0.0,0.0,0.0,2,1.0,10500.0,37
09:04:2013 ,54000.0,62400.0,0.0,0.0,0.0,1,1.0,6600.0,37
09:05:2013 ,49200.0,39600.0,0.0,0.0,0.0,3,1.0,6900.0,37
10:04:2013 ,38400.0,43201.0,0.0,0.0,0.0,2,1.0,10500.0,37
10:05:2013 ,52800.0,6000.0,0.0,0.0,0.0,4,1.0,3000.0,37
11:04:2013 ,3599.0,69600.0,0.0,0.0,0.0,3,1.0,6900.0,37
11:05:2013 ,22188.0,65414.0,0.0,0.0,0.0,5,0.0,0.0,37
12:04:2013 ,55200.0,32400.0,0.0,0.0,0.0,4,1.0,3000.0,37
12:05:2013 ,67198.0,28209.0,0.0,0.0,0.0,-1,0.0,0.0,37
13:04:2013 ,24000.0,70980.0,0.0,0.0,0.0,5,0.0,0.0,37
13:05:2013 ,63600.0,44400.0,0.0,0.0,0.0,0,1.0,3900.0,37
14:04:2013 ,12000.0,48000.0,0.0,0.0,0.0,-1,0.0,0.0,37
14:05:2013 ,49200.0,9600.0,0.0,0.0,0.0,1,1.0,6600.0,37
15:04:2013 ,75600.0,10800.0,0.0,0.0,0.0,0,1.0,3900.0,37
15:05:2013 ,57000.0,25800.0,0.0,0.0,0.0,2,1.0,10500.0,37
16:04:2013 ,46801.0,79200.0,0.0,0.0,0.0,1,1.0,6600.0,37
16:05:2013 ,8400.0,81601.0,0.0,0.0,0.0,3,1.0,6900.0,37
17:04:2013 ,38399.0,12000.0,0.0,0.0,0.0,2,1.0,10500.0,37
17:05:2013 ,37800.0,33601.0,0.0,12000.0,0.0,4,0.0,3000.0,37
18:04:2013 ,75600.0,12001.0,0.0,0.0,0.0,3,1.0,6900.0,37
18:05:2013 ,162875.0,0.0,0.0,0.0,0.0,5,0.0,0.0,37
19:04:2013 ,37200.0,0.0,0.0,0.0,44045.0,4,1.0,3000.0,37
19:05:2013 ,0.0,48000.0,0.0,0.0,0.0,-1,0.0,0.0,37
20:04:2013 ,18001.0,0.0,0.0,0.0,71939.0,5,0.0,0.0,37
20:05:2013 ,19200.0,52200.0,0.0,0.0,0.0,0,1.0,3900.0,37
21:04:2013 ,84003.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,37
21:05:2013 ,52449.0,53400.0,0.0,0.0,0.0,1,1.0,6600.0,37
22:04:2013 ,130800.0,0.0,0.0,0.0,70796.0,0,1.0,3900.0,37
22:05:2013 ,31801.0,21599.0,0.0,0.0,0.0,2,1.0,10500.0,37
23:05:2013 ,64800.0,49800.0,0.0,0.0,0.0,3,1.0,6900.0,37
24:04:2013 ,27605.0,0.0,0.0,0.0,50395.0,2,1.0,10500.0,37
24:05:2013 ,34200.0,27000.0,0.0,0.0,0.0,4,1.0,3000.0,37
