date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,76795.0,3601.0,3604.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Richardson Hall,Richardson Hall,Ripley Hall,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College"
01:05:2013,79199.0,3601.0,4800.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Wentworth Hall,Hopkins Center for the Arts,Smith Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
02:04:2013,85199.0,1201.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,42,"Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,North Massachusetts Hall"
02:05:2013,579021.0,0.0,2399.0,1201.0,0.0,0.0,0.0,3,1.0,6900.0,42,"Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Hall,Dartmouth Hall,Ripley Hall"
03:04:2013,80581.0,0.0,5999.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
04:04:2013,75601.0,0.0,9599.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
05:04:2013,39600.0,3600.0,44400.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Collis Student Center,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wentworth Hall,Ripley Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
06:04:2013,85200.0,0.0,4800.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall"
07:04:2013,247690.0,0.0,1201.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Wentworth Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall"
08:05:2013,21600.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
09:04:2013,1200.0,0.0,3601.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,42,"Ripley Hall,Dartmouth Hall,Dartmouth Hall"
09:05:2013,165322.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
10:04:2013,80400.0,0.0,7199.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
10:05:2013,3602.0,0.0,3599.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Ripley Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
11:04:2013,60002.0,16798.0,8400.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Ripley Hall,Alumni Gymnasium,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,91702.0,0.0,3601.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Ripley Hall"
12:04:2013,39602.0,43200.0,4798.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Hood Museum of Art,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Ripley Hall,Ripley Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
12:05:2013,74403.0,2397.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall"
13:04:2013,98400.0,0.0,4800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall"
13:05:2013,80400.0,3600.0,3600.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Hopkins Center for the Arts,Dartmouth College"
14:04:2013,67203.0,7200.0,2397.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Class of 1953 Commons,Sarner Underground,Baker Memorial Library,Baker Memorial Library,Ripley Hall"
14:05:2013,110400.0,0.0,4800.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall"
15:04:2013,75600.0,0.0,3600.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
15:05:2013,166800.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
16:04:2013,78000.0,1200.0,6000.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Baker Memorial Library,Dartmouth Hall,Dartmouth College"
17:04:2013,247013.0,0.0,1199.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Ripley Hall,Ripley Hall"
17:05:2013,331661.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,42,Ripley Hall
19:04:2013,8395.0,0.0,3600.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
20:04:2013,88803.0,0.0,2399.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Dartmouth College,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
