date,home_time,orthers,school_time,travel_time,working,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:05:2013,8402.0,81598.0,6000.0,63600.0,4800.0,0.0,0.0,2,1.0,14400.0,43,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Maynard Parking Lot,F Lot Parking,Maynard Parking Lot,Wheelock Office Park,Life Sciences Greenhouse,Lebanon Street"
02:04:2013,0.0,0.0,64800.0,0.0,15601.0,0.0,0.0,1,0.0,10500.0,43,"Sudikoff Hall,Wheelock Office Park"
02:05:2013,1200.0,0.0,0.0,0.0,4800.0,0.0,0.0,3,1.0,6900.0,43,"Wheelock Office Park,Life Sciences Greenhouse"
03:04:2013,0.0,0.0,64799.0,0.0,6000.0,8385.0,1215.0,2,0.0,14400.0,43,"Six South Street,Six South Street,Chew & Co. Design,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Wheelock Office Park,Class of 1978 Life Sciences Center"
03:05:2013,62399.0,2400.0,12001.0,0.0,12000.0,0.0,0.0,4,0.0,6000.0,43,"Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Wheelock Office Park"
04:04:2013,0.0,0.0,26420.0,38395.0,17863.0,0.0,0.0,3,0.0,6900.0,43,"Anonymous Hall,Anonymous Hall,0,0,Dana Circle Parking Lot,Anonymous Hall,Anonymous Hall,Anonymous Hall,Vail Dartmouth Medical School,Wheelock Office Park,Class of 1978 Life Sciences Center"
04:05:2013,15703.0,0.0,155790.0,0.0,0.0,0.0,0.0,5,0.0,0.0,43,"Dartmouth College,Sudikoff Hall,Sudikoff Hall"
05:04:2013,4795.0,1200.0,57606.0,0.0,26843.0,0.0,0.0,4,0.0,6000.0,43,"Hanover Post Office,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Wheelock Office Park,Anonymous Hall,Wheelock Office Park,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall"
06:04:2013,4798.0,0.0,70801.0,0.0,10800.0,0.0,0.0,5,0.0,0.0,43,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Anonymous Hall,Anonymous Hall,Wheelock Office Park"
06:05:2013,14707.0,0.0,1202.0,48891.0,26400.0,0.0,0.0,0,1.0,7800.0,43,"Wheelock Office Park,Sudikoff Hall,Byrne II Hall,0,Wheelock Office Park,Wheelock Office Park,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College"
07:04:2013,153175.0,0.0,0.0,1200.0,0.0,0.0,0.0,-1,0.0,0.0,43,"0,0,0,0"
07:05:2013,22800.0,0.0,32399.0,12001.0,13200.0,0.0,0.0,1,0.0,10500.0,43,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,F Lot Parking,Maynard Parking Lot,F Lot Parking,F Lot Parking,Remsen Medical Sciences Building,Wheelock Office Park"
08:04:2013,13200.0,0.0,2401.0,0.0,4800.0,0.0,0.0,0,1.0,7800.0,43,"Wheelock Office Park,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
08:05:2013,58130.0,0.0,22798.0,0.0,4800.0,0.0,0.0,2,0.0,14400.0,43,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Wheelock Office Park,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
09:04:2013,1199.0,0.0,67200.0,0.0,12000.0,0.0,0.0,1,0.0,10500.0,43,"Dartmouth College,Anonymous Hall,Anonymous Hall,Wheelock Office Park"
09:05:2013,0.0,0.0,164400.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,43,"Sudikoff Hall,Sudikoff Hall"
10:04:2013,3599.0,0.0,76802.0,0.0,5999.0,0.0,0.0,2,0.0,14400.0,43,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Sudikoff Hall,Wheelock Office Park,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall"
10:05:2013,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,4,1.0,6000.0,43,Wheelock Office Park
11:04:2013,2400.0,0.0,38417.0,38384.0,4803.0,1196.0,0.0,3,0.0,6900.0,43,"Anonymous Hall,Anonymous Hall,0,Wheelock Office Park,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
11:05:2013,86491.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,43,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
12:04:2013,20400.0,0.0,33600.0,0.0,38400.0,0.0,0.0,4,0.0,6000.0,43,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Anonymous Hall,Wheelock Office Park,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College"
12:05:2013,0.0,0.0,0.0,160801.0,0.0,0.0,0.0,-1,0.0,0.0,43,"Maynard Parking Lot,Maynard Parking Lot,0"
13:04:2013,3601.0,0.0,68400.0,1200.0,3600.0,3599.0,0.0,5,0.0,0.0,43,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,La Casa,Anonymous Hall,Anonymous Hall,Wheelock Office Park,Wheelock Office Park,0,0"
13:05:2013,10800.0,0.0,0.0,0.0,3600.0,0.0,0.0,0,1.0,7800.0,43,"Wheelock Office Park,Dartmouth College,Dartmouth College"
14:04:2013,8400.0,0.0,19200.0,8400.0,51600.0,0.0,0.0,-1,0.0,0.0,43,"0,0,Vail Dartmouth Medical School,Anonymous Hall,Anonymous Hall,0,Wheelock Office Park,Wheelock Office Park"
14:05:2013,75600.0,0.0,2400.0,0.0,3600.0,0.0,0.0,1,1.0,10500.0,43,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheelock Office Park,Sudikoff Hall,Dartmouth College"
15:04:2013,0.0,0.0,122400.0,0.0,37200.0,0.0,0.0,0,0.0,7800.0,43,"Wheelock Office Park,Anonymous Hall"
15:05:2013,9600.0,0.0,62400.0,0.0,517676.0,0.0,0.0,2,0.0,14400.0,43,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Wheelock Office Park"
16:04:2013,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,1,1.0,10500.0,43,Wheelock Office Park
17:04:2013,3566.0,0.0,14435.0,62399.0,6000.0,0.0,0.0,2,0.0,14400.0,43,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,F Lot Parking,F Lot Parking,Wheelock Office Park,Life Sciences Greenhouse,0,0"
18:04:2013,0.0,0.0,70904.0,2400.0,10800.0,1200.0,0.0,3,0.0,6900.0,43,"Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,0,Wheelock Office Park,0,Wheelock Office Park"
19:04:2013,8400.0,0.0,12000.0,61200.0,4800.0,2400.0,0.0,4,0.0,6000.0,43,"Duende Tapas,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,F Lot Parking,0,0,0,0,Wheelock Office Park,0,Dartmouth College"
