date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer
01:05:2013 ,82800.0,1199.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
02:04:2013 ,64803.0,11997.0,1199.0,0.0,0.0,0.0,1,0.0,0.0,44
02:05:2013 ,78225.0,8399.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,44
03:04:2013 ,65998.0,21602.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,44
03:05:2013 ,63600.0,22800.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,44
04:04:2013 ,66000.0,20400.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,44
04:05:2013 ,80934.0,8400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
05:04:2013 ,76799.0,7200.0,2401.0,0.0,0.0,0.0,4,0.0,3000.0,44
05:05:2013 ,96471.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,44
06:04:2013 ,162000.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
06:05:2013 ,91972.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,44
07:04:2013 ,0.0,6002.0,0.0,3598.0,0.0,0.0,-1,0.0,0.0,44
07:05:2013 ,67801.0,1198.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
08:04:2013 ,52800.0,33600.0,0.0,1200.0,0.0,0.0,0,0.0,3900.0,44
08:05:2013 ,61800.0,33000.0,0.0,1800.0,0.0,0.0,2,0.0,3900.0,44
09:04:2013 ,68399.0,16801.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
09:05:2013 ,116874.0,603.0,0.0,601.0,0.0,0.0,3,1.0,3900.0,44
10:04:2013 ,57599.0,27601.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,44
10:05:2013 ,42000.0,0.0,0.0,1199.0,0.0,0.0,4,1.0,3000.0,44
11:04:2013 ,64802.0,12000.0,0.0,0.0,9598.0,0.0,3,0.0,3900.0,44
11:05:2013 ,194832.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
12:04:2013 ,85200.0,2400.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,44
13:04:2013 ,83919.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
13:05:2013 ,61804.0,24600.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,44
14:04:2013 ,74399.0,0.0,2401.0,4801.0,0.0,12000.0,-1,0.0,0.0,44
14:05:2013 ,48000.0,16201.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
15:04:2013 ,78000.0,16800.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,44
15:05:2013 ,13199.0,71909.0,0.0,2404.0,0.0,0.0,2,0.0,3900.0,44
16:04:2013 ,38291.0,32509.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
16:05:2013 ,52201.0,33601.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,44
17:04:2013 ,56400.0,30000.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,44
17:05:2013 ,2399.0,170869.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,44
18:04:2013 ,74400.0,12000.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,44
19:04:2013 ,84741.0,2400.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,44
19:05:2013 ,79692.0,6600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,44
20:04:2013 ,190391.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
20:05:2013 ,65401.0,12006.0,0.0,8400.0,0.0,0.0,0,0.0,3900.0,44
21:05:2013 ,62400.0,23397.0,0.0,2400.0,0.0,0.0,1,0.0,0.0,44
22:04:2013 ,72588.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,44
22:05:2013 ,117023.0,0.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
23:04:2013 ,64800.0,37200.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
23:05:2013 ,61895.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
24:04:2013 ,57227.0,9600.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,44
24:05:2013 ,70200.0,8399.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,44
25:04:2013 ,63601.0,21599.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,44
25:05:2013 ,72082.0,0.0,0.0,13799.0,0.0,0.0,5,0.0,0.0,44
26:04:2013 ,61213.0,25187.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,44
26:05:2013 ,99001.0,0.0,0.0,5399.0,0.0,0.0,-1,0.0,0.0,44
27:04:2013 ,161458.0,15601.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
27:05:2013 ,64800.0,7800.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,44
28:03:2013 ,433962.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
28:05:2013 ,69600.0,12600.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
29:04:2013 ,44400.0,38394.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,44
29:05:2013 ,85746.0,1200.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
30:04:2013 ,70800.0,16801.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
30:05:2013 ,654.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
