date,home_time,orthers,recreational_activities,school_time,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,52799.0,3597.0,18003.0,2400.0,0.0,0.0,0.0,0,1.0,7800.0,47,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,0,0,Dartmouth College,Dartmouth College,French Hall,French Hall,French Hall,French Hall,Collis Student Center,0"
01:05:2013,79001.0,0.0,5999.0,1200.0,0.0,0.0,0.0,2,1.0,7800.0,47,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Hopkins Center for the Arts,Dartmouth College"
02:04:2013,62403.0,0.0,21597.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,47,"Haldeman Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Judge Hall,French Hall,French Hall,Judge Hall,French Hall,French Hall,Dartmouth College,Dartmouth College,Baker Memorial Library"
02:05:2013,56583.0,15600.0,19127.0,2400.0,0.0,0.0,0.0,3,1.0,7800.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Sports Center,Berry Sports Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,0,Dartmouth College,French Hall,French Hall,Life Sciences Greenhouse,Baker Memorial Library"
03:04:2013,51580.0,0.0,15605.0,18014.0,1201.0,0.0,0.0,2,0.0,7800.0,47,"Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Zahm Courtyard,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Haldeman Center"
03:05:2013,66000.0,0.0,8400.0,7200.0,7200.0,0.0,0.0,4,0.0,6000.0,47,"Baker Memorial Library,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Collis Student Center,Judge Hall,French Hall,Haldeman Center,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Dartmouth College"
04:04:2013,67195.0,3600.0,8399.0,6006.0,1200.0,0.0,0.0,3,0.0,7800.0,47,"Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,Collis Student Center,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Arthur L. Irving Institute for Energy & Society,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall"
04:05:2013,71064.0,0.0,2502.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,47,"Dartmouth College,Dartmouth College,Black Family Visual Arts Center,0,Sushiya,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall"
05:04:2013,71997.0,0.0,9603.0,4800.0,0.0,0.0,0.0,4,0.0,6000.0,47,"Judge Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Baker Memorial Library,Baker Memorial Library,0,0"
05:05:2013,91200.0,0.0,1200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College"
