date,home_time,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,87603.0,4799.0,0.0,0.0,0.0,0,0.0,0.0,51
02:04:2013 ,105598.0,0.0,0.0,0.0,0.0,1,0.0,0.0,51
03:04:2013 ,44400.0,0.0,1200.0,0.0,0.0,2,0.0,0.0,51
04:04:2013 ,81600.0,3600.0,0.0,0.0,0.0,3,0.0,0.0,51
05:04:2013 ,82800.0,4800.0,0.0,0.0,0.0,4,0.0,0.0,51
06:04:2013 ,99600.0,0.0,0.0,0.0,0.0,5,0.0,0.0,51
07:04:2013 ,94800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,51
08:04:2013 ,60000.0,4800.0,0.0,0.0,0.0,0,0.0,0.0,51
09:04:2013 ,86401.0,0.0,0.0,0.0,0.0,1,0.0,0.0,51
10:04:2013 ,86399.0,0.0,0.0,0.0,0.0,2,0.0,0.0,51
11:04:2013 ,85200.0,0.0,0.0,0.0,0.0,3,0.0,0.0,51
11:05:2013 ,247473.0,5999.0,0.0,0.0,0.0,5,0.0,0.0,51
12:04:2013 ,87601.0,0.0,0.0,0.0,0.0,4,0.0,0.0,51
13:04:2013 ,94800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,51
13:05:2013 ,6601.0,0.0,0.0,0.0,0.0,0,0.0,0.0,51
14:04:2013 ,124800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,51
14:05:2013 ,190008.0,0.0,0.0,1199.0,0.0,1,0.0,0.0,51
15:04:2013 ,38400.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,51
16:04:2013 ,105542.0,0.0,1199.0,0.0,0.0,1,0.0,0.0,51
16:05:2013 ,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,51
17:04:2013 ,110459.0,0.0,0.0,0.0,0.0,2,0.0,0.0,51
18:04:2013 ,39600.0,0.0,1200.0,0.0,0.0,3,0.0,0.0,51
19:04:2013 ,126000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,51
20:04:2013 ,48000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,51
21:04:2013 ,150000.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,51
22:04:2013 ,28178.0,0.0,0.0,0.0,0.0,0,0.0,0.0,51
23:04:2013 ,100801.0,0.0,0.0,0.0,0.0,1,0.0,0.0,51
24:04:2013 ,66000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,51
25:04:2013 ,261851.0,0.0,0.0,0.0,0.0,3,0.0,0.0,51
28:04:2013 ,1119834.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,51
29:03:2013 ,86401.0,0.0,0.0,0.0,0.0,4,0.0,0.0,51
30:03:2013 ,88423.0,0.0,3600.0,0.0,3598.0,5,0.0,0.0,51
31:03:2013 ,85202.0,2398.0,0.0,0.0,3600.0,-1,0.0,0.0,51
