date,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,66542.0,3058.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52
01:05:2013 ,156000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
01:06:2013 ,2965.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52
02:04:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52
02:05:2013 ,28800.0,0.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,52
03:04:2013 ,160801.0,1199.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
03:05:2013 ,63601.0,0.0,0.0,1199.0,0.0,0.0,4,0.0,0.0,52
04:04:2013 ,4800.0,4718.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52
04:05:2013 ,207846.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52
05:04:2013 ,97194.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
06:04:2013 ,98489.0,0.0,0.0,0.0,1199.0,0.0,5,0.0,0.0,52
06:05:2013 ,162984.0,0.0,673.0,0.0,0.0,0.0,0,0.0,0.0,52
07:04:2013 ,61200.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52
08:04:2013 ,86410.0,0.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,52
08:05:2013 ,63000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
09:04:2013 ,85200.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52
09:05:2013 ,94201.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52
10:04:2013 ,86400.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
10:05:2013 ,94799.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
11:04:2013 ,84000.0,1200.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,52
11:05:2013 ,71967.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52
12:04:2013 ,104400.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
12:05:2013 ,80434.0,0.0,2400.0,0.0,600.0,0.0,-1,0.0,0.0,52
13:04:2013 ,69600.0,2400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52
13:05:2013 ,87059.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52
14:04:2013 ,84000.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52
14:05:2013 ,87600.0,600.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52
15:04:2013 ,80401.0,0.0,5999.0,0.0,0.0,0.0,0,0.0,0.0,52
15:05:2013 ,113400.0,1200.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
16:04:2013 ,88749.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52
16:05:2013 ,73202.0,0.0,0.0,1200.0,0.0,0.0,3,0.0,0.0,52
17:04:2013 ,82797.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52
17:05:2013 ,43772.0,13801.0,7199.0,0.0,0.0,1200.0,4,0.0,0.0,52
18:04:2013 ,91254.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52
18:05:2013 ,97221.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52
19:04:2013 ,118728.0,2400.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52
19:05:2013 ,73726.0,610.0,0.0,2453.0,0.0,0.0,-1,0.0,0.0,52
20:04:2013 ,50472.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52
20:05:2013 ,88218.0,0.0,0.0,1800.0,0.0,0.0,0,0.0,0.0,52
21:04:2013 ,99600.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,52
21:05:2013 ,85769.0,0.0,0.0,0.0,600.0,0.0,1,0.0,0.0,52
