date,home_time,school_time,travel_time,orthers,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,69600.0,3600.0,1201.0,0.0,0.0,0.0,0,0.0,0.0,53,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,45597.0,7205.0,1199.0,32399.0,0.0,0.0,2,0.0,0.0,53,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,0,Thomas Hall,Thomas Hall,Kemeny Hall,0,Thomas Hall,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
01:06:2013,17981.0,9002.0,600.0,0.0,0.0,0.0,5,0.0,0.0,53,"Thomas Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Thomas Hall,Maynard Parking Lot,Goldstein Hall,Dartmouth College,Dartmouth College,Fairchild Physical Sciences Center,Fairchild Physical Sciences Center,Goldstein Hall,Fairchild Physical Sciences Center,Fairchild Physical Sciences Center,Wheeler Hall,Thomas Hall"
02:04:2013,89679.0,8401.0,0.0,0.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
02:05:2013,91200.0,4800.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Chinese Language House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Rockefeller Center,Dartmouth College,Dartmouth College,Goldstein Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,68407.0,4799.0,1197.0,0.0,0.0,0.0,2,0.0,0.0,53,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,72000.0,4800.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Thomas Hall,Thomas Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
04:04:2013,39605.0,11998.0,1195.0,0.0,32400.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Moore Psychology Building,Dartmouth College,Rockefeller Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Thomas Hall"
04:05:2013,75103.0,13207.0,0.0,0.0,1200.0,0.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Sanborn House,Thomas Hall,Thomas Hall,Goldstein Hall,Parker House,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College"
05:04:2013,60035.0,1200.0,0.0,0.0,25202.0,0.0,4,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Moore Psychology Building,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,81600.0,1200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,53,"Dartmouth College,South Massachusetts Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,86262.0,2398.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
06:05:2013,80042.0,6000.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
