date,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,44400.0,16800.0,0.0,0.0,0.0,0,0.0,0.0,54,"0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
01:05:2013,65970.0,16831.0,1199.0,0.0,0.0,2,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Dana Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
02:04:2013,149809.0,1200.0,0.0,3600.0,0.0,1,0.0,0.0,54,"Sudikoff Hall,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,0,0"
02:05:2013,78945.0,13200.0,0.0,0.0,0.0,3,0.0,0.0,54,"Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0"
03:04:2013,1200.0,14400.0,0.0,0.0,0.0,2,0.0,0.0,54,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
03:05:2013,68210.0,8589.0,0.0,0.0,0.0,4,0.0,0.0,54,"0,0,Sudikoff Hall,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
04:04:2013,73203.0,13198.0,2399.0,0.0,2400.0,3,0.0,0.0,54,"Sudikoff Hall,Maynard Parking Lot,Dick's House,Dick's House,Maynard Parking Lot,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0"
04:05:2013,97691.0,12000.0,0.0,0.0,0.0,5,0.0,0.0,54,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0"
05:04:2013,54000.0,36000.0,0.0,0.0,0.0,4,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
05:05:2013,68400.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,"0,0"
06:04:2013,90477.0,8400.0,0.0,0.0,0.0,5,0.0,0.0,54,"Sudikoff Hall,Anonymous Hall,0"
06:05:2013,73498.0,6001.0,0.0,0.0,0.0,0,0.0,0.0,54,"0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
07:04:2013,74400.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,"0,0,0,0,0"
07:05:2013,73199.0,10801.0,0.0,0.0,4799.0,1,0.0,0.0,54,"Dick's House,Dick's House,Sudikoff Hall,Sudikoff Hall,0,0,Dick's House,Sudikoff Hall,0,0"
08:04:2013,62400.0,33600.0,0.0,0.0,0.0,0,0.0,0.0,54,"0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
08:05:2013,70143.0,30000.0,0.0,0.0,0.0,2,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
09:04:2013,50400.0,37200.0,0.0,0.0,0.0,1,0.0,0.0,54,"Sudikoff Hall,Anonymous Hall,0,0,0,0,Sudikoff Hall,Sudikoff Hall"
09:05:2013,84000.0,8400.0,0.0,0.0,0.0,3,0.0,0.0,54,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0"
10:04:2013,50400.0,8401.0,3600.0,0.0,0.0,2,0.0,0.0,54,"Sudikoff Hall,0,0,0,0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
10:05:2013,172801.0,0.0,0.0,6000.0,0.0,4,0.0,0.0,54,"0,Black Family Visual Arts Center,Black Family Visual Arts Center,0"
11:04:2013,41927.0,45014.0,0.0,0.0,0.0,3,0.0,0.0,54,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
12:04:2013,135529.0,30059.0,0.0,0.0,1241.0,4,0.0,0.0,54,"Dick's House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
12:05:2013,305999.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,"0,0,0,0,0"
13:04:2013,7200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,54,"0,0"
14:04:2013,90576.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,"0,0"
15:04:2013,84000.0,4800.0,0.0,0.0,0.0,0,0.0,0.0,54,"0,0,0,0,Sudikoff Hall,Sudikoff Hall,0"
15:05:2013,36001.0,5999.0,0.0,0.0,0.0,2,0.0,0.0,54,"0,Thornton Hall,0,Sudikoff Hall,Sudikoff Hall,0"
16:04:2013,69485.0,9715.0,0.0,0.0,0.0,1,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
16:05:2013,258327.0,0.0,0.0,0.0,0.0,3,0.0,0.0,54,"0,0,0,0"
17:04:2013,19199.0,83415.0,0.0,0.0,0.0,2,0.0,0.0,54,"Sudikoff Hall,0"
18:04:2013,63600.0,6000.0,0.0,0.0,0.0,3,0.0,0.0,54,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,60002.0,22801.0,1200.0,2398.0,0.0,4,0.0,0.0,54,"Sudikoff Hall,Sudikoff Hall,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Maynard Parking Lot"
19:05:2013,70529.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,54,"0,0,0"
