date,recreational_activities,home_time,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,62099.0,0.0,0.0,0.0,0.0,0,0.0,0.0,55,Courtyard Marriott
01:05:2013,3594.0,57652.0,1154.0,0.0,0.0,2,0.0,0.0,55,"Dartmouth College,0,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College"
02:04:2013,45028.0,13094.0,36064.0,4831.0,0.0,1,0.0,0.0,55,"The Irving Institute for Energy & Society,McCulloch Hall,Dartmouth College,Mass Parking Lot,Baker Memorial Library,Baker Memorial Library,The Irving Institute for Energy & Society"
02:05:2013,15498.0,55250.0,0.0,0.0,0.0,3,0.0,0.0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Baker Memorial Library"
03:04:2013,0.0,60026.0,8444.0,0.0,0.0,2,0.0,0.0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Haldeman Center,Dartmouth College"
03:05:2013,0.0,73218.0,16836.0,0.0,0.0,4,0.0,0.0,55,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,7200.0,52689.0,25311.0,0.0,0.0,3,0.0,0.0,55,"Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Arthur L. Irving Institute for Energy & Society,Anonymous Hall,Dartmouth College,Dartmouth College"
04:05:2013,6067.0,84994.0,0.0,0.0,0.0,5,0.0,0.0,55,"Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College"
05:04:2013,40866.0,20202.0,26532.0,0.0,0.0,4,0.0,0.0,55,"MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Class of 1978 Life Sciences Center,Dartmouth College,Hopkins Center for the Arts"
05:05:2013,9640.0,66585.0,5886.0,0.0,0.0,-1,0.0,0.0,55,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Carpenter Hall"
06:04:2013,0.0,175576.0,5911.0,0.0,0.0,5,0.0,0.0,55,"Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College"
06:05:2013,62776.0,41848.0,15600.0,0.0,0.0,0,0.0,0.0,55,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Berry Library,Berry Library,0,0,Berry Library,Dartmouth College"
07:05:2013,47960.0,6610.0,0.0,0.0,0.0,1,0.0,0.0,55,"Baker Memorial Library,Baker Memorial Library,Dartmouth College"
08:04:2013,23543.0,37283.0,6041.0,0.0,79628.0,0,0.0,0.0,55,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Logan International Airport,Logan International Airport,Logan International Airport,Logan International Airport,0"
08:05:2013,9177.0,36159.0,36590.0,0.0,0.0,2,0.0,0.0,55,"The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Collis Student Center,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College"
09:04:2013,192881.0,0.0,0.0,0.0,0.0,1,0.0,0.0,55,Hotel Red
09:05:2013,52461.0,9532.0,44830.0,0.0,0.0,3,0.0,0.0,55,"Lord Hall,The Irving Institute for Energy & Society,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Berry Library,Berry Library,Collis Student Center,Collis Student Center,Collis Student Center,Baker Memorial Library,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society"
10:05:2013,0.0,1645748.0,0.0,0.0,0.0,4,0.0,0.0,55,"Dartmouth College,Dartmouth College"
12:04:2013,48000.0,30536.0,12594.0,0.0,0.0,4,0.0,0.0,55,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Collis Student Center,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
13:04:2013,1270.0,57667.0,26334.0,0.0,0.0,5,0.0,0.0,55,"0,Collis Student Center,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College"
14:04:2013,1200.0,100736.0,2456.0,0.0,0.0,-1,0.0,0.0,55,"Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
15:04:2013,0.0,61226.0,0.0,0.0,0.0,0,0.0,0.0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,8405.0,83995.0,3600.0,0.0,0.0,1,0.0,0.0,55,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
