date,home_time,recreational_activities,working,school_time,shopping,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,3600.0,1200.0,156102.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58,"0,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta"
01:05:2013,68374.0,2404.0,3613.0,3538.0,1297.0,3621.0,0.0,2,0.0,0.0,58,"Dartmouth College,Dartmouth College,Alpha Theta,Hanover Park,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
02:04:2013,3605.0,0.0,7254.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,58,"Alpha Theta,Collis Student Center,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College"
02:05:2013,26214.0,0.0,46868.0,8460.0,0.0,4858.0,0.0,3,0.0,0.0,58,"Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Alpha Theta,0,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse"
03:04:2013,2400.0,8399.0,69596.0,6009.0,0.0,0.0,0.0,2,0.0,0.0,58,"Baker Memorial Library,Baker Memorial Library,Alpha Theta,Alpha Theta,Carson Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta"
03:05:2013,28792.0,3483.0,43034.0,8362.0,0.0,2395.0,0.0,4,0.0,0.0,58,"0,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0,Native American House,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,67197.0,5945.0,7259.0,6000.0,0.0,0.0,0.0,3,0.0,0.0,58,"Collis Student Center,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,48457.0,3558.0,24213.0,5160.0,0.0,604.0,3635.0,5,0.0,0.0,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Native American House,Left Bank Books,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Kemeny Hall"
05:04:2013,14398.0,10848.0,55095.0,6001.0,0.0,0.0,8460.0,4,0.0,0.0,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alpha Theta,Alpha Theta,Alpha Theta,0,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Collis Student Center,Alumni Gymnasium,Alumni Gymnasium"
05:05:2013,19274.0,2995.0,48096.0,11254.0,0.0,7784.0,0.0,-1,0.0,0.0,58,"0,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,0,Alpha Phi,0,Alpha Theta,Alpha Theta,Dartmouth College,Native American House,Alpha Theta,Native American House,Alpha Theta,Dartmouth College,Native American House,Alpha Theta,Collis Student Center,Dartmouth College,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Parkhurst Hall,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,0,Battle Field,Battle Field,Battle Field,Alpha Theta"
06:04:2013,0.0,0.0,0.0,0.0,0.0,0.0,223435.0,5,0.0,0.0,58,"Terminal A,Terminal A,Terminal A Satellite,Terminal A Satellite"
06:05:2013,26393.0,4190.0,46988.0,6426.0,0.0,0.0,0.0,0,0.0,0.0,58,"Alpha Theta,Black Family Visual Arts Center,Black Family Visual Arts Center,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Native American House,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College"
07:05:2013,20931.0,8461.0,48668.0,4084.0,0.0,3595.0,0.0,1,0.0,0.0,58,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Native American House,Dartmouth College,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Native American House"
08:04:2013,0.0,8357.0,0.0,0.0,0.0,2337.0,48087.0,0,0.0,0.0,58,"Arby's,National / Alamo,McNamara Terminal,Level 2 Gates,Level 2 Gates,A Concourse"
08:05:2013,39736.0,9601.0,14358.0,17385.0,0.0,5387.0,0.0,2,0.0,0.0,58,"Collis Student Center,0,Dartmouth College,0,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Post Office Northbound,Hanover Post Office Northbound,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Alpha Theta,Native American House,Native American House,Dartmouth College,Alpha Theta,Dartmouth College,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Native American House,Alpha Theta"
09:04:2013,9548.0,0.0,47996.0,0.0,0.0,0.0,0.0,1,0.0,0.0,58,"Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College"
