date,home_time,school_time,orthers,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,9684.0,4800.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
01:05:2013,105599.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
02:04:2013,6003.0,0.0,101186.0,4411.0,0.0,0.0,1,0.0,0.0,59,"0,Dewey Parking Lot,0,0,0,0,0"
02:05:2013,76801.0,0.0,0.0,1199.0,0.0,0.0,3,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,0,0"
03:04:2013,61647.0,3600.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"0,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
03:05:2013,75813.0,0.0,0.0,1290.0,0.0,0.0,4,0.0,0.0,59,"0,0,0,0,0,Dartmouth College,Dartmouth College,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0,0"
04:04:2013,99923.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,0,0,0,0,0,Dartmouth College,0,Dartmouth College,Dartmouth College,0,0"
04:05:2013,107930.0,9596.0,0.0,1745.0,0.0,0.0,5,0.0,0.0,59,"Dartmouth College,Berry Sports Center Parking Lot,0,0,0,0,0,0,0,0,0,0,0,0"
05:04:2013,155811.0,3600.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0"
05:05:2013,57121.0,725.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,59,"0,McNutt Hall,Dartmouth College,0,0,0"
06:05:2013,163320.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"0,0,0,0,0,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0"
07:04:2013,74218.0,0.0,7146.0,1249.0,0.0,0.0,-1,0.0,0.0,59,"0,0,Dartmouth College,0,0,0"
07:05:2013,2400.0,0.0,3601.0,0.0,0.0,0.0,1,0.0,0.0,59,"0,Dartmouth College,Nugget Arcade"
08:04:2013,182403.0,2400.0,0.0,3597.0,0.0,0.0,0,0.0,0.0,59,"0,Dartmouth College,0,0,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
08:05:2013,101399.0,2401.0,0.0,600.0,0.0,0.0,2,0.0,0.0,59,"Lot 7,0,0,0,0,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
09:05:2013,69000.0,0.0,0.0,600.0,0.0,0.0,3,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,0"
10:04:2013,68360.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"0,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0"
10:05:2013,103205.0,1799.0,600.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,0,0,Dartmouth College,Dartmouth College,0,0,Dartmouth College,0,Dartmouth College,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Byrne II Hall,0,0"
11:04:2013,98324.0,0.0,0.0,1202.0,0.0,0.0,3,0.0,0.0,59,"0,0,0,0,0,0,0,Dartmouth College,Dartmouth College,0,0"
11:05:2013,144512.0,600.0,4963.0,4637.0,0.0,0.0,5,0.0,0.0,59,"0,0,Nugget Arcade,Nugget Arcade,0,Nugget Arcade,0,0"
12:04:2013,73200.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
13:04:2013,91200.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,59,"0,0,0,0,0,0,0"
13:05:2013,148573.0,1176.0,9554.0,0.0,4770.0,0.0,0,0.0,0.0,59,"Hanover Post Office,Dartmouth College,0,West Stands,0,0,0,0,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,0"
14:04:2013,68475.0,0.0,0.0,14366.0,0.0,0.0,-1,0.0,0.0,59,"0,Dana Circle Parking Lot,Dartmouth College,0,0,0,Dartmouth College,0"
14:05:2013,3749.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,59,Zimmerman Hall
15:04:2013,98401.0,1200.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
15:05:2013,103198.0,0.0,0.0,3268.0,0.0,0.0,2,0.0,0.0,59,"0,Zimmerman Hall,0,0,0,0,0,0,0,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,0"
16:04:2013,64466.0,0.0,0.0,1537.0,5997.0,0.0,1,0.0,0.0,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,Berry Sports Center Parking Lot"
16:05:2013,68402.0,598.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,0,Dartmouth College,Dartmouth College,Anonymous Hall,0"
17:04:2013,100800.0,0.0,0.0,0.0,6000.0,0.0,2,0.0,0.0,59,"0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
17:05:2013,85068.0,4800.0,2284.0,3248.0,0.0,0.0,4,0.0,0.0,59,"0,Hanover Post Office,0,0,0,0,0"
18:04:2013,65223.0,1196.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,67201.0,0.0,2167.0,0.0,28990.0,0.0,5,0.0,0.0,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,Davidson Pottery Studio"
19:04:2013,90013.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
19:05:2013,167400.0,0.0,0.0,0.0,3042.0,0.0,-1,0.0,0.0,59,"Hanover Inn Dartmouth,0"
20:04:2013,91107.0,0.0,0.0,0.0,6000.0,0.0,5,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,Alumni Gymnasium,Alumni Gymnasium,0,0"
21:04:2013,72000.0,0.0,0.0,1293.0,0.0,0.0,-1,0.0,0.0,59,"Berry Sports Center Parking Lot,0"
21:05:2013,51593.0,0.0,0.0,10207.0,4800.0,0.0,1,0.0,0.0,59,"0,Dana Circle Parking Lot,Dartmouth College,0,Dartmouth College,Dewey Parking Lot,0,0,0,0,Dartmouth College,Dartmouth College,0,0,0,Jewel of India"
22:04:2013,102000.0,2400.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,0,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
22:05:2013,102001.0,599.0,0.0,604.0,1200.0,596.0,2,0.0,0.0,59,"Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,0,0,Chi Heorot,0"
23:04:2013,58802.0,0.0,0.0,3598.0,6000.0,0.0,1,0.0,0.0,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,South Block Parking Garage"
23:05:2013,63000.0,0.0,10201.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,0,0,0"
24:04:2013,84001.0,0.0,3600.0,0.0,5999.0,0.0,2,0.0,0.0,59,"Johnson Audiology,Hanover Post Office,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0"
24:05:2013,184199.0,0.0,0.0,0.0,0.0,4200.0,4,0.0,0.0,59,"0,0,Alpha Phi,0,0,0"
25:04:2013,87600.0,0.0,0.0,0.0,1200.0,0.0,3,0.0,0.0,59,"0,FatFace Hanover,0,0,Dartmouth College,0"
26:04:2013,81600.0,0.0,0.0,0.0,4800.0,0.0,4,0.0,0.0,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
26:05:2013,82799.0,0.0,0.0,0.0,1201.0,0.0,-1,0.0,0.0,59,"0,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Morton Hall,0,Dartmouth College,0"
27:03:2013,63588.0,3552.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
27:04:2013,92400.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,0,0,0"
27:05:2013,78000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,0"
28:03:2013,61260.0,4800.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,Anonymous Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,142773.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,59,"0,Dartmouth College,Dartmouth College,0,0,0,0"
28:05:2013,67799.0,3534.0,0.0,6001.0,0.0,0.0,1,0.0,0.0,59,"0,0,0,0,0"
29:03:2013,174000.0,4800.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,0,0,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
29:04:2013,94828.0,0.0,0.0,1201.0,0.0,0.0,0,0.0,0.0,59,"0,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
29:05:2013,64201.0,0.0,0.0,0.0,1266.0,0.0,2,0.0,0.0,59,"Jewel of India,0,0,0,0,0,0,Life Sciences Greenhouse"
30:04:2013,3599.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,59,Dartmouth College
31:03:2013,151116.0,0.0,0.0,3600.0,0.0,0.0,-1,0.0,0.0,59,"0,0,0"
