date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,63599.0,4800.0,3600.0,15601.0,0.0,0.0,0,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,0,0,Topliff Hall,Dartmouth College,Class of 1953 Commons,Ripley Hall,Topliff Hall,Topliff Hall,Ripley Hall,Dartmouth College,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Robinson Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Wentworth Hall"
01:05:2013,58803.0,0.0,3600.0,20397.0,1200.0,1200.0,2,0.0,3900.0,5,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Floren Varsity House,Floren Varsity House,Hood Museum of Art,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sphinx Secret Society,Topliff Hall,Topliff Hall,Ripley Hall,Ripley Hall,Robinson Hall,Dartmouth College,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Robinson Hall,Robinson Hall,Robinson Hall,Hood Museum of Art"
02:04:2013,78004.0,0.0,1195.0,4800.0,0.0,0.0,1,0.0,0.0,5,"Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,North Fayerweather Hall,Ripley Hall,Dartmouth College,Topliff Hall,Topliff Hall,Topliff Hall,Topliff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall"
02:05:2013,72001.0,1200.0,3599.0,8400.0,0.0,0.0,3,0.0,3900.0,5,"Ripley Hall,Ripley Hall,Dartmouth College,Sudikoff Hall,The Church of Christ at Dartmouth College,0,Hopkins Center for the Arts,Ripley Hall,Robinson Hall,Dartmouth College,Dartmouth College,McNutt Hall,Hopkins Center for the Arts,Ripley Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Ripley Hall,Ripley Hall,Class of 1953 Commons,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall"
03:04:2013,68400.0,3602.0,2398.0,12000.0,0.0,0.0,2,0.0,3900.0,5,"Floren Varsity House,Floren Varsity House,Ripley Hall,Ripley Hall,Dartmouth College,Hopkins Center for the Arts,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Ripley Hall,0,0,Alumni Gymnasium"
03:05:2013,178613.0,4799.0,4800.0,3601.0,0.0,0.0,4,0.0,3000.0,5,"Dartmouth College,Reed Hall,Black Family Visual Arts Center,Heating & Electric Plant,Black Family Visual Arts Center,Alumni Gymnasium,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Robinson Hall,Ripley Hall,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College"
04:04:2013,70801.0,1200.0,7199.0,7200.0,0.0,0.0,3,0.0,3900.0,5,"Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Bartlett Hall,Alumni Gymnasium,0,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,60005.0,3600.0,2400.0,20395.0,0.0,0.0,4,0.0,3000.0,5,"Dartmouth College,Dartmouth Hall,McKenzie Fuel Oil Facility,McKenzie Fuel Oil Facility,Ripley Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Ripley Hall,Wentworth Hall,Ripley Hall,Ripley Hall,Topliff Hall,Ripley Hall,Ripley Hall,Wentworth Hall,0,0,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Ripley Hall,Ripley Hall,Collis Student Center"
05:05:2013,60187.0,3599.0,0.0,4801.0,0.0,0.0,-1,0.0,0.0,5,"Dartmouth College,Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,0,0,0,Ripley Hall,Ripley Hall,Topliff Hall,Topliff Hall,Topliff Hall,Topliff Hall,Collis Student Center,Ripley Hall"
06:04:2013,99600.0,1200.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,5,"Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,The Lodge,The Lodge,0,Ripley Hall"
