date,home_time,recreational_activities,school_time,travel_time,orthers,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,22799.0,2400.0,33601.0,19201.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth Row Parking Lot,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
01:05:2013,57601.0,1200.0,16800.0,4800.0,2400.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Rollins Chapel,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,0.0,7199.0,4800.0,73200.0,0.0,0.0,0.0,1,0.0,0.0,9,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Hopkins Center for the Arts"
02:05:2013,21596.0,0.0,3601.0,61202.0,0.0,1200.0,0.0,3,0.0,3900.0,9,"Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Hanover Park,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,South Fayerweather Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot"
03:04:2013,10800.0,2400.0,28800.0,44400.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Thornton Hall,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Steele Hall,Dartmouth College"
03:05:2013,57600.0,1198.0,7199.0,15603.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
04:04:2013,3598.0,5998.0,61202.0,15602.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Dartmouth Row Parking Lot,South Fayerweather Hall,Hopkins Center for the Arts,Thornton Hall,Thornton Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Thornton Hall,Dartmouth Row Parking Lot,Hopkins Center for the Arts"
04:05:2013,45602.0,0.0,5997.0,34802.0,3599.0,0.0,0.0,5,0.0,0.0,9,"Sudikoff Hall,Irving,0,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,South Fayerweather Hall,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot"
05:04:2013,17973.0,3601.0,16825.0,48001.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall,Dartmouth Hall,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts"
05:05:2013,63733.0,15598.0,1199.0,8404.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth Row Parking Lot,Maxwell Hall,Maxwell Hall,Wilson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,44951.0,1200.0,25199.0,31204.0,0.0,0.0,0.0,5,0.0,0.0,9,"Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Class of 1953 Commons"
