date,home_time,school_time,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,2400.0,15600.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,
01:05:2013,11985.0,60060.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,
02:04:2013,22800.0,73200.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,
02:05:2013,8353.0,70900.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,
03:04:2013,10800.0,58800.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,1.0
03:05:2013,14413.0,73187.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,
04:04:2013,22800.0,63600.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,
04:05:2013,1101.0,178994.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,
05:04:2013,4800.0,81600.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,1.0
06:04:2013,7200.0,79201.0,4799.0,0.0,0.0,5.0,0.0,0.0,18.0,1.0
06:05:2013,7799.0,64800.0,0.0,5481.0,0.0,0.0,0.0,7800.0,18.0,
07:04:2013,43200.0,57600.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,
07:05:2013,13196.0,88803.0,1801.0,599.0,0.0,1.0,0.0,10500.0,18.0,
08:04:2013,2400.0,74400.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,
08:05:2013,4199.0,66002.0,4800.0,0.0,0.0,2.0,0.0,14400.0,18.0,
09:04:2013,1200.0,151200.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,1.0
09:05:2013,88966.0,61804.0,0.0,4200.0,0.0,3.0,0.0,6900.0,18.0,
10:04:2013,5998.0,7202.0,0.0,0.0,0.0,2.0,1.0,14400.0,18.0,1.0
10:05:2013,50886.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,18.0,
11:04:2013,10801.0,73200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,
11:05:2013,1200.0,70203.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,
12:04:2013,52799.0,33603.0,1200.0,0.0,0.0,4.0,0.0,6000.0,18.0,
12:05:2013,4800.0,77400.0,0.0,600.0,0.0,-1.0,0.0,0.0,18.0,
13:04:2013,1197.0,174001.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,
13:05:2013,6599.0,65401.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,
14:05:2013,9000.0,81600.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,
15:04:2013,16799.0,67271.0,0.0,1199.0,0.0,0.0,0.0,7800.0,18.0,
15:05:2013,3000.0,74400.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,
16:04:2013,11993.0,90008.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,3.0
16:05:2013,6000.0,158400.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,
17:04:2013,9598.0,58802.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,
17:05:2013,1800.0,9600.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,
18:04:2013,20399.0,64800.0,1200.0,0.0,0.0,3.0,0.0,6900.0,18.0,
18:05:2013,20997.0,225604.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,
19:04:2013,6000.0,67202.0,0.0,13198.0,0.0,4.0,0.0,6000.0,18.0,1.0
20:04:2013,10800.0,78656.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,1.0
20:05:2013,600.0,15599.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,
21:04:2013,86400.0,3600.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,1.0
21:05:2013,19795.0,131401.0,0.0,2400.0,0.0,1.0,0.0,10500.0,18.0,
22:04:2013,14401.0,70905.0,0.0,2294.0,0.0,0.0,0.0,7800.0,18.0,
22:05:2013,600.0,18601.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,
23:04:2013,8400.0,77514.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,
23:05:2013,10799.0,72001.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,
24:04:2013,10363.0,69601.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,
24:05:2013,18597.0,74513.0,494.0,0.0,0.0,4.0,0.0,6000.0,18.0,
25:04:2013,17999.0,67200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,
25:05:2013,600.0,73200.0,0.0,5400.0,0.0,5.0,0.0,0.0,18.0,
26:04:2013,8800.0,75601.0,3199.0,1200.0,0.0,4.0,0.0,6000.0,18.0,
26:05:2013,234600.0,4385.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,
27:03:2013,2399.0,7201.0,0.0,3599.0,0.0,2.0,1.0,14400.0,18.0,4.0
27:04:2013,22966.0,61034.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,3.0
28:03:2013,13198.0,57603.0,0.0,15600.0,0.0,3.0,0.0,6900.0,18.0,
28:04:2013,5925.0,159675.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,
28:05:2013,9597.0,10202.0,0.0,0.0,0.0,1.0,1.0,10500.0,18.0,
29:03:2013,5999.0,79202.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,
29:04:2013,1200.0,9600.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,
29:05:2013,3599.0,76806.0,0.0,0.0,1195.0,2.0,0.0,14400.0,18.0,
30:03:2013,167997.0,74401.0,0.0,6000.0,0.0,5.0,0.0,0.0,18.0,1.0
30:04:2013,0.0,104302.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,3.0
30:05:2013,0.0,12000.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,
