date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,72000.0,1200.0,1200.0,3600.0,8400.0,0.0,0.0,0,0.0,3900.0,3,"0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Big Tree,Dartmouth College",5.0
01:05:2013,63699.0,0.0,0.0,22800.0,0.0,0.0,0.0,2,0.0,10500.0,3,"Dartmouth College,Dartmouth College,Wilder Hall,Wilder Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College",
01:06:2013,15644.0,547.0,0.0,3705.0,511.0,0.0,0.0,5,0.0,0.0,3,"Dartmouth College,Epsilon Kappa Theta,Dartmouth College,Dartmouth College,Dartmouth College,0,Class of 1953 Commons,Robinson Hall,Dartmouth College",
02:04:2013,60000.0,1200.0,16800.0,9600.0,0.0,0.0,0.0,1,0.0,6600.0,3,"Wilson Hall,Hood Museum of Art,Wilson Hall,Hopkins Center for the Arts,Alumni Gymnasium,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Berry Sports Center,Hopkins Center for the Arts,Dartmouth College",
02:05:2013,53960.0,0.0,8399.0,24000.0,0.0,0.0,0.0,3,0.0,6900.0,3,"0,Wilson Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Berry Sports Center,Hopkins Center for the Arts",
03:04:2013,13197.0,0.0,0.0,21600.0,50403.0,0.0,0.0,2,0.0,10500.0,3,"Epsilon Kappa Theta,Wheeler Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Epsilon Kappa Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",1.0
03:05:2013,60000.0,0.0,12000.0,22276.0,1200.0,1198.0,0.0,4,0.0,3000.0,3,"Hopkins Center for the Arts,Dartmouth College,Epsilon Kappa Theta,Wilder Hall,Wilder Hall,Dartmouth College,Kemeny Hall,Moore Psychology Building,Sudikoff Hall,Dartmouth College,Dana Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art",1.0
04:04:2013,70799.0,0.0,7201.0,7200.0,2400.0,0.0,0.0,3,0.0,6900.0,3,"New Hampshire Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium,Berry Sports Center,Berry Sports Center,Dartmouth College,Epsilon Kappa Theta",2.0
04:05:2013,62880.0,0.0,1200.0,7915.0,6521.0,0.0,0.0,5,0.0,0.0,3,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sigma Phi Epsilon,Epsilon Kappa Theta",
05:04:2013,59999.0,0.0,0.0,24000.0,1201.0,0.0,0.0,4,0.0,3000.0,3,"Epsilon Kappa Theta,Dartmouth College,Wilder Hall,Wilder Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Rockefeller Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
05:05:2013,79931.0,0.0,0.0,10891.0,4278.0,0.0,0.0,-1,0.0,0.0,3,"Sigma Phi Epsilon,Dartmouth College,Dartmouth College,Epsilon Kappa Theta,Dartmouth College,Epsilon Kappa Theta,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College",
06:04:2013,55202.0,0.0,3600.0,0.0,15600.0,11998.0,0.0,5,0.0,0.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Harpoon Brewery,Epsilon Kappa Theta,Sigma Phi Epsilon,Sigma Phi Epsilon,Dartmouth College,Dartmouth College,Dartmouth College",
