date,home_time,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,4800.0,12000.0,0.0,0.0,0.0,0.0,7800.0,4.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall",3.375
02:04:2013,154568.0,4800.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",
03:04:2013,9598.0,3602.0,0.0,0.0,2.0,1.0,7800.0,4.0,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",
04:04:2013,153600.0,6000.0,0.0,0.0,3.0,0.0,7800.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",5.0
05:04:2013,0.0,19200.0,0.0,0.0,4.0,0.0,6000.0,4.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall",5.0
06:04:2013,79205.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,"0,0,0",2.0
07:04:2013,160796.0,0.0,0.0,0.0,-1.0,0.0,0.0,4.0,"0,0",1.0
07:05:2013,86974.0,3601.0,1199.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dana Parking Lot,0",
08:04:2013,0.0,13199.0,0.0,0.0,0.0,0.0,7800.0,4.0,"Vail,Class of 1978 Life Sciences Center,Sudikoff Hall",5.0
08:05:2013,502801.0,7200.0,0.0,0.0,2.0,0.0,7800.0,4.0,"Sudikoff Hall,0",
09:04:2013,152400.0,7200.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",1.0
10:04:2013,0.0,13200.0,1200.0,0.0,2.0,0.0,7800.0,4.0,"Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",
11:04:2013,248400.0,3600.0,0.0,0.0,3.0,1.0,7800.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",
13:04:2013,0.0,7200.0,0.0,0.0,5.0,0.0,0.0,4.0,Sudikoff Hall,
14:04:2013,148802.0,15600.0,0.0,0.0,-1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",
14:05:2013,136800.0,25488.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",
15:04:2013,7198.0,0.0,0.0,0.0,0.0,1.0,7800.0,4.0,0,4.0
15:05:2013,3599.0,0.0,0.0,0.0,2.0,1.0,7800.0,4.0,"Andres Hall,0",
16:04:2013,153723.0,7200.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",
17:04:2013,6000.0,0.0,0.0,4677.0,2.0,1.0,7800.0,4.0,"0,0,0",2.0
18:04:2013,79200.0,16800.0,0.0,0.0,3.0,0.0,7800.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall",
19:04:2013,238223.0,0.0,0.0,0.0,4.0,1.0,6000.0,4.0,"0,0",
21:04:2013,0.0,0.0,16798.0,0.0,-1.0,0.0,0.0,4.0,"F Lot Parking,F Lot Parking",2.0
22:04:2013,82798.0,0.0,0.0,0.0,0.0,1.0,7800.0,4.0,"Rauner Hall,0,0",
23:04:2013,247116.0,4800.0,0.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",1.0
25:04:2013,4786.0,0.0,0.0,0.0,3.0,1.0,7800.0,4.0,"Life Sciences Greenhouse,Life Sciences Greenhouse",1.0
26:04:2013,83956.0,4857.0,0.0,0.0,4.0,0.0,6000.0,4.0,"Sudikoff Hall,Sudikoff Hall,0,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,0",1.0
27:03:2013,0.0,9601.0,0.0,0.0,2.0,0.0,7800.0,4.0,"Class of 1978 Life Sciences Center,Sudikoff Hall",4.5
27:04:2013,205200.0,4800.0,0.0,0.0,5.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",
28:03:2013,75598.0,8401.0,0.0,0.0,3.0,0.0,7800.0,4.0,"Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
29:03:2013,87600.0,0.0,1200.0,0.0,4.0,1.0,6000.0,4.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0",
29:04:2013,49200.0,0.0,0.0,0.0,0.0,1.0,7800.0,4.0,"0,0",3.3333333333333335
30:03:2013,236400.0,6000.0,0.0,0.0,5.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0",
30:04:2013,591602.0,4800.0,8398.0,0.0,1.0,0.0,0.0,4.0,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,Maynard Parking Lot,0",5.0
