date,home_time,orthers,school_time,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,55210.0,1200.0,10796.0,0.0,0.0,0.0,0.0,0.0,7800.0,33.0,"Nugget Arcade,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Kemeny Hall",4.0
01:05:2013,78002.0,0.0,8399.0,1199.0,0.0,0.0,2.0,0.0,7800.0,33.0,"Dartmouth College,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Left Bank Books,Kemeny Hall",
02:04:2013,80400.0,0.0,2400.0,0.0,0.0,0.0,1.0,1.0,3900.0,33.0,"Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",1.0
02:05:2013,82801.0,0.0,2399.0,0.0,0.0,0.0,3.0,1.0,3900.0,33.0,"Kemeny Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Life Sciences Greenhouse,Kemeny Hall",
03:04:2013,78000.0,0.0,8400.0,1200.0,0.0,0.0,2.0,0.0,7800.0,33.0,"Kemeny Hall,Kemeny Hall,Berry Library,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",1.0
03:05:2013,69600.0,0.0,18000.0,0.0,0.0,0.0,4.0,0.0,6000.0,33.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Kemeny Hall",
04:04:2013,80397.0,0.0,4803.0,0.0,0.0,0.0,3.0,0.0,3900.0,33.0,"Kemeny Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.0
04:05:2013,204933.0,0.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,"Kemeny Hall,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Fayerweather Hall,Middle Massachusetts Hall",
05:04:2013,75599.0,0.0,8400.0,3601.0,0.0,0.0,4.0,0.0,6000.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Kemeny Hall",1.0
06:04:2013,80401.0,0.0,9600.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,"Kemeny Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Byrne Dining Hall,Dartmouth College",
06:05:2013,50400.0,0.0,3600.0,0.0,0.0,0.0,0.0,1.0,7800.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",1.0
07:04:2013,74400.0,0.0,0.0,7199.0,0.0,0.0,-1.0,0.0,0.0,33.0,"Alumni Gymnasium,Red Rolfe Field at Biondi Park,Red Rolfe Field at Biondi Park,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall",4.0
07:05:2013,77567.0,0.0,11400.0,1804.0,598.0,0.0,1.0,0.0,3900.0,33.0,"Kemeny Hall,Middle Massachusetts Hall,Kappa Kappa Gamma,0,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Sudikoff Hall",
08:04:2013,84000.0,0.0,3600.0,0.0,0.0,0.0,0.0,1.0,7800.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",4.0
08:05:2013,70800.0,0.0,10200.0,1200.0,0.0,0.0,2.0,0.0,7800.0,33.0,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,North Fayerweather Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Kemeny Hall",1.0
09:04:2013,80400.0,0.0,4800.0,0.0,0.0,0.0,1.0,0.0,3900.0,33.0,"Kemeny Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",3.25
