date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,60000.0,61199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,35.0,"Anonymous Hall,Dartmouth College,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall",4.0
02:04:2013,9600.0,0.0,37200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,"0,0,0,0,0,0,0,0,0,0",1.0
03:04:2013,25200.0,43201.0,12172.0,4628.0,3600.0,0.0,0.0,2.0,0.0,3900.0,35.0,"0,Dartmouth College,Sudikoff Hall,Dana Circle Parking Lot,Anonymous Hall,0,0,Anonymous Hall,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
04:04:2013,0.0,32341.0,52521.0,1259.0,0.0,0.0,0.0,3.0,0.0,3900.0,35.0,"Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0",3.0
05:04:2013,12000.0,34801.0,34800.0,2399.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall,Six South Street",4.0
06:04:2013,12000.0,34800.0,38197.0,0.0,203.0,0.0,0.0,5.0,0.0,0.0,35.0,"Anonymous Hall,Dana Parking Lot,0,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,0",5.0
07:04:2013,169630.0,0.0,1200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,35.0,"0,0,0,Dartmouth College",
07:05:2013,86909.0,0.0,0.0,0.0,4014.0,0.0,0.0,1.0,0.0,0.0,35.0,"F Lot Parking,F Lot Parking,Dartmouth College",
08:04:2013,0.0,21603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,35.0,Anonymous Hall,
08:05:2013,0.0,82112.0,0.0,0.0,1201.0,0.0,0.0,2.0,0.0,3900.0,35.0,"Sudikoff Hall,0,Sudikoff Hall",5.0
09:04:2013,48000.0,18000.0,0.0,0.0,1200.0,0.0,0.0,1.0,0.0,0.0,35.0,"Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,0,Sudikoff Hall,Dartmouth College,Dartmouth College",4.0
09:05:2013,145352.0,18001.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3900.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",1.0
10:04:2013,125738.0,32401.0,9600.0,0.0,0.0,1199.0,0.0,2.0,0.0,3900.0,35.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Hanover Park,Anonymous Hall,Anonymous Hall,Remsen Medical Sciences Building,Remsen Medical Sciences Building,Anonymous Hall,Sudikoff Hall,Anonymous Hall,0,0,0",
10:05:2013,3600.0,0.0,0.0,0.0,2400.0,0.0,0.0,4.0,1.0,3000.0,35.0,"Mass Parking Lot,Dartmouth College,Dartmouth College",
11:04:2013,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,35.0,"Life Sciences Greenhouse,Life Sciences Greenhouse",1.0
11:05:2013,6000.0,36000.0,0.0,0.0,0.0,0.0,45601.0,5.0,0.0,0.0,35.0,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park",
12:04:2013,14400.0,26400.0,45600.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Anonymous Hall,0,0",5.0
12:05:2013,99830.0,16800.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,35.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College",
13:04:2013,7201.0,18001.0,44400.0,0.0,20399.0,0.0,0.0,5.0,0.0,0.0,35.0,"Anonymous Hall,0,0,0",1.0
13:05:2013,144778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,35.0,0,3.0
14:04:2013,3231.0,0.0,139347.0,6657.0,18911.0,0.0,0.0,-1.0,0.0,0.0,35.0,"0,0,Dartmouth College,0,0,0",1.0
15:04:2013,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,35.0,Dartmouth College,4.0
15:05:2013,456483.0,72001.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3900.0,35.0,"Sudikoff Hall,Dartmouth College,Dartmouth College",
16:04:2013,37198.0,3599.0,152207.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,"Dartmouth College,Anonymous Hall,Dartmouth College,0",1.0
18:04:2013,21601.0,1199.0,42000.0,0.0,2400.0,0.0,0.0,3.0,1.0,3900.0,35.0,"F Lot Parking,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,0,0",1.5
19:04:2013,66313.0,20399.0,4802.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Vail",
20:04:2013,14400.0,13200.0,52800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,35.0,"0,0,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0",4.0
21:04:2013,30001.0,0.0,137819.0,0.0,0.0,0.0,2399.0,-1.0,0.0,0.0,35.0,"0,Alpha Xi Delta,0",1.0
21:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,Sudikoff Hall,1.0
22:04:2013,0.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,35.0,Sudikoff Hall,2.0
23:04:2013,0.0,28800.0,54000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",3.0
24:04:2013,19201.0,15599.0,48000.0,0.0,1200.0,0.0,0.0,2.0,0.0,3900.0,35.0,"F Lot Parking,Dartmouth College,Dartmouth College,Dartmouth College,Remsen Medical Sciences Building,Remsen Medical Sciences Building,0,0,0",
25:04:2013,3599.0,239408.0,0.0,0.0,18001.0,0.0,0.0,3.0,0.0,3900.0,35.0,"F Lot Parking,Dartmouth College,Sudikoff Hall,Sudikoff Hall",
28:03:2013,1198.0,3604.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,35.0,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center",
28:04:2013,16801.0,1207.0,103200.0,0.0,2399.0,0.0,0.0,-1.0,0.0,0.0,35.0,"0,Dartmouth College,0,Four Seasons | Sotheby's,0",
29:03:2013,39566.0,215735.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,35.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Berry Hall,Anonymous Hall",2.5
29:04:2013,6000.0,9600.0,34800.0,0.0,2400.0,0.0,0.0,0.0,0.0,3900.0,35.0,"0,0,Life Sciences Greenhouse,Dartmouth College,0",3.0
30:04:2013,599294.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,"Dartmouth College,0,Dartmouth College",1.0
31:03:2013,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,35.0,0,5.0
