date,home_time,recreational_activities,school_time,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,52800.0,3600.0,25204.0,8400.0,0.0,0.0,0,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,0,0,0,Dartmouth College,Class of 1953 Commons,Ripley Hall,0,Ripley Hall,Dartmouth College,Collis Student Center,Ripley Hall,Robinson Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Robinson Hall,Wentworth Hall",1.0
01:05:2013,60000.0,3600.0,19200.0,0.0,1200.0,0.0,2,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Floren Varsity House,Floren Varsity House,0,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Robinson Hall,Sphinx Secret Society,Topliff Hall,Topliff Hall,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Robinson Hall,Robinson Hall,Hood Museum of Art",
02:04:2013,67200.0,1195.0,8400.0,4800.0,0.0,0.0,1,0.0,0.0,5,"Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,North Fayerweather Hall,Dartmouth College,0,Topliff Hall,Topliff Hall,0,Collis Student Center,Ripley Hall,Collis Student Center,Ripley Hall,Sudikoff Hall,Sudikoff Hall",2.0
02:05:2013,72001.0,3599.0,9600.0,0.0,0.0,0.0,3,0.0,3900.0,5,"Ripley Hall,Dartmouth College,Sudikoff Hall,Parker House,Hood Museum of Art,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,McNutt Hall,Hopkins Center for the Arts,Ripley Hall,Robinson Hall,Collis Student Center,Dartmouth College,Dartmouth College,Robinson Hall,Ripley Hall,Class of 1953 Commons,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall",
03:04:2013,68402.0,2398.0,13200.0,0.0,0.0,2400.0,2,0.0,3900.0,5,"Floren Varsity House,Floren Varsity House,Ripley Hall,Parkhurst Hall,Hopkins Center for the Arts,Wentworth Hall,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Ripley Hall,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Ripley Hall,0,0,Alumni Gymnasium",2.0
03:05:2013,177413.0,10799.0,3601.0,0.0,0.0,0.0,4,0.0,3000.0,5,"Dartmouth College,Reed Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Alumni Gymnasium,Dartmouth College,Ripley Hall,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Dartmouth College,Baker Memorial Library,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College",
04:04:2013,68400.0,3599.0,10801.0,0.0,0.0,3600.0,3,0.0,3900.0,5,"Robinson Hall,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Bartlett Hall,0,0,Alumni Gymnasium,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
05:04:2013,58803.0,9596.0,16799.0,1202.0,0.0,0.0,4,0.0,3000.0,5,"Robinson Hall,Dartmouth Hall,Black Family Visual Arts Center,Ripley Hall,0,Parkhurst Hall,Dartmouth College,0,Hopkins Center for the Arts,Ripley Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Topliff Hall,Ripley Hall,Dartmouth Hall,0,0,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Ripley Hall,Ripley Hall,Collis Student Center",2.0
05:05:2013,63787.0,0.0,2401.0,0.0,0.0,3599.0,-1,0.0,0.0,5,"Dartmouth College,Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,0,0,0,Ripley Hall,Topliff Hall,Topliff Hall,Topliff Hall,Topliff Hall,Ripley Hall",
06:04:2013,100800.0,0.0,1200.0,0.0,0.0,1200.0,5,0.0,0.0,5,"Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,The Lodge,Martha E. Diebold Real Estate,Ripley Hall",1.0
06:05:2013,79200.0,0.0,7200.0,0.0,0.0,0.0,0,0.0,3900.0,5,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Topliff Hall,Topliff Hall,Class of 1953 Commons,Class of 1953 Commons,Ripley Hall,Robinson Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Robinson Hall,Ripley Hall",
07:04:2013,76801.0,0.0,1200.0,0.0,2399.0,0.0,-1,0.0,0.0,5,"Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College",1.0
07:05:2013,67200.0,1200.0,14427.0,0.0,1200.0,0.0,1,0.0,0.0,5,"Robinson Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Robinson Hall,Wentworth Hall,Dartmouth Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Sphinx Secret Society,Ripley Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Ripley Hall,Sudikoff Hall,Sudikoff Hall",2.0
08:04:2013,67200.0,0.0,9601.0,0.0,1199.0,6000.0,0,0.0,3900.0,5,"0,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Collis Student Center,Sphinx Secret Society,Ripley Hall",1.0
08:05:2013,75603.0,3600.0,9600.0,0.0,0.0,0.0,2,0.0,3900.0,5,"Dartmouth College,Wentworth Hall,Dartmouth College,Dartmouth College,Floren Varsity House,Floren Varsity House,Red Rolfe Field at Biondi Park,Ripley Hall,Dartmouth College,Ripley Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",1.0
09:04:2013,62153.0,0.0,15599.0,0.0,0.0,0.0,1,0.0,0.0,5,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,0,0,Robinson Hall,Ripley Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall",1.0
09:05:2013,71999.0,3602.0,1199.0,0.0,6000.0,1200.0,3,1.0,3900.0,5,"Topliff Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,0,Casque & Gauntlet Senior Society,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hanover Information booth,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College",3.0
10:04:2013,63600.0,2401.0,15599.0,3599.0,1201.0,0.0,2,0.0,3900.0,5,"Floren Varsity House,Floren Varsity House,Ripley Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Robinson Hall,Class of 1953 Commons,Ripley Hall,Ripley Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Ripley Hall,Dartmouth Hall,0,Collis Student Center,Ripley Hall,Collis Student Center,Alpha Delta,Woodward Hall,Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Ripley Hall,Collis Student Center,Black Family Visual Arts Center,0,Dartmouth College",
10:05:2013,86399.0,1200.0,0.0,0.0,2401.0,0.0,4,1.0,3000.0,5,"Dartmouth College,Ripley Hall,Ripley Hall,Sphinx Secret Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Topliff Hall,Dartmouth College,Kappa Pi Kappa,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College",
11:04:2013,40801.0,1200.0,45283.0,0.0,0.0,0.0,3,0.0,3900.0,5,"Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Collis Student Center,Ripley Hall,Collis Student Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Wentworth Hall,Hopkins Center for the Arts,0,0,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Robinson Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Fairchild Physical Sciences Center",
11:05:2013,74402.0,2398.0,3600.0,1200.0,1200.0,0.0,5,0.0,0.0,5,"Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth Hall,0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,0,Ripley Hall,Dartmouth College,Ripley Hall,Topliff Hall,Ripley Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Dartmouth",
