date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:05:2013,7202.0,86398.0,6000.0,68400.0,0.0,0.0,0.0,2.0,1.0,14400.0,43.0,"Sudikoff Hall,F Lot Parking,F Lot Parking,Life Sciences Greenhouse,Lebanon Street",
02:05:2013,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,43.0,Life Sciences Greenhouse,
03:04:2013,0.0,0.0,70799.0,0.0,8385.0,1215.0,0.0,2.0,0.0,14400.0,43.0,"Six South Street,Six South Street,Chew & Co. Design,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Class of 1978 Life Sciences Center",5.0
03:05:2013,78102.0,2400.0,24001.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,43.0,"Dartmouth College,0,Sudikoff Hall,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",
04:04:2013,3598.0,0.0,26420.0,52660.0,0.0,0.0,0.0,3.0,0.0,6900.0,43.0,"Anonymous Hall,0,0,Dana Circle Parking Lot,Anonymous Hall,Anonymous Hall,Anonymous Hall,Vail Dartmouth Medical School,Class of 1978 Life Sciences Center",2.5
04:05:2013,0.0,0.0,165392.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,43.0,"Sudikoff Hall,Sudikoff Hall",
05:04:2013,4795.0,1200.0,22806.0,0.0,0.0,0.0,61643.0,4.0,0.0,6000.0,43.0,"Hanover Post Office,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Wheelock Office Park,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall",4.0
06:04:2013,4798.0,0.0,96488.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Anonymous Hall",4.0
06:05:2013,17086.0,0.0,0.0,50091.0,0.0,0.0,16800.0,0.0,1.0,7800.0,43.0,"Byrne II Hall,0,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College",
07:04:2013,143088.0,0.0,0.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,43.0,"0,0",
07:05:2013,20421.0,0.0,52128.0,12001.0,0.0,0.0,0.0,1.0,0.0,10500.0,43.0,"Dartmouth College,Dartmouth College,F Lot Parking,F Lot Parking,F Lot Parking,Remsen Medical Sciences Building",
08:04:2013,14399.0,0.0,2401.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,43.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",2.0
08:05:2013,56401.0,0.0,22798.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",2.6666666666666665
09:04:2013,0.0,0.0,80400.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,43.0,Anonymous Hall,4.0
09:05:2013,0.0,0.0,179582.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,43.0,Sudikoff Hall,
10:04:2013,2399.0,0.0,82801.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Dartmouth College,Sudikoff Hall,Anonymous Hall,Anonymous Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall",
11:04:2013,2400.0,0.0,38417.0,43187.0,1196.0,0.0,0.0,3.0,0.0,6900.0,43.0,"Anonymous Hall,0,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",
11:05:2013,84509.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Dartmouth College,Dartmouth College",
12:04:2013,21602.0,0.0,33600.0,0.0,0.0,0.0,38400.0,4.0,0.0,6000.0,43.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College",
12:05:2013,0.0,0.0,0.0,164401.0,0.0,0.0,0.0,-1.0,0.0,0.0,43.0,"F Lot Parking,0",
13:04:2013,2399.0,0.0,69600.0,1200.0,3599.0,0.0,2400.0,5.0,0.0,0.0,43.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,La Casa,Anonymous Hall,Wheelock Office Park,0,0",
13:05:2013,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,43.0,"Dartmouth College,Dartmouth College",1.0
14:04:2013,8400.0,0.0,19200.0,9600.0,0.0,0.0,224400.0,-1.0,0.0,0.0,43.0,"0,0,Vail Dartmouth Medical School,Anonymous Hall,0,Wheelock Office Park",4.0
14:05:2013,79200.0,0.0,2400.0,0.0,0.0,0.0,0.0,1.0,1.0,10500.0,43.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College",4.0
