date,orthers,school_time,travel_time,home_time,working,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:05:2013,395753.0,6002.0,33598.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Hanover Post Office,Hanover Post Office,Sudikoff Hall,F Lot Parking,0",
02:04:2013,20398.0,0.0,0.0,57600.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,0,0",3.0
03:04:2013,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"0,0",4.5
04:04:2013,44384.0,27086.0,7216.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,"Anonymous Hall,0,0,0,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center",4.0
05:04:2013,34800.0,49902.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",5.0
06:04:2013,34800.0,34804.0,0.0,12000.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",2.5
06:05:2013,32401.0,39601.0,7198.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,F Lot Parking",1.0
07:04:2013,0.0,0.0,0.0,161217.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,0,
07:05:2013,32400.0,0.0,49202.0,0.0,7198.0,0.0,0.0,1.0,0.0,0.0,46.0,"F Lot Parking,Sigma Alpha Epsilon Fraternity,F Lot Parking,0,0,0,0,0,Hanover Post Office,F Lot Parking",1.0
08:04:2013,1200.0,13200.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,46.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hanover Park,Hanover Park,Simon Pearce,Anonymous Hall",4.5
08:05:2013,31200.0,55215.0,3585.0,4800.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Vail,F Lot Parking,Maynard Parking Lot,0,F Lot Parking,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall",2.5
09:04:2013,46800.0,27600.0,0.0,0.0,6000.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,Anonymous Hall,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Sudikoff Hall,Anonymous Hall,0",1.0
09:05:2013,86399.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,0,
