date,home_time,orthers,travel_time,school_time,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:05:2013,6002.0,395753.0,33598.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Hanover Post Office,Hanover Post Office,Dartmouth College,F Lot Parking,0",
02:04:2013,57600.0,20398.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,0,0",1.5
03:04:2013,0.0,60000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"0,0",4.0
04:04:2013,1200.0,44384.0,7216.0,27086.0,0.0,0.0,3.0,0.0,0.0,46.0,"Anonymous Hall,0,0,0,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center",3.0
05:04:2013,14398.0,34800.0,0.0,35504.0,0.0,0.0,4.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Anonymous Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.0
06:04:2013,12000.0,34800.0,0.0,34804.0,0.0,0.0,5.0,0.0,0.0,46.0,"Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",3.5
06:05:2013,48001.0,32401.0,7198.0,1200.0,0.0,0.0,0.0,0.0,0.0,46.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,F Lot Parking",2.0
07:04:2013,161217.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,0,3.0
07:05:2013,7198.0,32400.0,49202.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"F Lot Parking,Dartmouth College,F Lot Parking,0,0,0,0,0,Hanover Post Office,F Lot Parking",1.0
08:04:2013,0.0,1200.0,0.0,13200.0,3600.0,0.0,0.0,0.0,0.0,46.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hanover Park,Hanover Park,Simon Pearce,Anonymous Hall",3.0
08:05:2013,55200.0,31200.0,3585.0,4815.0,0.0,0.0,2.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Vail,F Lot Parking,Maynard Parking Lot,0,F Lot Parking,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",
09:04:2013,12106.0,46800.0,0.0,21494.0,0.0,0.0,1.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Anonymous Hall,Dartmouth College,Anonymous Hall,Anonymous Hall,Dartmouth College,Anonymous Hall,0",4.0
09:05:2013,0.0,86399.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,0,1.0
10:04:2013,86032.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,Dartmouth College,
10:05:2013,2400.0,51007.0,22800.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,Dartmouth College,Dartmouth College,F Lot Parking,0",
11:04:2013,43200.0,0.0,1173.0,40799.0,0.0,0.0,3.0,0.0,0.0,46.0,"Anonymous Hall,Dartmouth College,Anonymous Hall,0,Dartmouth College,Class of 1978 Life Sciences Center,0",
11:05:2013,9598.0,61201.0,9606.0,2401.0,0.0,0.0,5.0,0.0,0.0,46.0,"F Lot Parking,Hanover Post Office,Guarini Institute for International Education,Dartmouth College,0",
