date,home_time,orthers,recreational_activities,school_time,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,72003.0,2397.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,French Hall,French Hall,Dartmouth College,Dartmouth College",
01:05:2013,86200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,2.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Hopkins Center for the Arts,Dartmouth College",
02:04:2013,72003.0,0.0,9598.0,2400.0,1199.0,0.0,0.0,1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Berry Sports Center,Berry Sports Center,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Channing Cox Parking Lot,French Hall,French Hall,Judge Hall,French Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
02:05:2013,69674.0,19310.0,3526.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,French Hall,Life Sciences Greenhouse,Dartmouth College",
03:04:2013,79193.0,0.0,1199.0,4807.0,1201.0,0.0,0.0,2.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Judge Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
03:05:2013,74400.0,0.0,7200.0,0.0,7200.0,0.0,0.0,4.0,1.0,6000.0,47.0,"Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Judge Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",1.0
04:04:2013,74401.0,3600.0,8399.0,0.0,1200.0,0.0,0.0,3.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,0,0,0,0,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,French Hall,French Hall,French Hall,French Hall",
04:05:2013,71166.0,0.0,1200.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,0,Sushiya,Dartmouth College,Dartmouth College,Judge Hall",
05:04:2013,79200.0,0.0,1200.0,4800.0,0.0,0.0,0.0,4.0,1.0,6000.0,47.0,"Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",4.0
05:05:2013,93600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Dartmouth College",
06:04:2013,70890.0,0.0,7110.0,0.0,14400.0,0.0,0.0,5.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Channing Cox Parking Lot,French Hall,Channing Cox Parking Lot,French Hall",
06:05:2013,73201.0,0.0,3598.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",
07:04:2013,105600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,French Hall,Dartmouth College",
07:05:2013,66685.0,11927.0,1200.0,2400.0,1200.0,1200.0,0.0,1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Martha E. Diebold Real Estate,New Hampshire Hall,0,0,Hanover Park,0,Dartmouth College,French Hall,Parker House,Sudikoff Hall,New Hampshire Hall",
08:04:2013,54014.0,0.0,2387.0,4800.0,0.0,0.0,0.0,0.0,1.0,7800.0,47.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Judge Hall,French Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",
08:05:2013,83999.0,0.0,1201.0,0.0,1200.0,0.0,0.0,2.0,1.0,7800.0,47.0,"New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,French Hall,Judge Hall,Channing Cox Parking Lot,French Hall,Dartmouth College",
09:04:2013,71945.0,4745.0,8400.0,1201.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,New Hampshire Hall,Hopkins Center for the Arts,New Hampshire Hall,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,0,0,French Hall,Dartmouth College,French Hall,Dartmouth College,Sudikoff Hall,Dartmouth College",
09:05:2013,59915.0,0.0,26466.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,French Hall",
10:04:2013,86508.0,0.0,1200.0,0.0,0.0,0.0,0.0,2.0,1.0,7800.0,47.0,"Dartmouth College,New Hampshire Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Dartmouth College",
10:05:2013,84129.0,0.0,1090.0,1200.0,1200.0,0.0,0.0,4.0,1.0,6000.0,47.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,House Center B,French Hall,Channing Cox Parking Lot,Channing Cox Hall,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
11:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Judge Hall",
11:05:2013,89975.0,1168.0,2489.0,0.0,2432.0,0.0,0.0,5.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Nugget Arcade,0,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,French Hall",
12:04:2013,80400.0,0.0,3600.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,47.0,"Dartmouth College,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Rauner Hall,Dartmouth College,Dartmouth College,Dartmouth College",
12:05:2013,73200.0,0.0,0.0,0.0,2402.0,2398.0,0.0,-1.0,0.0,0.0,47.0,"Dartmouth College,0,0,Dartmouth College,French Hall,French Hall,Dartmouth College,French Hall",
13:04:2013,91200.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Channing Cox Hall,French Hall,French Hall",1.0
13:05:2013,51539.0,0.0,0.0,32417.0,1200.0,0.0,0.0,0.0,0.0,7800.0,47.0,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Channing Cox Parking Lot,French Hall,Dartmouth College",
14:04:2013,90003.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Dartmouth College,French Hall",2.0
14:05:2013,60040.0,3600.0,3600.0,19203.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hanover High School,Co-Op Food Stores - Hanover,Co-Op Food Stores - Hanover,New Hampshire Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Carpenter Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,French Hall",
15:04:2013,50400.0,2400.0,1200.0,23997.0,0.0,0.0,0.0,0.0,0.0,7800.0,47.0,"Carpenter Hall,Berry Library,Carpenter Hall,Carpenter Hall,Carpenter Hall,Dartmouth College,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Buskey Alley,0,Dartmouth College",
15:05:2013,76881.0,0.0,2319.0,24000.0,0.0,0.0,0.0,2.0,0.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Judge Hall,Judge Hall,French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",
16:04:2013,82692.0,0.0,0.0,0.0,2508.0,0.0,0.0,1.0,0.0,0.0,47.0,"Dartmouth College,New Hampshire Hall,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Dartmouth College,French Hall,Dartmouth College",
16:05:2013,83990.0,3600.0,1200.0,0.0,1210.0,0.0,0.0,3.0,1.0,7800.0,47.0,"Dartmouth College,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Judge Hall,Channing Cox Parking Lot,French Hall,Dartmouth College",
17:04:2013,65984.0,0.0,21616.0,0.0,0.0,0.0,0.0,2.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Dartmouth College,Dartmouth College,French Hall,Dartmouth College",1.0
17:05:2013,69600.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,47.0,"Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall",
18:04:2013,86400.0,0.0,1200.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,McCulloch Hall,Brace Commons,Dartmouth College,Dartmouth College,French Hall,French Hall,French Hall",2.5
18:05:2013,77159.0,0.0,5999.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall",
