date,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:06:2013,33215.0,3747.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
03:04:2013,15168.0,0.0,1200.0,215644.0,0.0,0.0,2.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dana Circle Parking Lot",2.0
06:04:2013,7196.0,169815.0,16798.0,1204.0,0.0,0.0,5.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Hood Museum of Art,0,0,Wellesley College",2.5
06:05:2013,339678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Dartmouth College,4.0
08:04:2013,152909.0,2385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,"Dartmouth College,Sarner Underground,Sarner Underground,Dartmouth College,Dartmouth College",3.0
10:04:2013,32755.0,12844.0,36000.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,"Haldeman Center,Haldeman Center,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Haldeman Center,Dartmouth College,Haldeman Center,Dartmouth College,Hopkins Center for the Arts,Haldeman Center,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library",
10:05:2013,0.0,321577.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,50.0,Wilder Hall,2.5
11:04:2013,54104.0,11999.0,17892.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Carson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse",5.0
12:04:2013,49232.0,10264.0,22848.0,0.0,3524.0,0.0,4.0,0.0,0.0,50.0,"Life Sciences Greenhouse,Seven Allen,Seven Allen,Dartmouth College,Berry Library,Dartmouth College,Carpenter Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Haldeman Center,Haldeman Center",5.0
13:04:2013,57535.0,3690.0,28773.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,"Dartmouth College,Haldeman Center,Berry Library,Sudikoff Hall,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Sanborn House,Berry Library,Dartmouth College,Dartmouth College,0",3.0
