date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,81604.0,6000.0,2400.0,0.0,0.0,0.0,0,1.0,3900.0,5,
01:05:2013,61198.0,3601.0,12000.0,7201.0,0.0,0.0,2,0.0,3900.0,5,
02:04:2013,79200.0,1195.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,5,
02:05:2013,70801.0,1199.0,2400.0,10800.0,0.0,0.0,3,1.0,3900.0,5,
03:04:2013,70802.0,3598.0,9600.0,0.0,2400.0,0.0,2,0.0,3900.0,5,
03:05:2013,177414.0,3599.0,0.0,0.0,10800.0,0.0,4,1.0,3000.0,5,
04:04:2013,68403.0,7197.0,7200.0,0.0,3600.0,0.0,3,0.0,3900.0,5,
05:04:2013,73198.0,3600.0,9602.0,0.0,0.0,0.0,4,0.0,3000.0,5,
05:05:2013,64800.0,0.0,0.0,1388.0,3599.0,0.0,-1,0.0,0.0,5,
06:04:2013,102000.0,0.0,0.0,0.0,1200.0,0.0,5,0.0,0.0,5,
06:05:2013,80400.0,6000.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,5,
07:04:2013,73201.0,4800.0,0.0,0.0,0.0,2399.0,-1,0.0,0.0,5,
07:05:2013,68427.0,0.0,6000.0,9600.0,0.0,0.0,1,0.0,0.0,5,
08:04:2013,70800.0,2400.0,4800.0,0.0,6000.0,0.0,0,0.0,3900.0,5,
08:05:2013,64803.0,14400.0,2400.0,7200.0,0.0,0.0,2,1.0,3900.0,5,
09:04:2013,58551.0,3600.0,3600.0,12001.0,0.0,0.0,1,0.0,0.0,5,
09:05:2013,69601.0,5999.0,0.0,8400.0,0.0,0.0,3,1.0,3900.0,5,
10:04:2013,74399.0,7201.0,2400.0,1199.0,0.0,1201.0,2,1.0,3900.0,5,
10:05:2013,67200.0,13200.0,0.0,9600.0,0.0,0.0,4,1.0,3000.0,5,
11:04:2013,84884.0,2400.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,5,
11:05:2013,53995.0,0.0,1200.0,26405.0,0.0,1200.0,5,0.0,0.0,5,
12:04:2013,80399.0,4801.0,0.0,0.0,1198.0,0.0,4,1.0,3000.0,5,
12:05:2013,78000.0,6000.0,0.0,2400.0,0.0,0.0,-1,0.0,0.0,5,
13:04:2013,57601.0,3600.0,0.0,26400.0,0.0,0.0,5,0.0,0.0,5,
13:05:2013,88800.0,4800.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,5,
14:04:2013,63604.0,9598.0,1198.0,1198.0,8399.0,4803.0,-1,0.0,0.0,5,
14:05:2013,65998.0,6002.0,0.0,7200.0,0.0,0.0,1,0.0,0.0,5,
15:04:2013,75604.0,14395.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,5,
15:05:2013,73195.0,6000.0,0.0,8405.0,0.0,0.0,2,1.0,3900.0,5,
16:04:2013,57600.0,3600.0,4800.0,13200.0,0.0,0.0,1,0.0,0.0,5,
16:05:2013,75600.0,0.0,0.0,9600.0,0.0,0.0,3,1.0,3900.0,5,
17:04:2013,64800.0,4800.0,3600.0,13200.0,0.0,0.0,2,1.0,3900.0,5,
17:05:2013,66001.0,4799.0,0.0,15600.0,0.0,0.0,4,1.0,3000.0,5,
18:04:2013,67202.0,1200.0,4798.0,13200.0,0.0,0.0,3,0.0,3900.0,5,
18:05:2013,67200.0,0.0,0.0,134402.0,2398.0,0.0,5,0.0,0.0,5,
19:04:2013,60000.0,4800.0,0.0,225600.0,0.0,0.0,4,1.0,3000.0,5,
20:05:2013,45600.0,13200.0,1200.0,0.0,1200.0,0.0,0,1.0,3900.0,5,
21:05:2013,63600.0,7200.0,2400.0,6000.0,1200.0,0.0,1,0.0,0.0,5,
22:04:2013,60000.0,0.0,2400.0,0.0,0.0,0.0,0,1.0,3900.0,5,
22:05:2013,79197.0,6000.0,1200.0,9604.0,0.0,0.0,2,1.0,3900.0,5,
23:04:2013,69600.0,4800.0,4800.0,0.0,0.0,0.0,1,0.0,0.0,5,
23:05:2013,19199.0,0.0,0.0,6000.0,0.0,0.0,3,1.0,3900.0,5,
24:04:2013,59054.0,3601.0,5742.0,19203.0,0.0,0.0,2,0.0,3900.0,5,
25:04:2013,55197.0,9601.0,8402.0,12000.0,0.0,0.0,3,0.0,3900.0,5,
26:04:2013,69602.0,7200.0,1198.0,8400.0,0.0,0.0,4,1.0,3000.0,5,
27:03:2013,15601.0,2400.0,2400.0,0.0,0.0,0.0,2,1.0,3900.0,5,
27:04:2013,63601.0,1199.0,0.0,22802.0,0.0,0.0,5,0.0,0.0,5,
28:03:2013,72000.0,1199.0,2400.0,10800.0,0.0,0.0,3,1.0,3900.0,5,4.333333333333333
28:04:2013,82684.0,0.0,1199.0,1198.0,0.0,0.0,-1,0.0,0.0,5,
29:03:2013,66003.0,3599.0,5999.0,12000.0,0.0,0.0,4,0.0,3000.0,5,2.5
29:04:2013,80294.0,7306.0,1317.0,0.0,0.0,0.0,0,1.0,3900.0,5,
30:03:2013,70801.0,1199.0,2399.0,12000.0,0.0,0.0,5,0.0,0.0,5,4.0
30:04:2013,72000.0,6000.0,0.0,9600.0,0.0,0.0,1,0.0,0.0,5,
31:03:2013,76802.0,4799.0,0.0,4800.0,0.0,0.0,-1,0.0,0.0,5,2.5
