date,home_time,school_time,travel_time,recreational_activities,working,orthers,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,72000.0,1200.0,1201.0,0.0,0.0,0.0,0,0.0,0.0,53,1.5
01:05:2013,84000.0,2400.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,1.0
01:06:2013,19788.0,7199.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,
02:04:2013,90879.0,6002.0,0.0,1200.0,0.0,0.0,1,0.0,0.0,53,
02:05:2013,97200.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,1.0
03:04:2013,70805.0,1199.0,1197.0,0.0,0.0,0.0,2,0.0,0.0,53,2.5
03:05:2013,76800.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,
04:04:2013,39603.0,10800.0,1195.0,0.0,33600.0,0.0,3,0.0,0.0,53,
04:05:2013,88311.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,
05:04:2013,50436.0,2399.0,0.0,0.0,33602.0,0.0,4,0.0,0.0,53,3.5
05:05:2013,81599.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,53,
06:04:2013,88661.0,1199.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,2.0
06:05:2013,84842.0,0.0,2400.0,0.0,0.0,0.0,0,0.0,0.0,53,
07:04:2013,92400.0,0.0,0.0,0.0,0.0,4800.0,-1,0.0,0.0,53,
07:05:2013,88142.0,3602.0,0.0,0.0,0.0,10520.0,1,0.0,0.0,53,1.0
08:04:2013,76764.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,
08:05:2013,71584.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,1.0
09:04:2013,87598.0,6001.0,1201.0,0.0,0.0,2401.0,1,0.0,0.0,53,1.0
09:05:2013,84421.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,1.0
10:04:2013,68400.0,0.0,0.0,3600.0,0.0,0.0,2,0.0,0.0,53,
10:05:2013,84000.0,3600.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,
