date,home_time,school_time,travel_time,orthers,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,42000.0,16800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,Moore Psychology Building",5.0
01:05:2013,49201.0,0.0,11999.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"0,0",2.0
01:06:2013,24000.0,0.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,57.0,"Dartmouth College,0,0",
02:04:2013,0.0,0.0,0.0,0.0,82800.0,0.0,1.0,0.0,0.0,57.0,Hanover Park,
02:05:2013,51600.0,46802.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,0,Moore Psychology Building",3.0
03:04:2013,136821.0,26402.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,0",1.0
03:05:2013,2400.0,44402.0,0.0,51598.0,0.0,0.0,4.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Nugget Arcade,Moore Psychology Building,Dartmouth College,Moore Psychology Building",2.0
04:04:2013,1036.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,Dartmouth College,1.0
04:05:2013,59598.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
05:04:2013,55202.0,30877.0,0.0,1364.0,0.0,2400.0,4.0,0.0,0.0,57.0,"0,Boloco,Moore Psychology Building,Dartmouth College,Dartmouth College,Moore Psychology Building,Dartmouth College,Tuk Tuk Thai Cuisine,0,Moore Psychology Building,Moore Psychology Building",1.0
05:05:2013,0.0,0.0,0.0,88606.0,0.0,0.0,-1.0,0.0,0.0,57.0,0,
06:04:2013,297600.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,Dartmouth College,1.0
06:05:2013,77997.0,1224.0,4798.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,0,Moore Psychology Building,0,South Block Parking Garage,South Block Parking Garage",3.0
07:05:2013,43609.0,550234.0,2641.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,0,Moore Psychology Building",1.0
