date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,1200.0,4798.0,7203.0,0.0,0.0,0.0,0,0.0,7800.0,10,"Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Wentworth Hall",
01:05:2013,57573.0,3507.0,20487.0,0.0,0.0,0.0,2,0.0,14400.0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House,Kemeny Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,La Casa,Hopkins Center for the Arts,Hopkins Center for the Arts,Wentworth Hall",
02:04:2013,77491.0,0.0,8399.0,0.0,0.0,0.0,1,0.0,10500.0,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
02:05:2013,70721.0,0.0,13313.0,1199.0,0.0,0.0,3,0.0,6900.0,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Vail Dartmouth Medical School",
03:04:2013,70801.0,0.0,16798.0,0.0,0.0,0.0,2,0.0,14400.0,10,"Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Wentworth Hall",
03:05:2013,78013.0,0.0,5999.0,0.0,3588.0,0.0,4,0.0,6000.0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,McNutt Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall",
04:04:2013,63415.0,14401.0,7200.0,0.0,0.0,0.0,3,0.0,6900.0,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Berry Library,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",
04:05:2013,55200.0,13200.0,37200.0,0.0,1200.0,0.0,5,0.0,0.0,10,"Wentworth Hall,Thornton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",
05:04:2013,76306.0,0.0,10800.0,0.0,0.0,0.0,4,0.0,6000.0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall",
05:05:2013,57600.0,0.0,24000.0,1200.0,0.0,0.0,-1,0.0,0.0,10,"63 South Main Street Parking Deck,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",
06:04:2013,7201.0,2405.0,1200.0,1200.0,21562.0,55199.0,5,0.0,0.0,10,"Wentworth Hall,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Rollins Chapel,Alpha Theta,Dartmouth College",
06:05:2013,63600.0,0.0,2400.0,3600.0,0.0,0.0,0,1.0,7800.0,10,"Dartmouth College,Mass Parking Lot,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall",
07:04:2013,91202.0,7197.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,10,"Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College",
07:05:2013,76200.0,2400.0,7200.0,0.0,0.0,0.0,1,1.0,10500.0,10,"Wentworth Hall,Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",
08:04:2013,61200.0,0.0,10800.0,0.0,0.0,0.0,0,0.0,7800.0,10,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth Hall",
08:05:2013,63000.0,4201.0,19799.0,0.0,0.0,600.0,2,0.0,14400.0,10,"Dartmouth College,Phi Tau,Dartmouth College,Kemeny Hall,Kemeny Hall,Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall",
09:04:2013,60000.0,2399.0,22801.0,0.0,0.0,0.0,1,0.0,10500.0,10,"Wentworth Hall,Reed Hall,Hopkins Center for the Arts,Reed Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Kemeny Hall,Dartmouth College,Sudikoff Hall",
09:05:2013,69717.0,6486.0,12597.0,7200.0,0.0,0.0,3,0.0,6900.0,10,"Wentworth Hall,Reed Hall Northbound,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,63 South Main Street Parking Deck,63 South Main Street Parking Deck,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Kemeny Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College",
10:04:2013,78002.0,1198.0,7200.0,0.0,0.0,0.0,2,1.0,14400.0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0",
10:05:2013,67845.0,0.0,7233.0,0.0,0.0,1722.0,4,0.0,6000.0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Kappa Pi Kappa,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Parker House,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall",
11:04:2013,60001.0,2400.0,6001.0,14399.0,3599.0,0.0,3,0.0,6900.0,10,"Dartmouth Hall,Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",
11:05:2013,71999.0,15000.0,3600.0,601.0,0.0,0.0,5,0.0,0.0,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library",
