date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,40800.0,1200.0,0.0,0.0,0.0,0.0,1.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",2.0
01:05:2013,152401.0,1200.0,2399.0,0.0,0.0,2.0,1.0,11700.0,2.0,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Steele Hall,Steele Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
02:04:2013,72003.0,14400.0,0.0,0.0,0.0,1.0,1.0,3900.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",
02:05:2013,13200.0,0.0,3600.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",
03:04:2013,62400.0,2398.0,21599.0,0.0,0.0,2.0,0.0,11700.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",1.0
03:05:2013,73200.0,13200.0,0.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Dartmouth College,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts",
04:04:2013,82800.0,0.0,3600.0,0.0,0.0,3.0,1.0,7800.0,2.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.0
04:05:2013,51602.0,19200.0,0.0,290179.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dick's House,Dick's House",
05:04:2013,73200.0,12000.0,1200.0,0.0,0.0,4.0,1.0,9000.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Carson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",4.0
06:04:2013,79200.0,8400.0,1200.0,0.0,0.0,5.0,0.0,0.0,2.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Carson Hall,Dartmouth College",4.5
