date,home_time,orthers,recreational_activities,school_time,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,68402.0,3598.0,4799.0,14401.0,1200.0,0,0.0,6900.0,17,"Little Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Alumni Gym,0,Dartmouth College,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",4.0
01:05:2013,59507.0,0.0,0.0,8400.0,0.0,2,1.0,13500.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College",
02:04:2013,72000.0,0.0,0.0,10800.0,0.0,1,0.0,9600.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",1.0
02:05:2013,49567.0,0.0,0.0,46800.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall",1.0
03:04:2013,63600.0,6000.0,0.0,14400.0,0.0,2,0.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall",3.0
03:05:2013,63601.0,1201.0,3598.0,3600.0,0.0,4,1.0,6000.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,0,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College",3.0
04:04:2013,68400.0,0.0,0.0,18000.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
04:05:2013,148140.0,3600.0,0.0,8401.0,4798.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Robinson Hall,Steele Hall,Steele Hall,Dartmouth College,0,0,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
05:04:2013,87052.0,0.0,0.0,7201.0,5999.0,4,0.0,6000.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,0,0,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",2.5
05:05:2013,19200.0,0.0,0.0,0.0,600.0,-1,0.0,0.0,17,"Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
06:04:2013,76800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.5
06:05:2013,63003.0,0.0,0.0,17997.0,600.0,0,0.0,6900.0,17,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Sudikoff Hall",3.0
07:04:2013,91200.0,0.0,0.0,2400.0,0.0,-1,0.0,0.0,17,"Dartmouth College,Little Hall,Sanborn House,Dartmouth College,Little Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
07:05:2013,55799.0,0.0,0.0,13801.0,9600.0,1,0.0,9600.0,17,"Parker House,Kemeny Hall,Dartmouth College,Parker House,Parker House,Moore Psychology Building,Moore Psychology Building,Sudikoff Hall,Parker House,Mass Parking Lot,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall",2.3333333333333335
08:04:2013,65998.0,0.0,2400.0,10802.0,1200.0,0,0.0,6900.0,17,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gym,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College",2.0
08:05:2013,47399.0,0.0,3600.0,4801.0,42600.0,2,1.0,13500.0,17,"Dartmouth College,Dartmouth College,Parker House,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Mass Parking Lot,Dartmouth College,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College",1.0
