date,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,49205.0,4800.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,20.0,"Berry Hall,Berry Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Berry Hall,Berry Hall,Goldstein Hall,Haldeman Center",1.0
01:05:2013,44400.0,2400.0,2400.0,0.0,0.0,0.0,2.0,1.0,11700.0,20.0,"Sudikoff Hall,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Bildner Hall,Bildner Hall,0",2.0
01:06:2013,19201.0,10799.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"Bildner Hall,Bildner Hall,Dartmouth College,Class of 1953 Commons,Collis Student Center,Sudikoff Hall,Bildner Hall",4.0
02:04:2013,58839.0,7200.0,20399.0,0.0,0.0,0.0,1.0,0.0,7800.0,20.0,"Haldeman Center,0,Bildner Hall,Berry Hall,Alumni Gymnasium,Class of 1953 Commons,Bildner Hall,Berry Hall,Guarini Institute for International Education,Black Family Visual Arts Center,Black Family Visual Arts Center,Collis Student Center,Collis Student Center",1.0
02:05:2013,37200.0,0.0,3602.0,44399.0,0.0,0.0,3.0,1.0,3900.0,20.0,"0,Bildner Hall,Bildner Hall,0,0,Bildner Hall,Berry Library,The Lodge,Life Sciences Greenhouse,Life Sciences Greenhouse",2.0
03:04:2013,43200.0,30000.0,14400.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"Berry Hall,Berry Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall,Haldeman Center,Collis Student Center,Collis Student Center,Berry Hall,Bildner Hall,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Bildner Hall,Berry Hall,Sudikoff Hall,Haldeman Center",1.5
03:05:2013,50401.0,6000.0,14400.0,1200.0,15600.0,0.0,4.0,1.0,9000.0,20.0,"Hood Museum of Art,Black Family Visual Arts Center,The Lodge,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Bildner Hall,Sudikoff Hall,Dartmouth College,Berry Library,0,Alpha Theta,Alpha Theta,Bildner Hall,Bildner Hall,Dartmouth College,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Haldeman Center",1.0
04:04:2013,52800.0,3600.0,30000.0,0.0,0.0,0.0,3.0,0.0,3900.0,20.0,"0,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,0,Class of 1953 Commons,Class of 1953 Commons,Berry Hall,Berry Hall,Black Family Visual Arts Center,Life Sciences Greenhouse,Life Sciences Greenhouse",1.3333333333333333
04:05:2013,246018.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"Dartmouth College,Bildner Hall",1.0
05:04:2013,66000.0,6000.0,13200.0,0.0,0.0,0.0,4.0,1.0,9000.0,20.0,"Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Berry Hall,Bildner Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Hall,Berry Hall,Haldeman Center",1.5
