date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,90001.0,2399.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,3.0
01:06:2013,18000.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,
02:04:2013,76804.0,2396.0,1200.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,1.0
03:04:2013,66003.0,5999.0,12000.0,3598.0,0.0,0.0,2.0,0.0,11700.0,23.0,1.0
04:04:2013,80282.0,0.0,1200.0,0.0,3718.0,0.0,3.0,1.0,7800.0,23.0,1.0
04:05:2013,166854.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,
05:04:2013,76800.0,4800.0,4800.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,1.0
05:05:2013,1201.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,
06:04:2013,91203.0,0.0,4750.0,0.0,1247.0,0.0,5.0,0.0,0.0,23.0,2.0
06:05:2013,173287.0,4799.0,3599.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,
07:04:2013,92177.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,2.5
08:04:2013,57600.0,3600.0,9600.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,1.0
08:05:2013,100800.0,3600.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,
09:04:2013,83999.0,0.0,1201.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,1.0
09:05:2013,62400.0,1200.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,
10:04:2013,72000.0,8400.0,7200.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,1.0
10:05:2013,89103.0,2400.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,
11:04:2013,76802.0,3599.0,2400.0,0.0,1199.0,1200.0,3.0,1.0,7800.0,23.0,1.0
11:05:2013,168126.0,1199.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,
12:04:2013,67201.0,8400.0,11999.0,0.0,0.0,0.0,4.0,0.0,9000.0,23.0,
13:04:2013,72000.0,8400.0,2400.0,0.0,2400.0,0.0,5.0,0.0,0.0,23.0,1.0
13:05:2013,98402.0,3599.0,0.0,3600.0,0.0,0.0,0.0,1.0,11700.0,23.0,
14:04:2013,86400.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,1.0
14:05:2013,61201.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,
15:04:2013,81598.0,2402.0,3600.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,1.0
15:05:2013,78400.0,2400.0,7200.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,
16:04:2013,84004.0,5996.0,1200.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,
16:05:2013,82800.0,0.0,3600.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,
17:04:2013,67201.0,6000.0,7199.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,1.0
17:05:2013,83341.0,7199.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,
