date,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
02:04:2013,170381.0,1219.0,0.0,0.0,0.0,0.0,1.0,1.0,10500.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College",4.0
04:04:2013,74401.0,11999.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",
05:04:2013,87650.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,25.0,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
06:04:2013,94800.0,3601.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
07:04:2013,51600.0,24000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",2.0
08:04:2013,44400.0,40800.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,25.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
09:04:2013,98400.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10500.0,25.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.5
10:04:2013,153601.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,25.0,"Dartmouth College,Dartmouth College,Dartmouth College",1.0
11:04:2013,3599.0,2400.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,25.0,"Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",
