date,home_time,recreational_activities,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,5999.0,7201.0,34800.0,39600.0,0.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hopkins Center for the Arts,Lodge Parking Lot",1.3333333333333333
01:05:2013,116111.0,0.0,0.0,0.0,1200.0,0.0,2,1.0,17100.0,26,"Four Seasons | Sotheby's,The Lodge",
02:04:2013,0.0,13199.0,39601.0,1200.0,0.0,0.0,1,0.0,13200.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Bartlett Hall,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall",
02:05:2013,0.0,0.0,0.0,0.0,950627.0,0.0,3,1.0,9900.0,26,Four Seasons | Sotheby's,
03:04:2013,18000.0,14399.0,37442.0,16801.0,0.0,0.0,2,0.0,17100.0,26,"Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,The Lodge,Lodge Parking Lot,Hopkins Center for the Arts,Moore Psychology Building",2.5
04:04:2013,22802.0,48827.0,13199.0,1200.0,0.0,0.0,3,0.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,The Lodge,Alumni Gymnasium,Alumni Gymnasium,House Center B,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Morton Hall,Brace Commons,Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.0
05:04:2013,15597.0,12000.0,7203.0,51810.0,0.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Moore Psychology Building",1.0
06:04:2013,5998.0,9602.0,64800.0,8401.0,0.0,1199.0,5,0.0,0.0,26,"Moore Psychology Building,Dartmouth Hall,Alumni Gymnasium,Alumni Gymnasium,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Bartlett Hall,Bartlett Hall,Observatory Road,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall",4.0
07:04:2013,0.0,104407.0,1200.0,1200.0,0.0,0.0,-1,0.0,0.0,26,"Bartlett Hall,Lodge Parking Lot,0",
08:04:2013,2406.0,1200.0,50140.0,9590.0,0.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Bartlett Hall,Bartlett Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building",2.0
09:04:2013,2399.0,34493.0,44402.0,12000.0,0.0,0.0,1,0.0,13200.0,26,"Moore Psychology Building,Baker Memorial Library,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium",4.0
10:04:2013,21600.0,1200.0,10800.0,1200.0,43591.0,0.0,2,1.0,17100.0,26,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Four Seasons | Sotheby's,Lodge Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building",
11:04:2013,10800.0,16798.0,48187.0,10802.0,0.0,0.0,3,0.0,9900.0,26,"Moore Psychology Building,Baker Memorial Library,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,West Stands,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,0,Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse",
12:04:2013,14402.0,10801.0,58629.0,2399.0,0.0,0.0,4,0.0,3000.0,26,"The Lodge,Wentworth Hall,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Hanover Inn Valet Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Bartlett Hall,Bartlett Hall,Moore Psychology Building",
