date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,19200.0,16796.0,1200.0,38400.0,0.0,0.0,0,0.0,0.0,32,"0,0,0,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",
01:05:2013,85199.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,32,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Byrne II Hall",
02:04:2013,82880.0,2343.0,0.0,9577.0,0.0,0.0,1,0.0,0.0,32,"Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,0,0,0",
02:05:2013,41896.0,40903.0,0.0,4801.0,0.0,0.0,3,0.0,0.0,32,"0,Irving,0,Scott Avenue,0,0,North Main Street,Dartmouth College,0",
03:04:2013,39600.0,0.0,0.0,40800.0,0.0,0.0,2,0.0,0.0,32,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,0,0,0,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street",4.0
03:05:2013,77028.0,0.0,42082.0,0.0,0.0,0.0,4,0.0,0.0,32,"0,0,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,0,Class of 1978 Life Sciences Center",
04:04:2013,42649.0,0.0,4160.0,37191.0,0.0,0.0,3,0.0,0.0,32,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,0,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dewey Parking Lot",1.0
04:05:2013,90000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,32,0,
05:04:2013,55200.0,0.0,3600.0,27600.0,0.0,0.0,4,0.0,0.0,32,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",4.0
05:05:2013,101981.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,32,"0,0",
06:04:2013,61200.0,0.0,0.0,30328.0,0.0,0.0,5,0.0,0.0,32,"Byrne II Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,0,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,0",1.0
06:05:2013,32431.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,32,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
