date,home_time,school_time,recreational_activities,working,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,3600.0,46800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,36.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall",4.0
01:05:2013,4806.0,0.0,20393.0,0.0,0.0,0.0,0.0,2.0,1.0,7800.0,36.0,"0,C&A Pizza",
01:06:2013,1210.0,3601.0,7199.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"0,Class of 1953 Commons,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall",
02:04:2013,49200.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Anonymous Hall,0,0",1.0
02:05:2013,0.0,15601.0,0.0,226799.0,0.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Wheelock Office Park,Class of 1953 Commons,Class of 1953 Commons,Wheelock Office Park",1.0
03:04:2013,51600.0,37200.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0",1.0
04:04:2013,46801.0,33600.0,0.0,0.0,1199.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Anonymous Hall,Anonymous Hall,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",3.0
05:04:2013,61200.0,22802.0,1199.0,0.0,0.0,3599.0,0.0,4.0,0.0,6000.0,36.0,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall,0",4.0
05:05:2013,158401.0,0.0,0.0,4799.0,0.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,Wheelock Office Park,0",
06:04:2013,207600.0,37200.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Anonymous Hall,Anonymous Hall,0",5.0
06:05:2013,3600.0,2401.0,0.0,0.0,5999.0,0.0,0.0,0.0,1.0,7800.0,36.0,"0,Dartmouth College,Class of 1953 Commons,F Lot Parking",
07:05:2013,60000.0,21600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"0,Sudikoff Hall,0,0",5.0
08:04:2013,1200.0,26400.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,7800.0,36.0,"0,0,Class of 1978 Life Sciences Center,Anonymous Hall",
08:05:2013,3598.0,30002.0,0.0,217200.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park",1.0
09:04:2013,39601.0,29999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Anonymous Hall,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,Class of 1953 Commons",4.0
