date,school_time,travel_time,home_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,35999.0,49581.0,0.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street,Sudikoff Hall,North Main Street",1.0
01:05:2013,3600.0,68400.0,0.0,0.0,0.0,2.0,1.0,10500.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street",1.0
01:06:2013,25800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
02:04:2013,60000.0,31200.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,Sudikoff Hall,North Main Street",
02:05:2013,27606.0,32400.0,33594.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall,Life Sciences Greenhouse",
03:04:2013,37200.0,55200.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street,Sudikoff Hall,North Main Street",1.0
03:05:2013,14400.0,33600.0,3600.0,72360.0,0.0,4.0,0.0,3000.0,37.0,"Guarini Institute for International Education,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,0,0",1.0
04:04:2013,51600.0,118800.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,North Main Street",1.0
04:05:2013,96651.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,Sudikoff Hall,
05:05:2013,0.0,24000.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,North Main Street,
06:04:2013,78000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,Sudikoff Hall,2.5
06:05:2013,56398.0,3602.0,16800.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,North Main Street,Anonymous Hall,Life Sciences Greenhouse",1.0
07:04:2013,2400.0,69600.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"North Main Street,Sudikoff Hall,North Main Street",2.0
07:05:2013,63600.0,40800.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street",1.0
08:04:2013,55200.0,36000.0,0.0,0.0,0.0,0.0,0.0,3900.0,37.0,"North Main Street,Sudikoff Hall",3.0
08:05:2013,48000.0,38400.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall",1.0
09:04:2013,54000.0,62400.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street",1.0
09:05:2013,49200.0,39600.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,North Main Street",1.0
10:04:2013,38400.0,43201.0,0.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street",1.0
10:05:2013,51600.0,6000.0,1200.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,North Main Street,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,North Main Street",
11:04:2013,3599.0,69600.0,0.0,0.0,0.0,3.0,1.0,6900.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street",1.0
11:05:2013,22188.0,65414.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"North Main Street,Sudikoff Hall,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall",
12:04:2013,55200.0,32400.0,0.0,0.0,0.0,4.0,0.0,3000.0,37.0,"Sudikoff Hall,Moore Psychology Building,Winfred-Raven House,Moore Psychology Building,Sudikoff Hall,Sudikoff Hall,North Main Street",2.5
12:05:2013,62400.0,28209.0,4798.0,0.0,0.0,-1.0,0.0,0.0,37.0,"0,0,0,Sudikoff Hall,Sudikoff Hall,North Main Street",
13:04:2013,24000.0,70980.0,0.0,0.0,0.0,5.0,0.0,0.0,37.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street",2.0
13:05:2013,62400.0,44400.0,1200.0,0.0,0.0,0.0,0.0,3900.0,37.0,"0,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,Sudikoff Hall,Hanover Street",
14:04:2013,12000.0,48000.0,0.0,0.0,0.0,-1.0,0.0,0.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street",2.0
14:05:2013,49200.0,9600.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"Sudikoff Hall,North Main Street,North Main Street,Sudikoff Hall",
15:04:2013,70801.0,10800.0,4799.0,0.0,0.0,0.0,0.0,3900.0,37.0,"Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street",1.0
15:05:2013,42600.0,25800.0,14400.0,0.0,0.0,2.0,0.0,10500.0,37.0,"0,0,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street",
16:04:2013,46801.0,79200.0,0.0,0.0,0.0,1.0,0.0,6600.0,37.0,"North Main Street,Sudikoff Hall",2.0
16:05:2013,8400.0,81601.0,0.0,0.0,0.0,3.0,0.0,6900.0,37.0,"Sudikoff Hall,Hanover Street,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street",1.0
17:04:2013,10798.0,12000.0,27601.0,0.0,0.0,2.0,0.0,10500.0,37.0,"Sudikoff Hall,North Main Street,0,North Main Street,0,North Main Street,0,Sudikoff Hall",2.0
