date,home_time,recreational_activities,school_time,orthers,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,61200.0,4798.0,18002.0,0.0,0.0,0.0,0.0,0.0,3900.0,42.0,
01:05:2013,53999.0,33601.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,
02:04:2013,83996.0,1201.0,1203.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,5.0
02:05:2013,581421.0,0.0,1200.0,0.0,0.0,0.0,3.0,1.0,6900.0,42.0,
03:04:2013,9602.0,70979.0,5999.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,5.0
04:04:2013,79200.0,0.0,6000.0,0.0,0.0,0.0,3.0,1.0,6900.0,42.0,2.5
05:04:2013,68400.0,16800.0,2400.0,0.0,0.0,0.0,4.0,1.0,3000.0,42.0,4.0
06:04:2013,90000.0,0.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,4.0
07:04:2013,215292.0,1200.0,32399.0,0.0,0.0,0.0,-1.0,0.0,0.0,42.0,
08:05:2013,21600.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,3.5
09:04:2013,4801.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,4.0
09:05:2013,165322.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,42.0,1.0
10:04:2013,63599.0,3599.0,20401.0,0.0,0.0,0.0,2.0,0.0,10500.0,42.0,
10:05:2013,4801.0,0.0,2400.0,0.0,0.0,0.0,4.0,1.0,3000.0,42.0,
11:04:2013,68404.0,7197.0,9599.0,0.0,0.0,0.0,3.0,0.0,6900.0,42.0,
11:05:2013,92903.0,0.0,2400.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,
12:04:2013,79202.0,3600.0,4798.0,0.0,0.0,0.0,4.0,0.0,3000.0,42.0,
12:05:2013,57600.0,19200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,42.0,
13:04:2013,102000.0,0.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,
13:05:2013,62400.0,25200.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,42.0,
14:04:2013,76800.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,42.0,4.0
14:05:2013,115200.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,1.0
15:04:2013,44400.0,34800.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,42.0,1.0
15:05:2013,166800.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,4.0
16:04:2013,68401.0,16799.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,
17:04:2013,230213.0,0.0,17999.0,0.0,0.0,0.0,2.0,0.0,10500.0,42.0,
17:05:2013,331661.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3000.0,42.0,
19:04:2013,8395.0,0.0,3600.0,0.0,0.0,0.0,4.0,0.0,3000.0,42.0,
20:04:2013,91202.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,
21:04:2013,69601.0,0.0,0.0,1201.0,3598.0,5999.0,-1.0,0.0,0.0,42.0,
21:05:2013,64798.0,13203.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,4.0
22:04:2013,61200.0,22799.0,3600.0,0.0,0.0,0.0,0.0,1.0,3900.0,42.0,
22:05:2013,100800.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,4.0
23:04:2013,70802.0,13198.0,1200.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,1.0
23:05:2013,2400.0,168368.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,42.0,
24:04:2013,52800.0,36000.0,3600.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,
25:04:2013,61123.0,19200.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,42.0,
25:05:2013,95677.0,4800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,
26:04:2013,69575.0,14312.0,3713.0,0.0,0.0,0.0,4.0,0.0,3000.0,42.0,
26:05:2013,45600.0,13199.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,42.0,
27:03:2013,150305.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,
27:04:2013,91200.0,0.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,4.0
27:05:2013,97706.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,42.0,
28:04:2013,70725.0,16800.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,42.0,
28:05:2013,64800.0,18001.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,
29:03:2013,60000.0,4799.0,4800.0,0.0,0.0,0.0,4.0,0.0,3000.0,42.0,
29:04:2013,61275.0,18000.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,42.0,1.0
29:05:2013,63465.0,7335.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,42.0,
30:03:2013,78002.0,7198.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,42.0,
30:04:2013,49200.0,34800.0,1200.0,0.0,0.0,0.0,1.0,1.0,6600.0,42.0,
31:03:2013,88800.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,42.0,
