date,home_time,orthers,travel_time,school_time,shopping,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:05:2013,6002.0,395753.0,33598.0,0.0,0.0,0.0,0.0,2,0.0,0.0,46,"Hanover Post Office,Hanover Post Office,Dartmouth College,Dartmouth College,F Lot Parking,F Lot Parking,0,0",
02:04:2013,31202.0,77998.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,46,"Dartmouth College,0,0,0,0,0,0",3.0
03:04:2013,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,46,"0,0,0",4.5
04:04:2013,0.0,45584.0,7216.0,27086.0,0.0,0.0,0.0,3,0.0,0.0,46,"Anonymous Hall,Anonymous Hall,0,0,0,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center",4.0
05:04:2013,14398.0,34800.0,0.0,35504.0,0.0,0.0,0.0,4,0.0,0.0,46,"Dartmouth College,Dartmouth College,Anonymous Hall,Anonymous Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",5.0
06:04:2013,9600.0,37200.0,0.0,34804.0,0.0,0.0,0.0,5,0.0,0.0,46,"Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",2.5
06:05:2013,48001.0,32401.0,5998.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,46,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,F Lot Parking",1.0
07:04:2013,161217.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,46,"0,0",
07:05:2013,8398.0,31200.0,49202.0,0.0,0.0,0.0,0.0,1,0.0,0.0,46,"F Lot Parking,F Lot Parking,Dartmouth College,F Lot Parking,F Lot Parking,0,0,0,0,0,0,0,Hanover Post Office,F Lot Parking",
08:04:2013,0.0,1200.0,0.0,10800.0,3600.0,0.0,0.0,0,0.0,0.0,46,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hanover Park,Hanover Park,Simon Pearce,Anonymous Hall",
08:05:2013,75600.0,9600.0,5999.0,2401.0,0.0,0.0,0.0,2,0.0,0.0,46,"F Lot Parking,Dartmouth College,Dartmouth College,Dartmouth College,Vail,F Lot Parking,Maynard Parking Lot,F Lot Parking,F Lot Parking,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",2.5
09:04:2013,6106.0,46800.0,0.0,23894.0,0.0,6000.0,0.0,1,0.0,0.0,46,"Anonymous Hall,0,0,Anonymous Hall,Anonymous Hall,Dartmouth College,Anonymous Hall,Anonymous Hall,Dartmouth College,Anonymous Hall,0,0",3.3333333333333335
09:05:2013,2400.0,86399.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,46,"Dartmouth College,0,0",1.0
10:04:2013,86032.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,46,"Dartmouth College,Dartmouth College",
10:05:2013,0.0,51007.0,25200.0,0.0,0.0,0.0,0.0,4,0.0,0.0,46,"F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,0,0",
11:04:2013,39600.0,3600.0,0.0,41972.0,0.0,0.0,0.0,3,0.0,0.0,46,"Anonymous Hall,Anonymous Hall,Dartmouth College,Anonymous Hall,0,0,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",
11:05:2013,11999.0,61201.0,9606.0,0.0,0.0,0.0,0.0,5,0.0,0.0,46,"F Lot Parking,F Lot Parking,Hanover Post Office,Dartmouth College,Dartmouth College,Dartmouth College,0,0",
12:04:2013,65786.0,1441.0,0.0,19200.0,0.0,0.0,0.0,4,0.0,0.0,46,"Dartmouth College,Dartmouth College,Anonymous Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse",
12:05:2013,78001.0,5999.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,46,"Dartmouth College,Dick's House,Dartmouth College,Dick's House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
13:04:2013,8318.0,44400.0,1200.0,34882.0,0.0,0.0,0.0,5,0.0,0.0,46,"Dartmouth College,Dartmouth College,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0",5.0
13:05:2013,44400.0,43200.0,1200.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",
