date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,42000.0,3597.0,18003.0,1199.0,12000.0,0.0,0.0,0,1.0,7800.0,47,"Sudikoff Hall,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,0,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",2.5
01:05:2013,51599.0,0.0,5999.0,1200.0,27402.0,0.0,0.0,2,1.0,7800.0,47,"Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Hopkins Center for the Arts,New Hampshire Hall",
02:04:2013,45600.0,0.0,21597.0,13202.0,4801.0,0.0,0.0,1,0.0,0.0,47,"Haldeman Center,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,New Hampshire Hall,Berry Sports Center,Berry Sports Center,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library",2.0
02:05:2013,44399.0,15600.0,19127.0,2400.0,10883.0,1301.0,0.0,3,1.0,7800.0,47,"New Hampshire Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,0,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,0,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Baker Memorial Library",1.0
03:04:2013,53392.0,0.0,15605.0,13802.0,2400.0,1201.0,0.0,2,0.0,7800.0,47,"Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Zahm Courtyard,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Haldeman Center",4.0
03:05:2013,36000.0,0.0,8400.0,25200.0,12000.0,7200.0,0.0,4,0.0,6000.0,47,"Baker Memorial Library,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sudikoff Hall",
04:04:2013,52800.0,3600.0,8399.0,3600.0,16801.0,1200.0,0.0,3,1.0,7800.0,47,"Haldeman Center,Haldeman Center,Sudikoff Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,0,0,0,0,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
04:05:2013,49566.0,0.0,2502.0,1200.0,19200.0,2298.0,0.0,5,0.0,0.0,47,"Sudikoff Hall,East Wheelock Street,Black Family Visual Arts Center,0,Sushiya,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College",
05:04:2013,37200.0,0.0,19200.0,7197.0,22803.0,0.0,0.0,4,0.0,6000.0,47,"Dartmouth College,Hood Museum of Art,New Hampshire Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Reed Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Baker Memorial Library,Baker Memorial Library,0,0",2.0
05:05:2013,40800.0,0.0,1200.0,0.0,50400.0,0.0,0.0,-1,0.0,0.0,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity",
