date,home_time,recreational_activities,travel_time,school_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:06:2013,21333.0,15629.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,"Berry Library,Little Hall,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Dartmouth College,Berry Library,Little Hall,Baker Memorial Library,Little Hall,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Little Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Dartmouth College",
03:04:2013,0.0,16368.0,215644.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,"Baker Memorial Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Dana Circle Parking Lot",2.0
06:04:2013,7196.0,16798.0,1204.0,67907.0,0.0,0.0,5.0,0.0,0.0,50.0,"Little Hall,Little Hall,Hopkins Center for the Arts,0,0,Wellesley College",2.5
06:05:2013,198238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Little Hall,4.0
07:04:2013,0.0,0.0,0.0,101908.0,0.0,0.0,-1.0,0.0,0.0,50.0,Wellesley College,5.0
08:04:2013,154056.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,"Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Little Hall,Little Hall",3.0
08:05:2013,141440.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,Little Hall,4.0
10:04:2013,25555.0,32423.0,0.0,22421.0,0.0,0.0,2.0,0.0,0.0,50.0,"Haldeman Center,Haldeman Center,Berry Library,Baker Memorial Library,Berry Library,Berry Library,Berry Library,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Haldeman Center,Dartmouth College,Hopkins Center for the Arts,0,Baker Memorial Library,Baker Memorial Library,Carson Hall,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library",
10:05:2013,0.0,0.0,0.0,237577.0,0.0,0.0,4.0,0.0,0.0,50.0,Wilder Hall,2.5
11:04:2013,36102.0,39493.0,0.0,9600.0,0.0,0.0,3.0,0.0,0.0,50.0,"Haldeman Center,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Baker Memorial Library,Baker Memorial Library,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Little Hall,Little Hall,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Dartmouth College,Little Hall,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Life Sciences Greenhouse",5.0
12:04:2013,48032.0,21600.0,0.0,12712.0,3524.0,0.0,4.0,0.0,0.0,50.0,"Life Sciences Greenhouse,Seven Allen,Seven Allen,Dartmouth College,Carson Hall,Carpenter Hall,Carpenter Hall,Little Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Haldeman Center,Haldeman Center",5.0
12:05:2013,0.0,0.0,0.0,33000.0,0.0,0.0,-1.0,0.0,0.0,50.0,Wellesley College,
13:04:2013,29998.0,51494.0,0.0,7353.0,1153.0,0.0,5.0,0.0,0.0,50.0,"Haldeman Center,Haldeman Center,Berry Library,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Berry Library,Baker Memorial Library,Carson Hall,Baker Memorial Library,Baker Memorial Library,Carson Hall,Baker Memorial Library,Berry Library,Baker Memorial Library,Berry Library,Hopkins Center for the Arts,Sanborn House,Berry Library,Berry Library,Little Hall,Little Hall,Dartmouth College,0",3.0
13:05:2013,51000.0,0.0,0.0,13800.0,0.0,0.0,0.0,0.0,0.0,50.0,"Little Hall,Haldeman Center,Haldeman Center",1.0
