date,home_time,recreational_activities,school_time,travel_time,orthers,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,2400.0,4800.0,9600.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,6,"North Massachusetts Hall,Dartmouth College,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",
01:05:2013,48000.0,6000.0,16800.0,0.0,0.0,0.0,0.0,2,0.0,11700.0,6,"Sudikoff Hall,Class of 1953 Commons,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",
02:04:2013,61200.0,8401.0,15599.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"0,Winfred-Raven House,Winfred-Raven House,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,North Massachusetts Hall,Andres Hall,North Massachusetts Hall,Collis Student Center,Alumni Gymnasium,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall",
02:05:2013,127200.0,1200.0,30000.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,6,"0,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,North Massachusetts Hall",
03:04:2013,48000.0,3599.0,33602.0,2399.0,0.0,0.0,0.0,2,0.0,11700.0,6,"Sudikoff Hall,Sudikoff Hall,Mass Parking Lot,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Mass Parking Lot,North Massachusetts Hall,0",
03:05:2013,7200.0,6000.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,6,"North Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",
04:04:2013,29999.0,8400.0,14401.0,32400.0,0.0,0.0,0.0,3,0.0,7800.0,6,"0,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Mass Parking Lot,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",
04:05:2013,98401.0,1200.0,8399.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,"0,Winfred-Raven House,Winfred-Raven House,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,North Massachusetts Hall",
05:04:2013,63600.0,7200.0,15601.0,1199.0,0.0,0.0,0.0,4,0.0,9000.0,6,"Hopkins Center for the Arts,Rockefeller Center,Rockefeller Center,Andres Hall,Dartmouth College,0,North Massachusetts Hall,North Massachusetts Hall,Collis Student Center,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Dartmouth College,0",
05:05:2013,55200.0,0.0,23401.0,0.0,2999.0,0.0,0.0,-1,0.0,0.0,6,"Class of 1953 Commons,0,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Sudikoff Hall",
06:04:2013,57600.0,12000.0,21601.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,"0,Winfred-Raven House,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Hopkins Center for the Arts",
06:05:2013,49198.0,0.0,21002.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,6,"Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,North Massachusetts Hall,North Massachusetts Hall,0,North Massachusetts Hall,North Massachusetts Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center",
07:04:2013,51598.0,7201.0,21600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,6,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Andres Hall,North Massachusetts Hall,Hopkins Center for the Arts,North Massachusetts Hall",
07:05:2013,41997.0,0.0,113898.0,0.0,0.0,0.0,0.0,1,0.0,3900.0,6,"Haldeman Center,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Parker House,Sudikoff Hall",
