date,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,57600.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",
01:05:2013,82801.0,0.0,1199.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dana Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College",
02:04:2013,151009.0,0.0,0.0,3600.0,0.0,1.0,0.0,0.0,54.0,"Dartmouth College,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,0,0",
02:05:2013,92145.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,0",1.0
03:04:2013,12000.0,3600.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",
03:05:2013,76799.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"0,0,Dartmouth College,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College",
04:04:2013,91200.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0",2.0
04:05:2013,109691.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0",
05:04:2013,86400.0,3600.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",2.0
05:05:2013,68400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0",
06:04:2013,91679.0,7198.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Dartmouth College,Anonymous Hall,0",1.0
06:05:2013,79499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",
07:04:2013,74400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0,0,0",4.0
07:05:2013,85200.0,0.0,0.0,0.0,3599.0,1.0,0.0,0.0,54.0,"Dick's House,Dick's House,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,0,0",
08:04:2013,91200.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",
08:05:2013,100143.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College",
